artifact_type,machine,descriptor_id,model,seed,train_precision,checkpoint_role,source_path,mirror_path,sha256,mirror_sha256,hash_kind,mirror_status
checkpoint,2080ti,2080ti-gdn-s123-fp16,gdn,123,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/gdn-s123-fp16-b64ga4-formal/best.pt,,4f5469a875aa6a9a8bc173d378569ddb9a65207f5b5f17b91711aa4f488a27d1,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-flash-s123-fp16,flash,123,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/flash-s123-fp16-b64ga4-formal/last.pt,,276741d23a77db57c991bb9e2462c14b5ff2b4fa44c5507d6cd84b7fab2226f7,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-flash-s123-fp16,flash,123,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/flash-s123-fp16-b64ga4-formal/best.pt,,d78bae9df8308e7c38e2e783a74c74af44d592afb4527e0db23b2e66f142767c,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-gdn-s124-fp16,gdn,124,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/gdn-s124-fp16-b64ga4-formal/last.pt,,413ab080a3b213cde150f69bd41c6a797a1866f5e142c25f5b148d48b7befe96,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-gdn-s124-fp16,gdn,124,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/gdn-s124-fp16-b64ga4-formal/best.pt,,37b9c9355ba417dfc63b7cef6e59a8602871ab02418ff46c1a8113ff1bba88ab,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-flash-s124-fp16,flash,124,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/flash-s124-fp16-b64ga4-formal/last.pt,,541631e05a43e594d0746a6e7bc783ebe190501837c4fe37ed9f30e2a4e51547,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-flash-s124-fp16,flash,124,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/flash-s124-fp16-b64ga4-formal/best.pt,,4148dee580a418a8e67f700a40b74987a4ae0c352a4e6dee4fbd741184dc8720,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-gdn-s125-fp16,gdn,125,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/gdn-s125-fp16-b64ga4-formal/last.pt,,383e98cb234fa6899ec9c29fa48659e5410f6d6858a9b6fcfd4e3e125231c771,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-gdn-s125-fp16,gdn,125,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/gdn-s125-fp16-b64ga4-formal/best.pt,,7c9160cc4cd970e7a3028a74423b6a35c309b0503b879478fae5c2030c659be6,,file_sha256,large_raw_retained_on_source_machine
checkpoint,2080ti,2080ti-flash-s125-fp16,flash,125,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/flash-s125-fp16-b64ga4-formal/last.pt,,3ced25c62ce1405b2f4063a62c7dac760693ded843a2b114c206ba61fb8c7d04,,file_sha256,large_raw_retained_on_source_machine
