source_machine,accuracy,checkpoint_role,dataset_hash,eval_precision,event_id,logical_source_id,loss,machine,model,num_examples,peak_allocated_mib,seed,shape,status,train_precision,wall_clock_sec
2080ti,0.96802734375,last,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-1024x256-n1000-b64-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,1.1795395897626877,2080ti,gdn,1000,4142.72265625,123,1024x256,completed,fp32,29.978284318000078
2080ti,0.967875,last,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-1024x256-n500-b64-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,1.1769169043302536,2080ti,gdn,500,4142.72265625,123,1024x256,completed,fp32,28.260137802921236
2080ti,0.48097265625,last,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-2048x512-n500-b32-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,4.091510255336761,2080ti,gdn,500,4142.72265625,123,2048x512,completed,fp32,29.793178922962397
2080ti,0.075884765625,last,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-4096x1024-n500-b16-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,7.2677234296798705,2080ti,gdn,500,4142.72265625,123,4096x1024,completed,fp32,36.351682785199955
2080ti,1.0,last,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-64x4-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.0007791538089513779,2080ti,gdn,1000,653.5146484375,123,64x4,completed,fp32,20.306204359047115
2080ti,1.0,last,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-64x8-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.0007997407026123256,2080ti,gdn,1000,653.5146484375,123,64x8,completed,fp32,20.305892954114825
2080ti,1.0,last,7298e6d64228dc9b8e75d90a58ceed496d8665e6ebf015689030e2593ffbf970,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-64x16-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.0011954962951131166,2080ti,gdn,1000,653.5146484375,123,64x16,completed,fp32,20.318769647041336
2080ti,1.0,last,a23066631270a2b388cbcbb247516054c1ccd018cd0270e1167315940e48a0a9,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-128x32-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.002748359509278089,2080ti,gdn,1000,1293.8037109375,123,128x32,completed,fp32,20.68378374306485
2080ti,1.0,last,b5a14d15ac1321e868ed153a60a440ab1170bf0bf9dbab035adeabc115b1a47d,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-256x64-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.01253534161299467,2080ti,gdn,1000,2574.3818359375,123,256x64,completed,fp32,21.184058582177386
2080ti,0.999234375,last,bdc202e48037c839a7c56b7e1f7c9c7d6f368d38e006a46d739da726c94fd649,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-512x64-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.020017709380015732,2080ti,gdn,1000,5135.5380859375,123,512x64,completed,fp32,22.057723890058696
2080ti,0.999953125,last,042872131264d4b41ea03a6cdbf7733e3e4301ca773349ec9434d827bd9c4a5e,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-512x128-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,0.12775095508247614,2080ti,gdn,1000,5135.5380859375,123,512x128,completed,fp32,22.196541156154126
2080ti,0.968015625,last,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-1024x256-n1000-b64-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,1.179621855020523,2080ti,gdn,1000,5135.53759765625,123,1024x256,completed,fp32,22.768986070994288
2080ti,0.967890625,last,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-1024x256-n500-b64-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,1.1769973804950715,2080ti,gdn,500,5135.53759765625,123,1024x256,completed,fp32,22.12220918899402
2080ti,0.480859375,last,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-2048x512-n500-b32-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,4.091834707260132,2080ti,gdn,500,5135.53759765625,123,2048x512,completed,fp32,22.648711706046015
2080ti,0.075873046875,last,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-4096x1024-n500-b16-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-last,7.2680371541976925,2080ti,gdn,500,5135.53759765625,123,4096x1024,completed,fp32,26.263139973860234
2080ti,1.0,best,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-64x4-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,0.000779347363190027,2080ti,gdn,1000,,123,64x4,deduplicated,fp32,
2080ti,1.0,best,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-64x8-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,0.0007997313644154928,2080ti,gdn,1000,,123,64x8,deduplicated,fp32,
2080ti,1.0,best,7298e6d64228dc9b8e75d90a58ceed496d8665e6ebf015689030e2593ffbf970,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-64x16-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,0.0011955446581705474,2080ti,gdn,1000,,123,64x16,deduplicated,fp32,
2080ti,1.0,best,a23066631270a2b388cbcbb247516054c1ccd018cd0270e1167315940e48a0a9,fp32,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp32-128x32-n1000-b128-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,0.00274861577374395,2080ti,gdn,1000,,123,128x32,deduplicated,fp32,
