machine,variant,status,started_at,finished_at,log_path,config_path,result_path,read_topk,dense_read_chunked,write_strength_mode,inj_warmup_end_optimizer_step,final_accuracy,best_accuracy,final_loss,final_acc_1024x256,best_acc_1024x256,final_acc_512x128,best_acc_512x128,final_acc_512x64,best_acc_512x64,final_read_topk_effective,final_read_selected_mass_mean,final_read_entropy_mean,final_read_margin_top1_top2_mean,final_inject_ratio,final_lambda_mean,final_update_norm_max,final_m_norm_max,final_write_strength_mean,final_raw_topk_mass_mean,final_write_top1_mass_mean
2080ti,baseline-r2,completed,2026-07-04T14:54:00+08:00,2026-07-04T15:59:00+08:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/logs/baseline-r2.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/configs/baseline-r2.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/results/baseline-r2.json,2,False,renorm_topk,0,0.966,0.966,0.376,0.823,0.823,0.954,0.954,0.976,0.976,2.0,0.268,0.904,0.809,0.132,0.151,1.01,4.37,0.00752,0.754,0.831
3090,baseline-r2,completed,2026-07-04T06:53:56+00:00,2026-07-04T07:38:56+00:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/logs/baseline-r2.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/configs/baseline-r2.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/results/baseline-r2.json,2,False,renorm_topk,0,0.894,0.894,0.839,0.452,0.452,0.818,0.818,0.943,0.943,2.0,0.342,0.678,0.937,0.203,0.128,2.46,7.09,0.0295,0.781,0.78
2080ti,baseline-r4,completed,2026-07-04T15:59:12+08:00,2026-07-04T16:39:12+08:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/logs/baseline-r4.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/configs/baseline-r4.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/results/baseline-r4.json,4,False,renorm_topk,0,0.943,0.943,1.03,0.753,0.753,0.926,0.926,0.95,0.95,4.0,0.34,0.696,1.26,0.118,0.332,3.1,10.9,0.0302,0.679,0.774
3090,baseline-r4,completed,2026-07-04T07:39:07+00:00,2026-07-04T08:19:07+00:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/logs/baseline-r4.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/configs/baseline-r4.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/results/baseline-r4.json,4,False,renorm_topk,0,0.582,0.582,3.69,0.0564,0.0564,0.177,0.177,0.371,0.371,4.0,0.382,0.538,1.38,0.158,0.189,4.92,9.95,0.0436,0.728,0.828
2080ti,fixed-r8,completed,2026-07-04T16:39:24+08:00,2026-07-04T17:39:24+08:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/logs/fixed-r8.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/configs/fixed-r8.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/results/fixed-r8.json,8,False,renorm_topk,0,0.974,0.974,0.344,0.865,0.865,0.966,0.966,0.979,0.979,8.0,0.293,1.3,0.469,0.318,0.344,0.221,1.92,0.00448,0.74,0.83
3090,fixed-r8,completed,2026-07-04T08:19:17+00:00,2026-07-04T08:44:17+00:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/logs/fixed-r8.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/configs/fixed-r8.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/results/fixed-r8.json,8,False,renorm_topk,0,0.00882,0.00882,8.0,0.000438,0.000438,0.000492,0.000492,0.00106,0.00106,8.0,0.419,0.26,2.56,0.0333,0.0196,3.64,4.27,0.0721,0.801,0.938
2080ti,fixed-r16,completed,2026-07-04T17:39:36+08:00,2026-07-04T18:34:36+08:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/logs/fixed-r16.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/configs/fixed-r16.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/results/fixed-r16.json,16,False,renorm_topk,0,0.983,0.983,0.287,0.912,0.912,0.977,0.977,0.986,0.986,16.0,0.407,0.413,2.15,0.23,0.551,0.152,2.04,0.00127,0.749,0.783
3090,fixed-r16,completed,2026-07-04T08:44:27+00:00,2026-07-04T09:24:27+00:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/logs/fixed-r16.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/configs/fixed-r16.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/results/fixed-r16.json,16,False,renorm_topk,0,0.971,0.971,0.4,0.85,0.85,0.964,0.964,0.978,0.978,16.0,0.35,1.24,0.598,0.158,0.269,3.92,9.97,0.0164,0.736,0.86
2080ti,fixed-r64,completed,2026-07-04T18:34:49+08:00,2026-07-04T19:24:49+08:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/logs/fixed-r64.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/configs/fixed-r64.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-2080ti-20260704T065500Z/results/fixed-r64.json,64,True,renorm_topk,0,0.522,0.522,4.02,0.0146,0.0146,0.072,0.072,0.229,0.229,64.0,0.411,0.298,1.65,0.291,0.195,1.59,4.11,0.0223,0.746,0.801
3090,fixed-r64,completed,2026-07-04T09:24:37+00:00,2026-07-04T10:09:37+00:00,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/logs/fixed-r64.log,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/configs/fixed-r64.json,zoology/experiments/flash_vqg/scripts/20260704-01-flash-vqg-default-dropout-read-support-write-confidence-screen/outputs/read-support-3090-20260704T065500Z/results/fixed-r64.json,64,True,renorm_topk,0,0.939,0.939,0.558,0.71,0.71,0.913,0.913,0.953,0.953,64.0,0.426,0.332,1.77,0.067,0.122,4.23,10.9,0.033,0.724,0.806
