target,machine,layer_idx,records,update_norm_max,update_norm_mean,update_norm_p95,err_norm_mean,err_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio,actual_cap_scale_mean,actual_cap_scale_min,hypothetical_cap_scale_mean,hypothetical_cap_scale_min,top_code_idx,top_code_share,top_head_idx,top_head_share
baseline-r2,2080ti,1,4288,2.9177446365356445,0.5212322839765129,2.2349298000335693,1.33662261277326,3.2903122901916504,0.0,0.2103544776119403,1.0,1.0,0.8767514425712838,0.17136523660743322,39,0.32392723880597013,0,0.5830223880597015
baseline-r2,3090,1,4288,4.083294868469238,0.5224590726134214,1.4699087142944336,1.9085487449374885,6.028800010681152,0.0,0.2980410447761194,1.0,1.0,0.8680600636329581,0.12245013306801475,39,0.4986007462686567,0,0.6884328358208955
ucap0p5-r2,2080ti,1,4288,2.4678955078125,0.3808992815676576,1.805283546447754,1.1683795737978349,2.4129390716552734,0.12453358208955224,0.12453358208955224,0.9498900222670611,0.20260177111038247,0.9498900223423008,0.20260177078696145,50,0.33861940298507465,0,0.5093283582089553
ucap0p5-r2,3090,1,4288,3.9786245822906494,0.5579681833232961,2.1944355964660645,1.520151851768258,4.192949295043945,0.2980410447761194,0.2980410447761194,0.8577860406453296,0.1256715678747759,0.8577860407893967,0.12567157057882813,39,0.3381529850746269,0,0.5279850746268657
