variant,machine,update_norm_cap,loss_step704,update_norm_cap_active,update_norm_effective_cap,update_norm_cap_hit_ratio,update_norm_p95,update_norm_max,m_norm_max,lambda_mean,inject_ratio
baseline-r2,2080ti,,2.520878314971924,0.0,0.0,0.0,0.4853808879852295,2.0912904739379883,6.725901126861572,0.09025292098522186,0.6222720742225647
baseline-r2,3090,,1.815398931503296,0.0,0.0,0.0,0.3614744544029236,4.0242509841918945,10.868510246276855,0.19923284649848938,0.20636436343193054
ucap0p5-r2,2080ti,0.5,1.4673993587493896,1.0,0.5,7.62939453125e-05,0.13311682641506195,0.6166419386863708,4.772891521453857,0.11506545543670654,0.3968959152698517
ucap0p5-r2,3090,0.5,3.092344045639038,1.0,0.5,0.05316925048828125,0.5271779298782349,4.459525108337402,5.176085472106934,0.08882783353328705,0.4254361689090729
