queue,machine,target,variant,gpu,pid,status,log,config_json,result_json,started_at,finished_at,status_path
inline-2080ti-gpu0-baseline,2080ti,baseline-r2,baseline-r2,0,111054,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu0-baseline-20260702T053830Z/logs/baseline-r2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu0-baseline-20260702T053830Z/configs/baseline-r2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu0-baseline-20260702T053830Z/results/baseline-r2.json,2026-07-02T13:38:44+08:00,2026-07-02T15:58:44+08:00,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu0-baseline-20260702T053830Z/queue-status.tsv
inline-2080ti-gpu1-ucap0p5,2080ti,ucap0p5-r2,ucap0p5-r2,1,111164,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu1-ucap0p5-20260702T053830Z/logs/ucap0p5-r2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu1-ucap0p5-20260702T053830Z/configs/ucap0p5-r2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu1-ucap0p5-20260702T053830Z/results/ucap0p5-r2.json,2026-07-02T13:38:44+08:00,2026-07-02T16:13:44+08:00,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-2080ti-gpu1-ucap0p5-20260702T053830Z/queue-status.tsv
inline-3090-gpu0-all,3090,baseline-r2,baseline-r2,0,3672599,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/logs/baseline-r2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/configs/baseline-r2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/results/baseline-r2.json,2026-07-02T05:38:41+00:00,2026-07-02T06:58:41+00:00,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/queue-status.tsv
inline-3090-gpu0-all,3090,ucap0p5-r2,ucap0p5-r2,0,3674558,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/logs/ucap0p5-r2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/configs/ucap0p5-r2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/results/ucap0p5-r2.json,2026-07-02T06:58:49+00:00,2026-07-02T08:48:49+00:00,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/inline-3090-gpu0-all-20260702T053830Z/queue-status.tsv
