target,machine,train_step,layer_idx,records,update_norm_max,update_norm_p95,actual_cap_hit_ratio,actual_cap_scale_min,hypothetical_cap_hit_ratio,hypothetical_cap_scale_min
baseline-r2,2080ti,0,1,256,0.21929703652858734,0.18072645366191864,0.0,1.0,0.0,1.0
baseline-r2,2080ti,1,1,256,0.2379445880651474,0.19105704128742218,0.0,1.0,0.0,1.0
baseline-r2,2080ti,2,1,256,0.23399700224399567,0.20035119354724884,0.0,1.0,0.0,1.0
baseline-r2,2080ti,4,1,256,0.22657641768455505,0.20092448592185974,0.0,1.0,0.0,1.0
baseline-r2,2080ti,8,1,256,0.2516811788082123,0.2104632556438446,0.0,1.0,0.0,1.0
baseline-r2,2080ti,16,1,256,0.25057029724121094,0.2169623076915741,0.0,1.0,0.0,1.0
baseline-r2,2080ti,24,1,256,0.29181042313575745,0.24082688987255096,0.0,1.0,0.0,1.0
baseline-r2,2080ti,32,1,256,0.3620366156101227,0.30096378922462463,0.0,1.0,0.0,1.0
baseline-r2,2080ti,48,1,256,0.6025941371917725,0.46731558442115784,0.0,1.0,0.0234375,0.829745875607279
baseline-r2,2080ti,64,1,256,0.5939417481422424,0.37723398208618164,0.0,1.0,0.00390625,0.8418333979113648
baseline-r2,2080ti,96,1,256,0.5222554206848145,0.4406592845916748,0.0,1.0,0.01171875,0.9573859460268852
baseline-r2,2080ti,128,1,256,0.5153191685676575,0.39647603034973145,0.0,1.0,0.00390625,0.9702724651011189
baseline-r2,2080ti,192,1,256,1.122734546661377,0.5914146900177002,0.0,1.0,0.1171875,0.4453412442743715
baseline-r2,2080ti,256,1,256,1.9795398712158203,0.9991254806518555,0.0,1.0,0.61328125,0.25258395007366197
baseline-r2,2080ti,384,1,256,2.9177446365356445,2.58320951461792,0.0,1.0,1.0,0.17136523660743322
baseline-r2,2080ti,512,1,256,1.7283693552017212,1.466229796409607,0.0,1.0,1.0,0.2892900169140317
baseline-r2,2080ti,703,1,192,2.357897996902466,1.862396001815796,0.0,1.0,1.0,0.2120532782405525
baseline-r2,3090,0,1,256,0.2233160138130188,0.1840309351682663,0.0,1.0,0.0,1.0
baseline-r2,3090,1,1,256,0.21251842379570007,0.19132694602012634,0.0,1.0,0.0,1.0
baseline-r2,3090,2,1,256,0.2134978324174881,0.19349083304405212,0.0,1.0,0.0,1.0
baseline-r2,3090,4,1,256,0.23619146645069122,0.20241603255271912,0.0,1.0,0.0,1.0
baseline-r2,3090,8,1,256,0.24838154017925262,0.20571191608905792,0.0,1.0,0.0,1.0
baseline-r2,3090,16,1,256,0.2683899402618408,0.21887119114398956,0.0,1.0,0.0,1.0
baseline-r2,3090,24,1,256,0.2863839268684387,0.2452404499053955,0.0,1.0,0.0,1.0
baseline-r2,3090,32,1,256,0.34108757972717285,0.30266448855400085,0.0,1.0,0.0,1.0
baseline-r2,3090,48,1,256,0.6137985587120056,0.5450353026390076,0.0,1.0,0.21484375,0.8145995015843628
baseline-r2,3090,64,1,256,0.47054794430732727,0.39650505781173706,0.0,1.0,0.0,1.0
baseline-r2,3090,96,1,256,0.5754557251930237,0.4752565920352936,0.0,1.0,0.01953125,0.8688765757474848
baseline-r2,3090,128,1,256,0.5632501840591431,0.3624270260334015,0.0,1.0,0.0078125,0.8877049917617043
baseline-r2,3090,192,1,256,1.7563223838806152,1.051137089729309,0.0,1.0,1.0,0.28468577556658137
baseline-r2,3090,256,1,256,2.4950292110443115,1.5741451978683472,0.0,1.0,1.0,0.20039845537147905
baseline-r2,3090,384,1,256,1.2806476354599,0.9599184393882751,0.0,1.0,1.0,0.39042745729229605
baseline-r2,3090,512,1,256,1.330653190612793,1.0151833295822144,0.0,1.0,1.0,0.3757553083908661
baseline-r2,3090,703,1,192,4.083294868469238,3.790172576904297,0.0,1.0,1.0,0.12245013306801475
ucap0p5-r2,2080ti,0,1,256,0.21929703652858734,0.18072645366191864,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,1,1,256,0.2379445880651474,0.19105704128742218,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,2,1,256,0.23399700224399567,0.20035119354724884,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,4,1,256,0.22657644748687744,0.20092448592185974,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,8,1,256,0.2516811490058899,0.2104632705450058,0.0,1.0,0.0,1.0
