target,train_step,layer_idx,records_2080ti,records_3090,update_norm_max_2080ti,update_norm_max_3090,update_norm_max_abs_gap,hypothetical_cap_hit_ratio_2080ti,hypothetical_cap_hit_ratio_3090,hypothetical_cap_hit_ratio_abs_gap,actual_cap_hit_ratio_2080ti,actual_cap_hit_ratio_3090,actual_cap_hit_ratio_abs_gap
baseline-r2,0,1,256,256,0.21929703652858734,0.2233160138130188,0.0040189772844314575,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,1,1,256,256,0.2379445880651474,0.21251842379570007,0.025426164269447327,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,2,1,256,256,0.23399700224399567,0.2134978324174881,0.02049916982650757,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,4,1,256,256,0.22657641768455505,0.23619146645069122,0.00961504876613617,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,8,1,256,256,0.2516811788082123,0.24838154017925262,0.0032996386289596558,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,16,1,256,256,0.25057029724121094,0.2683899402618408,0.017819643020629883,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,24,1,256,256,0.29181042313575745,0.2863839268684387,0.005426496267318726,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,32,1,256,256,0.3620366156101227,0.34108757972717285,0.02094903588294983,0.0,0.0,0.0,0.0,0.0,0.0
baseline-r2,48,1,256,256,0.6025941371917725,0.6137985587120056,0.011204421520233154,0.0234375,0.21484375,0.19140625,0.0,0.0,0.0
baseline-r2,64,1,256,256,0.5939417481422424,0.47054794430732727,0.12339380383491516,0.00390625,0.0,0.00390625,0.0,0.0,0.0
baseline-r2,96,1,256,256,0.5222554206848145,0.5754557251930237,0.05320030450820923,0.01171875,0.01953125,0.0078125,0.0,0.0,0.0
baseline-r2,128,1,256,256,0.5153191685676575,0.5632501840591431,0.047931015491485596,0.00390625,0.0078125,0.00390625,0.0,0.0,0.0
baseline-r2,192,1,256,256,1.122734546661377,1.7563223838806152,0.6335878372192383,0.1171875,1.0,0.8828125,0.0,0.0,0.0
baseline-r2,256,1,256,256,1.9795398712158203,2.4950292110443115,0.5154893398284912,0.61328125,1.0,0.38671875,0.0,0.0,0.0
baseline-r2,384,1,256,256,2.9177446365356445,1.2806476354599,1.6370970010757446,1.0,1.0,0.0,0.0,0.0,0.0
baseline-r2,512,1,256,256,1.7283693552017212,1.330653190612793,0.3977161645889282,1.0,1.0,0.0,0.0,0.0,0.0
baseline-r2,703,1,192,192,2.357897996902466,4.083294868469238,1.7253968715667725,1.0,1.0,0.0,0.0,0.0,0.0
ucap0p5-r2,0,1,256,256,0.21929703652858734,0.2233160138130188,0.0040189772844314575,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,1,1,256,256,0.2379445880651474,0.21251842379570007,0.025426164269447327,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,2,1,256,256,0.23399700224399567,0.2134978324174881,0.02049916982650757,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,4,1,256,256,0.22657644748687744,0.23619145154953003,0.009615004062652588,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,8,1,256,256,0.2516811490058899,0.248381569981575,0.0032995790243148804,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,16,1,256,256,0.25057029724121094,0.26838985085487366,0.01781955361366272,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,24,1,256,256,0.29181042313575745,0.2863815128803253,0.005428910255432129,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,32,1,256,256,0.36203667521476746,0.34107333421707153,0.020963340997695923,0.0,0.0,0.0,0.0,0.0,0.0
ucap0p5-r2,48,1,256,256,0.6025961637496948,0.6132751107215881,0.01067894697189331,0.0234375,0.21484375,0.19140625,0.0234375,0.21484375,0.19140625
ucap0p5-r2,64,1,256,256,0.5938622355461121,0.47055840492248535,0.12330383062362671,0.00390625,0.0,0.00390625,0.00390625,0.0,0.00390625
ucap0p5-r2,96,1,256,256,0.5222616791725159,0.5755378007888794,0.053276121616363525,0.01171875,0.01953125,0.0078125,0.01171875,0.01953125,0.0078125
ucap0p5-r2,128,1,256,256,0.5151196122169495,0.5544969439506531,0.03937733173370361,0.00390625,0.0078125,0.00390625,0.00390625,0.0078125,0.00390625
ucap0p5-r2,192,1,256,256,1.1736143827438354,1.6896661520004272,0.5160517692565918,0.15625,1.0,0.84375,0.15625,1.0,0.84375
ucap0p5-r2,256,1,256,256,0.8663365244865417,1.988153338432312,1.1218168139457703,0.48046875,1.0,0.51953125,0.48046875,1.0,0.51953125
ucap0p5-r2,384,1,256,256,2.4678955078125,2.5376577377319336,0.0697622299194336,1.0,1.0,0.0,1.0,1.0,0.0
ucap0p5-r2,512,1,256,256,0.35761967301368713,1.2049837112426758,0.8473640382289886,0.0,1.0,1.0,0.0,1.0,1.0
ucap0p5-r2,703,1,192,192,0.7231005430221558,3.9786245822906494,3.2555240392684937,0.5416666666666666,1.0,0.45833333333333337,0.5416666666666666,1.0,0.45833333333333337
