variant,description,update_norm_cap,completed_machines,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_within_4pp,read_topk
baseline-r2,"default-dropout fixed read_topk=2, no update_norm_cap, training-minibatch event trace enabled",,"2080ti,3090",True,0.664,0.786,0.122,12.2,False,2
ucap0p5-r2,"default-dropout fixed read_topk=2, update_norm_cap=0.5, training-minibatch event trace enabled",0.5,"2080ti,3090",True,0.827,0.542,0.2849999999999999,28.499999999999993,False,2
