actual_cap_hit,actual_cap_scale,actual_update_norm_cap,addr_d_norm,block_idx,code_idx,epoch_idx,err_norm,event_idx_in_block_pack,event_rank_in_block,global_step,head_idx,hypothetical_cap,hypothetical_cap_hit,hypothetical_cap_scale,layer_idx,micro_step,optimizer_step,raw_topk_mass,run_id,sample_idx,sum_zeta_pack,sum_zeta_uncapped_pack,target_u_norm,token_ell,token_pos,trace_phase,train_batch_idx,update_norm_uncapped,valid_batch_idx,write_q_entropy,write_q_raw_entropy,write_q_raw_top1,write_q_top1,write_top1_mass,zeta_after_update_cap,zeta_before_update_cap,zeta_pack,zeta_uncapped_pack,experiment_id,machine,target,trace_path
False,1.0,,0.9999998807907104,0,39,0,11.388711929321289,9537,2,703,0,0.5,True,0.1303175428752168,1,0,703,0.8154921531677246,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,37,,,11.388760566711426,1,1,train_inline,2812,3.8367819786071777,,,,,,,0.3368934094905853,0.3368934094905853,0.3368934094905853,0.3368934094905853,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_0/update_event_trace.jsonl
False,1.0,,0.9999999403953552,0,39,0,10.757235527038574,3137,2,703,0,0.5,True,0.1307551475886059,1,1,703,0.8146968483924866,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,12,0.40192440152168274,0.40192440152168274,10.7572660446167,1,1,train_inline,2813,3.823941230773926,,0.2576165795326233,0.2576165795326233,0.9482711553573608,0.9482711553573608,0.9482712149620056,0.3554762005805969,0.3554762005805969,0.3554762005805969,0.3554762005805969,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,1.0,1,39,0,9.329957962036133,8256,1,703,0,0.5,True,0.13192011441557774,1,2,703,0.8144702911376953,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,32,,,2.23146390914917,0,32,train_inline,2814,3.790172576904297,,,,,,,0.40623682737350464,0.40623682737350464,0.40623682737350464,0.40623682737350464,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_2/update_event_trace.jsonl
False,1.0,,0.9999999403953552,0,39,0,11.459553718566895,13377,3,703,0,0.5,True,0.13238469352481871,1,0,703,0.8144218921661377,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,52,,,11.459604263305664,1,1,train_inline,2812,3.776871681213379,,,,,,,0.3295827805995941,0.3295827805995941,0.3295827805995941,0.3295827805995941,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_0/update_event_trace.jsonl
True,0.13245029948165912,0.5,0.9999998807907104,0,63,0,6.113676071166992,13051,0,703,1,0.5,True,0.13245029431896999,1,0,703,0.7057762145996094,20260702-02-flash-vqg-training-minibatch-event-trace-ucap0p5-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,50,,,6.1094279289245605,1,1,train_inline,2812,3.775001049041748,,,,,,,0.08178386092185974,0.6174682974815369,0.6174682974815369,0.6174682974815369,20260702-02-flash-vqg-training-minibatch-event-trace,3090,ucap0p5-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/ucap0p5-r2/inline-3090-gpu0-all/train_inline_step_703/micro_0/update_event_trace.jsonl
False,1.0,,0.9999999403953552,0,39,0,9.971651077270508,13633,3,703,0,0.5,True,0.13285932326099942,1,1,703,0.8141745924949646,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,53,,,9.97181224822998,1,1,train_inline,2813,3.7633790969848633,,,,,,,0.37740781903266907,0.37740781903266907,0.37740781903266907,0.37740781903266907,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
True,0.13349922358905153,0.5,1.0,0,14,0,5.435861110687256,1435,0,703,1,0.5,True,0.13349922449383622,1,2,703,0.6857027411460876,20260702-02-flash-vqg-training-minibatch-event-trace-ucap0p5-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,5,0.01694572903215885,0.01694572903215885,5.570544719696045,7,7,train_inline,2814,3.74534010887146,,0.746182918548584,0.746182918548584,0.7554601430892944,0.7554601430892944,0.7554601430892944,0.09198174625635147,0.6890058517456055,0.6890058517456055,0.6890058517456055,20260702-02-flash-vqg-training-minibatch-event-trace,3090,ucap0p5-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/ucap0p5-r2/inline-3090-gpu0-all/train_inline_step_703/micro_2/update_event_trace.jsonl
False,1.0,,1.0,1,39,0,10.936531066894531,3905,0,703,0,0.5,True,0.13415406384746054,1,1,703,0.8151795864105225,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,15,0.2704507112503052,0.2704507112503052,2.4305129051208496,1,33,train_inline,2813,3.727058172225952,,0.2571808099746704,0.2571808099746704,0.9484183192253113,0.9484183192253113,0.948418378829956,0.340789794921875,0.340789794921875,0.340789794921875,0.340789794921875,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,1.0,0,39,0,10.049108505249023,833,4,703,0,0.5,True,0.13452777470046326,1,1,703,0.8142492175102234,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,3,0.28200972080230713,0.28200972080230713,10.049178123474121,1,1,train_inline,2813,3.7167046070098877,,0.2559747099876404,0.2559747099876404,0.9487073421478271,0.9487073421478271,0.9487073421478271,0.3698541522026062,0.3698541522026062,0.3698541522026062,0.3698541522026062,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,1.0,0,39,0,10.586533546447754,2625,2,703,0,0.5,True,0.13496229663566664,1,2,703,0.8145222067832947,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,10,0.29162994027137756,0.29162994027137756,10.58656120300293,1,1,train_inline,2814,3.7047383785247803,,0.2562122941017151,0.2562122941017151,0.9486562013626099,0.9486562013626099,0.9486562609672546,0.3499481976032257,0.3499481976032257,0.3499481976032257,0.3499481976032257,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_2/update_event_trace.jsonl
