target,machine,train_step,loss,gd_residual_lambda_mean,gd_residual_inject_ratio,gd_residual_m_norm_max,gd_residual_update_norm_max,gd_residual_write_strength_max
default-r2,2080ti,128,8.460675239562988,0.002793524879962206,0.03389317914843559,0.9706618189811707,0.4884053170681,0.6761828660964966
default-r2,2080ti,256,8.38841724395752,0.0007062063086777925,0.00038690329529345036,4.858187675476074,1.6870014667510986,0.5194776058197021
default-r2,2080ti,384,8.336068153381348,0.010213525965809822,0.12834329903125763,2.725670337677002,1.1756246089935303,0.7445585131645203
default-r2,2080ti,512,4.467772006988525,0.2396811693906784,1.1552977561950684,2.875298261642456,0.661605179309845,0.320709764957428
default-r2,2080ti,704,1.2828998565673828,0.24791711568832397,0.8295504450798035,5.707824230194092,0.5638706684112549,0.14901186525821686
default-r4,2080ti,128,8.460652351379395,0.0029130305629223585,0.034932319074869156,0.8787649869918823,0.47569113969802856,0.6890943646430969
default-r4,2080ti,256,8.390883445739746,0.0018986333161592484,0.0034209846053272486,3.6172115802764893,3.1143083572387695,0.8862687349319458
default-r4,2080ti,384,8.380847930908203,0.09686556458473206,0.1865653097629547,3.779151201248169,0.7105130553245544,0.43777307868003845
default-r4,2080ti,512,8.3740873336792,0.26460152864456177,0.42130711674690247,8.999163627624512,5.028417110443115,0.7348616719245911
default-r4,2080ti,704,1.7538210153579712,0.442738801240921,0.2760874032974243,11.71796703338623,3.57763934135437,0.5592727661132812
dropout005-r4,2080ti,128,8.462882041931152,0.003033042885363102,0.0462925098836422,0.8033023476600647,0.6188035011291504,0.8372442722320557
dropout005-r4,2080ti,256,8.38805866241455,0.03837607800960541,0.051499173045158386,7.491849422454834,5.408875942230225,0.7337824702262878
dropout005-r4,2080ti,384,5.684885025024414,0.12193372845649719,0.195450097322464,5.528811454772949,1.4752345085144043,0.5633331537246704
dropout005-r4,2080ti,512,2.5200119018554688,0.13566738367080688,0.16389884054660797,6.637465953826904,3.12229061126709,0.6206967830657959
dropout005-r4,2080ti,704,1.9095345735549927,0.09809228032827377,0.14754092693328857,12.741202354431152,3.585857629776001,0.5034244656562805
default-r2,3090,128,8.460023880004883,0.0025590648874640465,0.0247290451079607,0.8318099975585938,0.36578214168548584,0.5384448170661926
default-r2,3090,256,8.387886047363281,0.001192997908219695,0.002090134657919407,2.9422895908355713,0.821658194065094,0.6110901832580566
default-r2,3090,384,8.355717658996582,0.030524376779794693,0.11550243198871613,0.8095443844795227,0.17163093388080597,0.10747630149126053
default-r2,3090,512,7.8209333419799805,0.12269752472639084,0.6069044470787048,1.6947804689407349,0.6139625310897827,0.23085206747055054
default-r2,3090,704,3.752636432647705,0.11075694859027863,0.7339379191398621,8.683148384094238,1.928260087966919,0.4273434579372406
default-r4,3090,128,8.460065841674805,0.0025464515201747417,0.027635809034109116,0.7334981560707092,0.34062665700912476,0.5372841358184814
default-r4,3090,256,8.393004417419434,0.001229829853400588,0.0022089143749326468,3.2898576259613037,1.3594603538513184,0.5235633254051208
default-r4,3090,384,8.383648872375488,0.0012260399525985122,0.00148236402310431,3.3784689903259277,0.9834780097007751,0.633706271648407
default-r4,3090,512,8.374608039855957,0.015175340697169304,0.033850107342004776,2.9863269329071045,0.9737710952758789,0.49452343583106995
default-r4,3090,704,6.39837646484375,0.1972772181034088,0.34412193298339844,21.50261878967285,4.977944374084473,0.49811047315597534
dropout005-r4,3090,128,8.465267181396484,0.002726658247411251,0.039835166186094284,0.781343400478363,0.7044720649719238,0.8498926162719727
dropout005-r4,3090,256,8.373980522155762,0.00886454526335001,0.02034119889140129,1.4970135688781738,0.347827672958374,0.17857232689857483
dropout005-r4,3090,384,8.451581954956055,0.029326047748327255,0.2746189534664154,2.9659173488616943,0.9881304502487183,0.7339711785316467
dropout005-r4,3090,512,2.7905235290527344,0.2871490716934204,1.0711911916732788,2.642092227935791,0.3016051948070526,0.1840093731880188
dropout005-r4,3090,704,1.3254063129425049,0.24109384417533875,0.5517640113830566,1.629753828048706,0.16749128699302673,0.10808708518743515
