machine,failures,model,selected_batch_size,slice
2080ti,,flash,32,1024x256
2080ti,,flash,32,2048x512
2080ti,,flash,32,4096x1024
2080ti,b32:oom,flash,16,8190x512
2080ti,b32:oom,flash,16,8190x2047
2080ti,,gdn,32,1024x256
2080ti,,gdn,32,2048x512
2080ti,,gdn,32,4096x1024
2080ti,b32:oom,gdn,16,8190x512
2080ti,b32:oom,gdn,16,8190x2047
