variant,reference_machine,reference_1024x256_accuracy,candidate_machine,candidate_1024x256_accuracy,absolute_gap,gap_percentage_points,within_4pp,both_completed,read_trace_enabled_2080ti,read_trace_enabled_3090
inj-warmup-linear512-r2,2080ti,0.846,3090,0.771,0.07499999999999996,7.499999999999996,False,True,False,False
inj-warmup-silent64-linear512-r2,2080ti,0.816,3090,0.748,0.06799999999999995,6.799999999999995,False,True,False,False
