machine,variant,read_trace_enabled,read_trace_train_steps,read_trace_valid_batches,read_trace_output_dir,read_candidate_churn_enabled,hash_probe_steps,train_inline_event_trace_enabled,event_trace_train_steps,config_path
2080ti,inj-warmup-linear512-r2,False,[],[],,,null,False,null,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu0-linear512-20260703T025329Z/configs/inj-warmup-linear512-r2.json
2080ti,inj-warmup-silent64-linear512-r2,False,[],[],,,null,False,null,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu1-silent64linear512-20260703T025329Z/configs/inj-warmup-silent64-linear512-r2.json
3090,inj-warmup-linear512-r2,False,[],[],,,null,False,null,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/configs/inj-warmup-linear512-r2.json
3090,inj-warmup-silent64-linear512-r2,False,[],[],,,null,False,null,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/configs/inj-warmup-silent64-linear512-r2.json
