variant,previous_experiment,previous_2080ti_1024x256,previous_3090_1024x256,previous_gap_pp,current_experiment,current_2080ti_1024x256,current_3090_1024x256,current_gap_pp,delta_2080ti,delta_3090,delta_gap_pp,reproduced_within_4pp
inj-warmup-linear512-r2,20260702-03-flash-vqg-injection-warmup-screen,0.871,0.814,5.7,20260703-02-flash-vqg-injection-warmup-repro-rerun,0.846,0.771,7.499999999999996,-0.025000000000000022,-0.04299999999999993,1.7999999999999954,False
inj-warmup-silent64-linear512-r2,20260702-03-flash-vqg-injection-warmup-screen,0.775,0.819,4.4,20260703-02-flash-vqg-injection-warmup-repro-rerun,0.816,0.748,6.799999999999995,0.040999999999999925,-0.07099999999999995,2.399999999999995,False
