variant,cache_unique_hashes,cache_all_match_expected,init_unique_hashes,init_all_match_expected,batch_order_unique_hashes,read_trace_train_steps_unique,machines
inj-warmup-linear512-r2,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,[],"2080ti,3090"
inj-warmup-silent64-linear512-r2,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,[],"2080ti,3090"
