machine,variant,preflight_passed,cache_combined_content_sha256,cache_expected_combined_content_sha256,cache_match_expected,cache_file_count,init_actual_model_state_sha256,init_expected_model_state_sha256,init_match_expected,init_match_embedded,init_num_tensors,batch_order_sha256,batch_order_first_16,read_trace_enabled,read_trace_train_steps,zoology_commit,flash_vqg_commit,preflight_path,preflight_sha256,cache_hash_path,cache_hash_sha256,init_verify_path,init_verify_sha256,batch_order_path,batch_order_sha256_file
2080ti,inj-warmup-linear512-r2,True,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,13,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,True,27,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,[],3ba3e6e,a51b6b0,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu0-linear512-20260703T025329Z/preflight-inj-warmup-linear512-r2.json,ecb97874c283e17bf106a38e3c11e22391391872d4c4d9958a59c3c3c064c511,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu0-linear512-20260703T025329Z/cache-hash-inj-warmup-linear512-r2.json,751f84b432b5e5ce2064a901ffaa94a1310956bfea94ca8e5def345a0ccba986,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu0-linear512-20260703T025329Z/init-verify.json,17328c6022d894f8e47a6856564f272d926b2e462eeb164b0db377873e96997d,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu0-linear512-20260703T025329Z/preflight/batch-order-inj-warmup-linear512-r2.json,45bf7e68d1fa88497190a3a8761fde34e5d0977b1bc47b63eed67b4a1d3eaeae
2080ti,inj-warmup-silent64-linear512-r2,True,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,13,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,True,27,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,[],3ba3e6e,a51b6b0,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu1-silent64linear512-20260703T025329Z/preflight-inj-warmup-silent64-linear512-r2.json,783eb90da9da4d22441e347b7036f9c98d901fe51a57b8e62e3b99e3b1c0a44c,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu1-silent64linear512-20260703T025329Z/cache-hash-inj-warmup-silent64-linear512-r2.json,8ecd00feca7691e64a5d66227687690683c0be325373bf887be5c97443a10784,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu1-silent64linear512-20260703T025329Z/init-verify.json,4976a4b74f7ab5aa4045ce7ac4ae5ceb841dcdedce766dba329f22e637dc0ade,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-2080ti-gpu1-silent64linear512-20260703T025329Z/preflight/batch-order-inj-warmup-silent64-linear512-r2.json,2de7de029a56ee1bba44b7c1b9fd0529e6f1f7dd9ea87077bc2e8ccbf5b6f5c9
3090,inj-warmup-linear512-r2,True,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,13,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,True,27,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,[],3ba3e6e,a51b6b0,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/preflight-inj-warmup-linear512-r2.json,66c59d5c3a381348dc896474a6f7fe90d0a06204b43944732d750ac25d97ac74,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/cache-hash-inj-warmup-linear512-r2.json,8c033506deb41bc40b24f9344636d806bb9875e4a032d2f7acc49e0749ccbb62,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/init-verify.json,312167c40cb29e7280ff654aa6e5321318c12096924704061a2db6aadde53c04,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/preflight/batch-order-inj-warmup-linear512-r2.json,8000e4de4c4c3f52bada4120748c5ad96b67b306385de3f46943acf8ce961635
3090,inj-warmup-silent64-linear512-r2,True,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,d9098e876a036b8cb90a7186174fd827e0f5b422482266772850069c905bd8c8,True,13,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,2a1107bf22d0804ed485ab94bdc7af8004ef7b892a60c2967f842ba0f4b4efb0,True,True,27,fb11b66aca3ad686a85f9623c9ae6769bb4a799fdaa0d952c0af518f0dfcc320,"[487, 968, 1599, 205, 1685, 1567, 1443, 72, 1336, 2219, 756, 2572, 1778, 2588, 2430, 2464]",False,[],3ba3e6e,a51b6b0,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/preflight-inj-warmup-silent64-linear512-r2.json,3a3f73d0c40a427d5bb2441d6506f357d5f0771c3ae6b7278f625a26519b4c9c,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/cache-hash-inj-warmup-silent64-linear512-r2.json,6f37289906987d690da57c410e583ebb350b5fd781cddfb62f7552f8b450faec,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/init-verify.json,312167c40cb29e7280ff654aa6e5321318c12096924704061a2db6aadde53c04,zoology/experiments/flash_vqg/scripts/20260703-02-flash-vqg-injection-warmup-repro-rerun/outputs/reprowarm-3090-gpu0-all-20260703T025329Z/preflight/batch-order-inj-warmup-silent64-linear512-r2.json,e814ccae72f2ca2d53501d58e80217f2a3dbb6248a7d670ad4efb882fc4d13ce
