experiment_id,machine,target,run_id,train_step,valid_batch_idx,records,entropy_mean,selected_mass_mean,selected_mass_p05,margin_top1_top2_mean,margin_top1_top2_p05,unique_top1_ids,source_path
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r2,rscreen-cb64r16-default-s123-r2-d123-b64ga4-2080ti,64,441,64,3.709168668836355,0.16127350216265768,0.10330772399902344,0.3809301210567355,0.027982473373413086,28,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r2/train_step_64/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r2,rscreen-cb64r16-default-s123-r2-d123-b64ga4-2080ti,704,441,64,1.883274638094008,0.652009816840291,0.44463372230529785,1.4994795210659504,0.3084902763366699,26,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r2/train_step_704/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r3,rscreen-cb64r16-default-s123-r3-d123-b64ga4-2080ti,0,441,64,3.705371495336294,0.03305469811311923,0.015996186062693596,0.34923721104860306,0.03581559658050537,41,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r3/train_step_0/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r3,rscreen-cb64r16-default-s123-r3-d123-b64ga4-2080ti,130,441,64,0.46863374940585345,0.8846615399233997,0.7103149890899658,4.293907776474953,2.292208671569824,2,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r3/train_step_130/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r3,rscreen-cb64r16-default-s123-r3-d123-b64ga4-2080ti,203,441,64,0.0017049112411768874,0.9867156455293298,0.9817085862159729,10.139113962650299,9.119321823120117,2,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r3/train_step_203/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r3,rscreen-cb64r16-default-s123-r3-d123-b64ga4-2080ti,352,441,64,0.9595494861714542,0.7776444889605045,0.40029481053352356,3.0411066971719265,0.3092918395996094,5,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r3/train_step_352/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r3,rscreen-cb64r16-default-s123-r3-d123-b64ga4-2080ti,448,441,64,2.474687408655882,0.4844467705115676,0.2959658205509186,0.9781369492411613,0.07885313034057617,29,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r3/train_step_448/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r3,rscreen-cb64r16-default-s123-r3-d123-b64ga4-2080ti,64,441,64,3.709168691188097,0.16127348225563765,0.10330770164728165,0.38092995900660753,0.02798175811767578,28,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r3/train_step_64/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r3,rscreen-cb64r16-default-s123-r3-d123-b64ga4-2080ti,704,441,64,1.8642560024745762,0.6472292025573552,0.35462266206741333,1.8247967772185802,0.25766658782958984,29,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r3/train_step_704/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r4,rscreen-cb64r16-default-s123-r4-d123-b64ga4-2080ti,0,441,64,3.705371495336294,0.03305469811311923,0.015996186062693596,0.34923721104860306,0.03581559658050537,41,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r4/train_step_0/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r4,rscreen-cb64r16-default-s123-r4-d123-b64ga4-2080ti,130,441,64,0.4686366236419417,0.8846610793843865,0.7103142142295837,4.293902359902859,2.2921977043151855,2,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r4/train_step_130/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r4,rscreen-cb64r16-default-s123-r4-d123-b64ga4-2080ti,203,441,64,0.001598097444002633,0.9870418161153793,0.9827541708946228,10.22156722843647,9.305136680603027,2,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r4/train_step_203/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r4,rscreen-cb64r16-default-s123-r4-d123-b64ga4-2080ti,352,441,64,0.8260476572831976,0.7936997294891626,0.2814961075782776,6.5617338344454765,0.38453149795532227,7,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r4/train_step_352/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r4,rscreen-cb64r16-default-s123-r4-d123-b64ga4-2080ti,448,441,64,1.3171779462991253,0.6980308082420379,0.3315070867538452,5.243391752243042,0.4144587516784668,25,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r4/train_step_448/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r4,rscreen-cb64r16-default-s123-r4-d123-b64ga4-2080ti,64,441,64,3.709168702363968,0.16127349599264562,0.10330766439437866,0.3809301992878318,0.027981877326965332,28,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r4/train_step_64/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s123-r4,rscreen-cb64r16-default-s123-r4-d123-b64ga4-2080ti,704,441,64,1.8453928750241175,0.6353559873532504,0.3958786725997925,2.3248919770121574,0.24476051330566406,28,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s123-r4/train_step_704/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r1,rscreen-cb64r16-default-s124-r1-d123-b64ga4-2080ti,0,441,64,3.680791962891817,0.0367459240660537,0.016145505011081696,0.3896352266892791,0.02184927463531494,40,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r1/train_step_0/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r1,rscreen-cb64r16-default-s124-r1-d123-b64ga4-2080ti,130,441,64,2.340938437031582,0.48993299761787057,0.19182118773460388,1.4607910737395287,0.09953999519348145,14,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r1/train_step_130/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r1,rscreen-cb64r16-default-s124-r1-d123-b64ga4-2080ti,203,441,64,2.1426886217668653,0.5471131447702646,0.3551149368286133,1.2315120287239552,0.12449216842651367,7,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r1/train_step_203/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r1,rscreen-cb64r16-default-s124-r1-d123-b64ga4-2080ti,352,441,64,0.8049533916637301,0.8800708651542664,0.8439723253250122,2.9605277478694916,2.5227909088134766,2,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r1/train_step_352/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r1,rscreen-cb64r16-default-s124-r1-d123-b64ga4-2080ti,448,441,64,2.272624211385846,0.48699576896615326,0.2978983521461487,1.1790128275752068,0.02622079849243164,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r1/train_step_448/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r1,rscreen-cb64r16-default-s124-r1-d123-b64ga4-2080ti,64,441,64,3.697836246341467,0.1675031465711072,0.10976395010948181,0.4025553157553077,0.029251575469970703,26,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r1/train_step_64/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r1,rscreen-cb64r16-default-s124-r1-d123-b64ga4-2080ti,704,441,64,1.8846839973703027,0.6429598666727543,0.39411669969558716,1.7111939191818237,0.29005956649780273,25,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r1/train_step_704/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r2,rscreen-cb64r16-default-s124-r2-d123-b64ga4-2080ti,0,441,64,3.680791962891817,0.0367459240660537,0.016145505011081696,0.3896352266892791,0.02184927463531494,40,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r2/train_step_0/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r2,rscreen-cb64r16-default-s124-r2-d123-b64ga4-2080ti,130,441,64,2.3414187654852867,0.4898617402650416,0.1920762062072754,1.4606006834656,0.10053586959838867,14,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r2/train_step_130/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r2,rscreen-cb64r16-default-s124-r2-d123-b64ga4-2080ti,203,441,64,2.300010454375297,0.5102346739731729,0.3437569737434387,1.0234272293746471,0.13488149642944336,6,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r2/train_step_203/read_trace.jsonl
20260625-02-flash-vqg-1epoch-repro-screen,2080ti,default-s124-r2,rscreen-cb64r16-default-s124-r2-d123-b64ga4-2080ti,352,441,64,0.8239506250247359,0.881909679621458,0.8047109246253967,2.4596722796559334,1.7328414916992188,2,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/default-s124-r2/train_step_352/read_trace.jsonl
