experiment_id,queue,machine,stage,target,seed,repeat,gpu,pid,status,log,trace_output_dir,started_at,finished_at,final_1024x256_accuracy,final_valid_accuracy,final_valid_loss,n_validation_summaries,cache_paths
20260625-02-flash-vqg-1epoch-repro-screen,2080ti-smoke,2080ti,smoke,smoke-default-s123,123,,0,100726,failed:1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/2080ti-smoke-20260625T132525Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/smoke-default-s123,2026-06-25T21:25:25+08:00,2026-06-25T21:25:32+08:00,,,,0,[]
20260625-02-flash-vqg-1epoch-repro-screen,2080ti-smoke,2080ti,smoke,smoke-default-s123,123,,0,36,failed:1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/2080ti-smoke-20260625T135156Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/smoke-default-s123,2026-06-25T13:51:56+00:00,2026-06-25T13:52:05+00:00,,,,0,[]
20260625-02-flash-vqg-1epoch-repro-screen,2080ti-smoke,2080ti,smoke,smoke-default-s123,123,,0,36,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/2080ti-smoke-20260625T135329Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/smoke-default-s123,2026-06-25T13:53:29+00:00,2026-06-25T13:54:10+00:00,,0,9,0,"['./data/flash_vqg/data_0192c761df278911bb68046d8d1bd4bb.pt', './data/flash_vqg/data_17c3f028b2c117598f4c7718db1c27c6.pt', './data/flash_vqg/data_25f7a1e8f8e6d2ba1fdbfa481d66614a.pt', './data/flash_vqg/data_2e72f812c43c426a106c777f791c5e7d.pt', './data/flash_vqg/data_3a37505bc239830ae7a7070040e09f6a.pt', './data/flash_vqg/data_5a733a34eb85ae2327c490b501f957ce.pt', './data/flash_vqg/data_5b0265b0978cc6b711cd76fcf34e8969.pt', './data/flash_vqg/data_5e0c59f2a5df62cc996f523c97b0d10a.pt', './data/flash_vqg/data_8ef4855e77aa9e88588d018d5b0461f7.pt', './data/flash_vqg/data_9892a64887c1ed56c1c7421f492d76ed.pt', './data/flash_vqg/data_b53959d96a217faa44c26a74b7d53685.pt', './data/flash_vqg/data_c37268ff6f869244228171c996682e2e.pt', './data/flash_vqg/data_d3faf35348337347822d1f5a2bc43c96.pt']"
20260625-02-flash-vqg-1epoch-repro-screen,2080ti-smoke,2080ti,smoke,smoke-default-s123,123,,0,1057,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/2080ti-smoke-20260625T144200Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/2080ti/smoke-default-s123,2026-06-25T22:41:44+08:00,2026-06-25T22:42:09+08:00,,0,9,0,"['./data/flash_vqg/data_0192c761df278911bb68046d8d1bd4bb.pt', './data/flash_vqg/data_17c3f028b2c117598f4c7718db1c27c6.pt', './data/flash_vqg/data_25f7a1e8f8e6d2ba1fdbfa481d66614a.pt', './data/flash_vqg/data_2e72f812c43c426a106c777f791c5e7d.pt', './data/flash_vqg/data_3a37505bc239830ae7a7070040e09f6a.pt', './data/flash_vqg/data_5a733a34eb85ae2327c490b501f957ce.pt', './data/flash_vqg/data_5b0265b0978cc6b711cd76fcf34e8969.pt', './data/flash_vqg/data_5e0c59f2a5df62cc996f523c97b0d10a.pt', './data/flash_vqg/data_8ef4855e77aa9e88588d018d5b0461f7.pt', './data/flash_vqg/data_9892a64887c1ed56c1c7421f492d76ed.pt', './data/flash_vqg/data_b53959d96a217faa44c26a74b7d53685.pt', './data/flash_vqg/data_c37268ff6f869244228171c996682e2e.pt', './data/flash_vqg/data_d3faf35348337347822d1f5a2bc43c96.pt']"
20260625-02-flash-vqg-1epoch-repro-screen,3090-gpu0,3090,screen,default-s123-r1,123,r1,0,36,failed:1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/3090-gpu0-20260625T135503Z/logs/default-s123-r1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/3090/default-s123-r1,2026-06-25T13:55:03+00:00,2026-06-25T13:55:09+00:00,,,,0,[]
20260625-02-flash-vqg-1epoch-repro-screen,3090-gpu0,3090,screen,default-s123-r1,123,r1,0,3457013,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/3090-gpu0-20260625T145800Z/logs/default-s123-r1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/3090/default-s123-r1,2026-06-25T14:57:41+00:00,2026-06-25T16:13:08+00:00,0.399,0.873,0.894,8,"['./data/flash_vqg/data_0192c761df278911bb68046d8d1bd4bb.pt', './data/flash_vqg/data_17c3f028b2c117598f4c7718db1c27c6.pt', './data/flash_vqg/data_25f7a1e8f8e6d2ba1fdbfa481d66614a.pt', './data/flash_vqg/data_2e72f812c43c426a106c777f791c5e7d.pt', './data/flash_vqg/data_3a37505bc239830ae7a7070040e09f6a.pt', './data/flash_vqg/data_5a733a34eb85ae2327c490b501f957ce.pt', './data/flash_vqg/data_5b0265b0978cc6b711cd76fcf34e8969.pt', './data/flash_vqg/data_5e0c59f2a5df62cc996f523c97b0d10a.pt', './data/flash_vqg/data_8ef4855e77aa9e88588d018d5b0461f7.pt', './data/flash_vqg/data_9892a64887c1ed56c1c7421f492d76ed.pt', './data/flash_vqg/data_b53959d96a217faa44c26a74b7d53685.pt', './data/flash_vqg/data_c37268ff6f869244228171c996682e2e.pt', './data/flash_vqg/data_d3faf35348337347822d1f5a2bc43c96.pt']"
20260625-02-flash-vqg-1epoch-repro-screen,3090-gpu0,3090,screen,default-s123-r2,123,r2,0,3461829,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/3090-gpu0-20260625T145800Z/logs/default-s123-r2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/3090/default-s123-r2,2026-06-25T16:45:49+00:00,2026-06-25T17:58:36+00:00,0.46,0.882,0.871,8,"['./data/flash_vqg/data_0192c761df278911bb68046d8d1bd4bb.pt', './data/flash_vqg/data_17c3f028b2c117598f4c7718db1c27c6.pt', './data/flash_vqg/data_25f7a1e8f8e6d2ba1fdbfa481d66614a.pt', './data/flash_vqg/data_2e72f812c43c426a106c777f791c5e7d.pt', './data/flash_vqg/data_3a37505bc239830ae7a7070040e09f6a.pt', './data/flash_vqg/data_5a733a34eb85ae2327c490b501f957ce.pt', './data/flash_vqg/data_5b0265b0978cc6b711cd76fcf34e8969.pt', './data/flash_vqg/data_5e0c59f2a5df62cc996f523c97b0d10a.pt', './data/flash_vqg/data_8ef4855e77aa9e88588d018d5b0461f7.pt', './data/flash_vqg/data_9892a64887c1ed56c1c7421f492d76ed.pt', './data/flash_vqg/data_b53959d96a217faa44c26a74b7d53685.pt', './data/flash_vqg/data_c37268ff6f869244228171c996682e2e.pt', './data/flash_vqg/data_d3faf35348337347822d1f5a2bc43c96.pt']"
20260625-02-flash-vqg-1epoch-repro-screen,3090-gpu0,3090,screen,default-s124-r1,124,r1,0,3459939,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/3090-gpu0-20260625T145800Z/logs/default-s124-r1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/3090/default-s124-r1,2026-06-25T16:13:08+00:00,2026-06-25T16:45:49+00:00,0.917,0.984,0.298,8,"['./data/flash_vqg/data_0192c761df278911bb68046d8d1bd4bb.pt', './data/flash_vqg/data_17c3f028b2c117598f4c7718db1c27c6.pt', './data/flash_vqg/data_25f7a1e8f8e6d2ba1fdbfa481d66614a.pt', './data/flash_vqg/data_2e72f812c43c426a106c777f791c5e7d.pt', './data/flash_vqg/data_3a37505bc239830ae7a7070040e09f6a.pt', './data/flash_vqg/data_5a733a34eb85ae2327c490b501f957ce.pt', './data/flash_vqg/data_5b0265b0978cc6b711cd76fcf34e8969.pt', './data/flash_vqg/data_5e0c59f2a5df62cc996f523c97b0d10a.pt', './data/flash_vqg/data_8ef4855e77aa9e88588d018d5b0461f7.pt', './data/flash_vqg/data_9892a64887c1ed56c1c7421f492d76ed.pt', './data/flash_vqg/data_b53959d96a217faa44c26a74b7d53685.pt', './data/flash_vqg/data_c37268ff6f869244228171c996682e2e.pt', './data/flash_vqg/data_d3faf35348337347822d1f5a2bc43c96.pt']"
20260625-02-flash-vqg-1epoch-repro-screen,3090-gpu0,3090,screen,default-s124-r2,124,r2,0,3465284,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/3090-gpu0-20260625T145800Z/logs/default-s124-r2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/3090/default-s124-r2,2026-06-25T17:58:36+00:00,2026-06-25T18:31:43+00:00,0.913,0.983,0.312,8,"['./data/flash_vqg/data_0192c761df278911bb68046d8d1bd4bb.pt', './data/flash_vqg/data_17c3f028b2c117598f4c7718db1c27c6.pt', './data/flash_vqg/data_25f7a1e8f8e6d2ba1fdbfa481d66614a.pt', './data/flash_vqg/data_2e72f812c43c426a106c777f791c5e7d.pt', './data/flash_vqg/data_3a37505bc239830ae7a7070040e09f6a.pt', './data/flash_vqg/data_5a733a34eb85ae2327c490b501f957ce.pt', './data/flash_vqg/data_5b0265b0978cc6b711cd76fcf34e8969.pt', './data/flash_vqg/data_5e0c59f2a5df62cc996f523c97b0d10a.pt', './data/flash_vqg/data_8ef4855e77aa9e88588d018d5b0461f7.pt', './data/flash_vqg/data_9892a64887c1ed56c1c7421f492d76ed.pt', './data/flash_vqg/data_b53959d96a217faa44c26a74b7d53685.pt', './data/flash_vqg/data_c37268ff6f869244228171c996682e2e.pt', './data/flash_vqg/data_d3faf35348337347822d1f5a2bc43c96.pt']"
20260625-02-flash-vqg-1epoch-repro-screen,3090-gpu0-r3r4,3090,screen,default-s123-r3,123,r3,0,3470103,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/3090-gpu0-r3r4-20260625T195034Z/logs/default-s123-r3.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-02-flash-vqg-1epoch-repro-screen/outputs/traces/3090/default-s123-r3,2026-06-25T19:50:34+00:00,2026-06-25T20:59:19+00:00,0.697,0.937,0.519,8,"['./data/flash_vqg/data_0192c761df278911bb68046d8d1bd4bb.pt', './data/flash_vqg/data_17c3f028b2c117598f4c7718db1c27c6.pt', './data/flash_vqg/data_25f7a1e8f8e6d2ba1fdbfa481d66614a.pt', './data/flash_vqg/data_2e72f812c43c426a106c777f791c5e7d.pt', './data/flash_vqg/data_3a37505bc239830ae7a7070040e09f6a.pt', './data/flash_vqg/data_5a733a34eb85ae2327c490b501f957ce.pt', './data/flash_vqg/data_5b0265b0978cc6b711cd76fcf34e8969.pt', './data/flash_vqg/data_5e0c59f2a5df62cc996f523c97b0d10a.pt', './data/flash_vqg/data_8ef4855e77aa9e88588d018d5b0461f7.pt', './data/flash_vqg/data_9892a64887c1ed56c1c7421f492d76ed.pt', './data/flash_vqg/data_b53959d96a217faa44c26a74b7d53685.pt', './data/flash_vqg/data_c37268ff6f869244228171c996682e2e.pt', './data/flash_vqg/data_d3faf35348337347822d1f5a2bc43c96.pt']"
