variant,reference_machine,reference_1024x256_accuracy,candidate_machine,candidate_1024x256_accuracy,absolute_gap,gap_percentage_points,within_4pp
fixed-r2-baseline,2080ti,0.775,3090,0.84,0.06499999999999995,6.499999999999995,False
fixed-r4,2080ti,0.9,3090,0.897,0.0030000000000000027,0.30000000000000027,True
