abs_l2_norm_gap,abs_mean_gap,candidate_l2_norm,candidate_mean,candidate_sample,candidate_sha256,dtype_match,layer_idx,micro_step,optimizer_step,ref_l2_norm,ref_mean,ref_sample,ref_sha256,sha256_match,shape_match,trace_name
0.0,1.964508555829525e-10,724.0740356445312,-4.802132025361061e-10,"[0.02532190829515457,0.15918952226638794,-0.7185203433036804,-0.155963733792305,-0.5711404085159302,-0.2691114842891693,-0.22938433289527893,-2.4623677730560303]",ce513891fb8efa13a41de32d8fb8fdc9f7269a8f28bad19d2fd3d9b34ee59a13,True,1,0,0,724.0740356445312,-2.837623469531536e-10,"[0.02532190829515457,0.15918952226638794,-0.7185203433036804,-0.155963733792305,-0.5711404085159302,-0.2691114842891693,-0.22938433289527893,-2.4623677730560303]",ce513891fb8efa13a41de32d8fb8fdc9f7269a8f28bad19d2fd3d9b34ee59a13,True,True,fox_gate/input_x
0.0,2.3283064365386963e-10,20.328201293945312,0.00172038609161973,"[-0.2620857357978821,0.4892271161079407,-0.0837068185210228,0.06343735009431839,-0.02092479169368744,0.2494209110736847,0.01649858057498932,-0.40035274624824524]",be0245b0061825d2b513a21e0137351a8507f430eee14bdd9ac05a53ef302a18,True,1,0,0,20.328201293945312,0.0017203858587890863,"[-0.2620856761932373,0.48922717571258545,-0.083706796169281,0.06343737244606018,-0.020924754440784454,0.2494209110736847,0.016498565673828125,-0.4003526270389557]",1e06fe0ae90f69c777ede6c8ecc8174b8f99a55c59b9b3f13c31fb7c93c3deb7,False,True,fox_gate/logits_cuda
0.0,0.0,4.002523899078369,-0.04365961626172066,"[-0.05204698070883751,-0.02988486737012863,-0.04599225893616676,-0.04137071594595909,-0.04397901892662048,-0.036012064665555954,-0.04280824586749077,-0.05707665532827377]",dceaec5c4111d88a580fc8425d7618b87f122679f07cfec4bf3151edaf2e8139,True,1,0,0,4.002523899078369,-0.04365961626172066,"[-0.05204698070883751,-0.029884863644838333,-0.04599225893616676,-0.04137071594595909,-0.043979015201330185,-0.036012064665555954,-0.04280824586749077,-0.057076647877693176]",476c88d729d9555ba6a7c8401c79eed44a91fe0a5e52a7fbee01245d16a52b10,False,True,fox_gate/logf_cuda
0.0,0.0,20.328201293945312,0.0017203855095431209,"[-0.26208573652702566,0.48922715412047246,-0.08370679527125154,0.06343735019055553,-0.020924777343609854,0.24942087489139905,0.016498561049070215,-0.40035271848105913]",71b8ae984a3904741eba100b28919d71e5def4b2cd11364596ebfc457f01cfb5,True,1,0,0,20.328201293945312,0.0017203855095431209,"[-0.2620857365270256,0.4892271541204725,-0.08370679527125159,0.06343735019055556,-0.02092477734360984,0.24942087489139902,0.01649856104907023,-0.40035271848105924]",d9daf893f8dce6bfd96627ccc08baa79416911cda02beab568adffec257a2250,False,True,fox_gate/logits_ref_fp64_cpu
0.0,0.0,4.002523899078369,-0.04365961626172066,"[-0.05204698147697186,-0.029884863758890958,-0.04599226100345978,-0.0413707161445869,-0.04397901868885331,-0.03601206348351598,-0.042808245310256,-0.05707665222169802]",764c8690967f74556f6c1a12bebdfd7732e18318b82d16b563c97df686e83950,True,1,0,0,4.002523899078369,-0.04365961626172066,"[-0.05204698147697186,-0.029884863758890958,-0.04599226100345978,-0.0413707161445869,-0.04397901868885331,-0.03601206348351599,-0.042808245310256,-0.05707665222169803]",b13958988a1cd5ae25f07dcdd40c064b61a26f32c47f5e563c7abb740cfe5371,False,True,fox_gate/logf_ref_fp64_cpu
0.0,0.0,4.002523899078369,-0.04365961626172066,"[-0.05204698070883751,-0.02988486737012863,-0.04599225893616676,-0.04137071594595909,-0.04397901892662048,-0.036012064665555954,-0.04280824586749077,-0.05707665532827377]",dceaec5c4111d88a580fc8425d7618b87f122679f07cfec4bf3151edaf2e8139,True,1,0,0,4.002523899078369,-0.04365961626172066,"[-0.05204698070883751,-0.029884863644838333,-0.04599225893616676,-0.04137071594595909,-0.043979015201330185,-0.036012064665555954,-0.04280824586749077,-0.057076647877693176]",476c88d729d9555ba6a7c8401c79eed44a91fe0a5e52a7fbee01245d16a52b10,False,True,state_build/logf_all
0.0,0.0,5.0671491622924805,0.0009069809457287192,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",8fd7d205d0bc36efac559df6f0c3d46bce6e47a3d2f8f92c6c2dd9ff8ce95575,True,1,0,0,5.0671491622924805,0.0009069809457287192,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",23cda5831a1b5e953bf403d65c81efe1457a0a9b08379e7683aa50f553cb7d44,False,True,state_build/G_state
0.0,0.0,25.248516082763672,0.13812081515789032,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",6f8c23ee8b57d64c6072f80d48f91bdd32c5fcce6059dfc807e5e39be6aaeb8f,True,1,0,0,25.248516082763672,0.13812081515789032,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",a67e82aff7cb42fa6b1498aee1b10275b8dbe01c069ace347b7a03ed905b25ff,False,True,state_build/L_state
0.0,4.547473508864641e-13,6.691649436950684,5.044794306741096e-06,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",6a275ffee6b1e1d2a225e942d3af4ec702b59781786e4d534c868b652f5d245c,True,1,0,0,6.691649436950684,5.044794761488447e-06,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",e84ed3bb11dceff043c27710eb05196a531a34a5acd6c1ef8ffda28f2114f16f,False,True,state_build/M_state
0.0,0.0,90.5096664428711,0.5,"[1,0,1,0,1,0,1,0]",dc11edbaeecd85c2e2c82456db4232b7ddbbdfd7d6481b97eca720a60ac56f7c,True,1,0,0,90.5096664428711,0.5,"[1,0,1,0,1,0,1,0]",dc11edbaeecd85c2e2c82456db4232b7ddbbdfd7d6481b97eca720a60ac56f7c,True,True,phase2_read/top_idx
