config,run_id,requested_run_id,model_family,source,source_run_set,comparison_scope,run_type,gpu,status,source_status,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,swanlab_url,swanlab_run_dir,launch_id,elapsed_sec,wall_clock,oom,observed_peak_memory_used_mib,peak_memory_total_mib,gpu_name,gpu_compute_capability,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,actual_kernel_dtype,dtype_comparison_scope,fallback_from_profiles,failure_reason,log_path,gpu_memory_sample_path,manifest_path,source_analysis_dir,seed,data_seed,num_codebook_vectors,rank,dynamic_capacity_total,dynamic_capacity,relative_to_gdn_h2_ev8,relative_to_gdn_h2_ev10,trainable_params,zoology_state_size_metric_seq1024,train_config_path,last_checkpoint,best_checkpoint,fox_remote_formula,fox_remote_read_topk,fox_gd_residual_write_topk,fox_gd_residual_builder,fox_gd_residual_pack_mode,fox_gd_residual_chunk_size,fox_gd_residual_mu_min_count,vq_score_mode,vq_weight_mode,vq_update_mode,vq_softmax_tau,vq_topk,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,1,mid_epoch,0.5,0,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.000234375
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,2,epoch_end,1.0,0,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.28062109375
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,3,mid_epoch,1.5,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.4986640625
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,4,epoch_end,2.0,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.6449296875
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,5,mid_epoch,2.5,2,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.717625
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,6,epoch_end,3.0,2,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.73205859375
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,7,mid_epoch,3.5,3,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.74252734375
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,8,epoch_end,4.0,3,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.77210546875
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,1,mid_epoch,0.5,0,input_seq_len,128,valid/input_seq_len/accuracy-128,0.0003125
cb128-r8-s123-d123,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,flash,20260520_flash_capacity_decomposition,20260520_flash_capacity_decomposition,b64_ga4_fp32_official,flash_capacity_decomposition_official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/mjnxsntoor409jwaq4bd4,/home/lyj/mnt/project/zoology/swanlog/run-20260520_130457-mjnxsntoor409jwaq4bd4,flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52,17599.74024502188,04:53:20,False,4849,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1.log,tmp/20260520-flash-capacity-decomposition-logs/gd-cb128-r8-s123-gpu1-memory.csv,zoology/experiments/flash_vqg/generated/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep,123,123,128,8,131072,131072,1.00x,0.80x,1167558,657920,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb128-r8-s123-2026-05-20-13-04-52/gd-cb128-r8-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,2,epoch_end,1.0,0,input_seq_len,128,valid/input_seq_len/accuracy-128,0.93203125
