name,dtype,shape,sha256_2080ti,sha256_3090,mean_2080ti,mean_3090,mean_delta_3090_minus_2080ti,std_2080ti,std_3090,std_delta_3090_minus_2080ti,min_2080ti,min_3090,min_delta_3090_minus_2080ti,max_2080ti,max_3090,max_delta_3090_minus_2080ti
backbone.embeddings.word_embeddings.weight,torch.float32,8192x128,ce5c28d60c92935630e43f592c4f84f4bc3e4723ba975e01810d82186ddde5b3,2443599680bbbdedd39bce31fd966838a1fb3b3b20361dbf2dda5016706e0bee,-7.682043360546231e-06,-7.8517241490772e-06,-1.6968078853096813e-07,0.020015886053442955,0.01998811960220337,-2.7766451239585876e-05,-0.10584133863449097,-0.09290039539337158,0.012940943241119385,0.10818390548229218,0.10024432837963104,-0.007939577102661133
backbone.layers.1.sequence_mixer.mixer.attn.quantizer.codebook,torch.float32,2x64x64,85fb047168a1158e9bf64b5e9f9a332027ea19963e29e4e49f2fe8801d2e212f,d3cb539ded0bdb4d938491821f0d37113f9ba485bcb219ed224c85a8f0a6eafc,0.0017860784428194165,0.0017860790248960257,5.820766091346741e-10,0.3535701632499695,0.3535701632499695,0.0,-1.353157877922058,-1.3531577587127686,1.1920928955078125e-07,1.3331955671310425,1.3331955671310425,0.0
lm_head.weight,torch.float32,8192x128,ce5c28d60c92935630e43f592c4f84f4bc3e4723ba975e01810d82186ddde5b3,2443599680bbbdedd39bce31fd966838a1fb3b3b20361dbf2dda5016706e0bee,-7.682043360546231e-06,-7.8517241490772e-06,-1.6968078853096813e-07,0.020015886053442955,0.01998811960220337,-2.7766451239585876e-05,-0.10584133863449097,-0.09290039539337158,0.012940943241119385,0.10818390548229218,0.10024432837963104,-0.007939577102661133
