training_seed,read_topk,completed_runs,expected_runs,values,min_1024x256,max_1024x256,gap,gap_percentage_points,all_above_0p85,passes_screen
123,8,4,4,"0.118000,0.713000,0.918000,0.948000",0.118,0.948,0.83,83.0,False,False
123,16,4,4,"0.958000,0.960000,0.924000,0.833000",0.833,0.96,0.127,12.7,False,False
124,8,4,4,"0.899000,0.875000,0.948000,0.941000",0.875,0.948,0.07299999999999995,7.299999999999995,True,False
124,16,4,4,"0.886000,0.896000,0.938000,0.933000",0.886,0.938,0.051999999999999935,5.199999999999994,True,False
125,8,4,4,"0.960000,0.943000,0.668000,0.710000",0.668,0.96,0.2919999999999999,29.199999999999992,False,False
125,16,4,4,"0.842000,0.843000,0.949000,0.962000",0.842,0.962,0.12,12.0,False,False
