experiment_id,machine,target,variant,queue,status,result_json,config_json,log_path,started_at,finished_at,zoology_commit,flash_vqg_commit
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s125-r16-rep1,s125-r16-rep1,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r16-rep1.log,2026-07-08T19:42:09+08:00,2026-07-08T21:49:09+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,2080ti,s125-r16-rep2,s125-r16-rep2,fixed-2080ti-gpu1,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r16-rep2.log,2026-07-08T21:49:23+08:00,2026-07-08T23:54:24+08:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s123-r8-rep1,s123-r8-rep1,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r8-rep1.log,2026-07-07T17:22:45+00:00,2026-07-07T18:41:45+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s123-r8-rep2,s123-r8-rep2,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r8-rep2.log,2026-07-07T18:41:57+00:00,2026-07-07T20:03:57+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s123-r16-rep1,s123-r16-rep1,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r16-rep1.log,2026-07-07T20:04:08+00:00,2026-07-07T21:20:09+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s123-r16-rep2,s123-r16-rep2,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r16-rep2.log,2026-07-07T21:20:20+00:00,2026-07-07T22:41:21+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s124-r8-rep1,s124-r8-rep1,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r8-rep1.log,2026-07-07T22:41:32+00:00,2026-07-07T23:57:32+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s124-r8-rep2,s124-r8-rep2,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r8-rep2.log,2026-07-07T23:57:44+00:00,2026-07-08T01:14:44+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s124-r16-rep1,s124-r16-rep1,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r16-rep1.log,2026-07-08T01:14:55+00:00,2026-07-08T02:29:56+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s124-r16-rep2,s124-r16-rep2,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r16-rep2.log,2026-07-08T02:30:07+00:00,2026-07-08T03:49:07+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s125-r8-rep1,s125-r8-rep1,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r8-rep1.log,2026-07-08T03:49:19+00:00,2026-07-08T04:44:19+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s125-r8-rep2,s125-r8-rep2,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r8-rep2.log,2026-07-08T04:44:30+00:00,2026-07-08T05:37:30+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s125-r16-rep1,s125-r16-rep1,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r16-rep1.log,2026-07-08T05:37:42+00:00,2026-07-08T06:58:42+00:00,1d99c8e,0eba390
20260706-02-flash-vqg-default-dropout-joint-control-dgeom,3090,s125-r16-rep2,s125-r16-rep2,fixed-3090-gpu0,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r16-rep2.log,2026-07-08T06:58:54+00:00,2026-07-08T08:19:54+00:00,1d99c8e,0eba390
