variant,machine,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,log_path,gd_residual_remote_read_topk_effective,gd_residual_read_selected_mass_mean,gd_residual_read_entropy_mean,gd_residual_read_margin_top1_top2_mean,gd_residual_update_norm_mean,gd_residual_update_norm_p95,gd_residual_update_norm_max,gd_residual_update_norm_softcap_hit_ratio,gd_residual_update_norm_softcap_scale_mean,gd_residual_update_norm_softcap_scale_min,gd_residual_update_norm_softcap_scale_p05,gd_residual_update_norm_softcap_effective_cap,gd_residual_m_norm_mean,gd_residual_m_norm_max,gd_residual_m_norm_cap_hit_ratio,gd_residual_lambda_mean,gd_residual_inject_ratio,gd_residual_injection_warmup_factor,gd_residual_write_strength_mean,gd_residual_raw_topk_mass_mean,gd_residual_write_top1_mass_mean,gd_residual_write_q_entropy_mean,gd_residual_write_q_top1_mean,vq_c_entropy,vq_c_usage_max,vq_write_top1_mass_mean,vq_write_entropy_mean
s125-r16-rep1,2080ti,0.317,0.971,0.971,0.842,0.842,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r16-rep1.log,16,0.439,0.506,1.1,0.192,1.17,8.2,0.0912,0.946,0.0613,0.454,0.5,0.196,12.4,,0.249,0.143,1,0.0437,0.759,0.848,0.529,0.848,2,3.08e+3,0.651,1.76
s125-r16-rep2,2080ti,0.317,0.972,0.972,0.843,0.843,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r16-rep2.log,16,0.447,0.48,1.28,0.158,0.951,6.76,0.0894,0.952,0.0746,0.533,0.5,0.179,11.1,,0.224,0.157,1,0.0475,0.756,0.85,0.527,0.85,1.99,3.1e+3,0.65,1.77
s123-r8-rep1,3090,0.203,0.985,0.985,0.918,0.921,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r8-rep1.log,8,0.402,0.729,0.848,0.0194,0.0766,1.26,0.0045,0.998,0.399,1,0.5,0.022,3.04,,0.132,0.175,1,0.0141,0.756,0.833,0.564,0.833,2.09,3.1e+3,0.641,1.83
s123-r8-rep2,3090,0.164,0.99,0.99,0.948,0.948,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r8-rep2.log,8,0.374,0.65,1.3,0.00292,0.0171,0.0685,0,1,1,1,0.5,0.0101,0.528,,0.211,0.179,1,0.00114,0.756,0.822,0.582,0.822,2.11,3.07e+3,0.632,1.84
s123-r16-rep1,3090,0.208,0.986,0.986,0.924,0.924,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r16-rep1.log,16,0.396,0.681,1.28,0.00258,0.0142,0.107,0,1,0.999,1,0.5,0.00973,0.843,,0.588,0.238,1,0.000512,0.753,0.831,0.565,0.831,2.1,3.11e+3,0.638,1.84
s123-r16-rep2,3090,0.331,0.969,0.969,0.833,0.833,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r16-rep2.log,16,0.413,0.685,0.904,0.105,0.625,3.56,0.0626,0.97,0.142,0.739,0.5,0.165,8.67,,0.286,0.18,1,0.0269,0.763,0.867,0.495,0.867,2.02,3.19e+3,0.668,1.77
s124-r8-rep1,3090,0.177,0.99,0.99,0.948,0.948,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r8-rep1.log,8,0.376,0.606,1.18,0.0103,0.0294,0.716,0.00118,0.999,0.665,1,0.5,0.0241,5.58,,0.981,0.249,1,0.00151,0.748,0.828,0.57,0.828,2.11,3.12e+3,0.634,1.85
s124-r8-rep2,3090,0.187,0.989,0.989,0.941,0.941,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r8-rep2.log,8,0.41,0.748,0.865,0.126,0.801,6.3,0.067,0.962,0.0797,0.638,0.5,0.0558,12.1,,0.831,0.257,1,0.0317,0.748,0.837,0.553,0.837,2.1,3.14e+3,0.641,1.84
s124-r16-rep1,3090,0.19,0.988,0.988,0.938,0.938,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r16-rep1.log,16,0.405,0.803,0.811,0.0925,0.549,6.15,0.0478,0.974,0.0817,0.798,0.5,0.0513,11.2,,0.807,0.255,1,0.0262,0.752,0.828,0.574,0.828,2.11,3.1e+3,0.636,1.85
s124-r16-rep2,3090,0.197,0.987,0.987,0.933,0.933,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r16-rep2.log,16,0.412,0.846,0.77,0.196,1.33,8.14,0.0902,0.946,0.0616,0.433,0.5,0.0615,12.4,,0.805,0.234,1,0.0527,0.75,0.825,0.578,0.825,2.11,3.09e+3,0.632,1.85
s125-r8-rep1,3090,1.05,0.921,0.921,0.668,0.668,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r8-rep1.log,8,0.353,0.722,0.986,0.0866,0.538,2.75,0.0568,0.974,0.184,0.808,0.5,0.24,5.02,,0.349,0.183,1,0.0155,0.701,0.774,0.634,0.774,2.33,2.81e+3,0.578,2.03
s125-r8-rep2,3090,0.933,0.933,0.933,0.71,0.71,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r8-rep2.log,8,0.352,0.753,0.989,0.0872,0.535,2.87,0.0559,0.974,0.176,0.811,0.5,0.241,5.11,,0.337,0.172,1,0.0155,0.725,0.782,0.62,0.782,2.23,2.85e+3,0.592,1.97
s125-r16-rep1,3090,0.165,0.99,0.99,0.949,0.949,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r16-rep1.log,16,0.397,0.653,1.1,0.00239,0.0125,0.0869,0,1,1,1,0.5,0.00891,0.777,,0.445,0.223,1,0.000651,0.756,0.808,0.6,0.808,2.12,3.04e+3,0.623,1.85
s125-r16-rep2,3090,0.144,0.992,0.992,0.962,0.962,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r16-rep2.log,16,0.397,0.681,1.14,0.00254,0.0135,0.0961,0,1,1,1,0.5,0.00943,0.82,,0.427,0.23,1,0.000719,0.758,0.812,0.593,0.812,2.11,3.06e+3,0.627,1.84
