experiment_id,machine,gpu,target,training_seed,read_topk,repeat,status,started_at,finished_at,duration_minutes,dtype_policy,log_path,result_json,config_json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s125-r16-rep1,125,16,1,completed,2026-07-08T19:42:09+08:00,2026-07-08T21:49:09+08:00,127.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r16-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r16-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,2080ti,1,s125-r16-rep2,125,16,2,completed,2026-07-08T21:49:23+08:00,2026-07-08T23:54:24+08:00,125.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/logs/s125-r16-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/results/s125-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-2080ti-gpu1-20260707T172212Z-formal/configs/s125-r16-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s123-r8-rep1,123,8,1,completed,2026-07-07T17:22:45+00:00,2026-07-07T18:41:45+00:00,79.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r8-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r8-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s123-r8-rep2,123,8,2,completed,2026-07-07T18:41:57+00:00,2026-07-07T20:03:57+00:00,82.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r8-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r8-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s123-r16-rep1,123,16,1,completed,2026-07-07T20:04:08+00:00,2026-07-07T21:20:09+00:00,76.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r16-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r16-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s123-r16-rep2,123,16,2,completed,2026-07-07T21:20:20+00:00,2026-07-07T22:41:21+00:00,81.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s123-r16-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s123-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s123-r16-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s124-r8-rep1,124,8,1,completed,2026-07-07T22:41:32+00:00,2026-07-07T23:57:32+00:00,76.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r8-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r8-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s124-r8-rep2,124,8,2,completed,2026-07-07T23:57:44+00:00,2026-07-08T01:14:44+00:00,77.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r8-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r8-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s124-r16-rep1,124,16,1,completed,2026-07-08T01:14:55+00:00,2026-07-08T02:29:56+00:00,75.01666666666667,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r16-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r16-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s124-r16-rep2,124,16,2,completed,2026-07-08T02:30:07+00:00,2026-07-08T03:49:07+00:00,79.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s124-r16-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s124-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s124-r16-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s125-r8-rep1,125,8,1,completed,2026-07-08T03:49:19+00:00,2026-07-08T04:44:19+00:00,55.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r8-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r8-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r8-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s125-r8-rep2,125,8,2,completed,2026-07-08T04:44:30+00:00,2026-07-08T05:37:30+00:00,53.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r8-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r8-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r8-rep2.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s125-r16-rep1,125,16,1,completed,2026-07-08T05:37:42+00:00,2026-07-08T06:58:42+00:00,81.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r16-rep1.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r16-rep1.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r16-rep1.json
20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat,3090,0,s125-r16-rep2,125,16,2,completed,2026-07-08T06:58:54+00:00,2026-07-08T08:19:54+00:00,81.0,torch.float32 matmul precision highest; TF32 matmul disabled,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/logs/s125-r16-rep2.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/results/s125-r16-rep2.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260708-01-flash-vqg-r8-r16-fixed-init-three-seed-repeat/outputs/fixed-3090-gpu0-20260707T172212Z-formal/configs/s125-r16-rep2.json
