accuracy,cuda_device,dataset_hash,eval_event_id,eval_mode,eval_status,failure_detail,failure_type,gpu,gpu_name,input_seq_len,num_kv_pairs,repro_check_accuracy_delta_abs,repro_check_accuracy_match,repro_check_dataset_hash_match,source_config,source_config_family,source_model_family,source_seed,started_at_utc,ended_at_utc,status,timing_backfill_method,wall_clock_sec
0.9569453125,0,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep:1024x256:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,1024,256,,,,mh-h4-k256-v128-usegate0-s123-d123,gdnxk-h4-ek8-ev4-usegate0,gdn,123,2026-05-26T20:20:02.570157+00:00,2026-05-26T20:20:36.294521+00:00,completed,created_at_utc_minus_wall_clock_sec,33.724363565444946
0.9800546875,1,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep:1024x256:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,1024,256,,,,banked-h2-b4-k256-v64-sharedv-usegate0-s123-d123,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,gdn,123,2026-05-26T20:20:12.494777+00:00,2026-05-26T20:20:45.679281+00:00,completed,created_at_utc_minus_wall_clock_sec,33.18450379371643
0.4105,0,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep:2048x512:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,2048,512,,,,mh-h4-k256-v128-usegate0-s123-d123,gdnxk-h4-ek8-ev4-usegate0,gdn,123,2026-05-26T20:20:37.147292+00:00,2026-05-26T20:21:16.091793+00:00,completed,created_at_utc_minus_wall_clock_sec,38.94450116157532
0.53251171875,1,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep:2048x512:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,2048,512,,,,banked-h2-b4-k256-v64-sharedv-usegate0-s123-d123,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,gdn,123,2026-05-26T20:20:46.614330+00:00,2026-05-26T20:21:22.896290+00:00,completed,created_at_utc_minus_wall_clock_sec,36.28196048736572
0.07312109375,1,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep:4096x1024:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,4096,1024,,,,banked-h2-b4-k256-v64-sharedv-usegate0-s123-d123,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,gdn,123,2026-05-26T20:21:23.747830+00:00,2026-05-26T20:22:07.658696+00:00,completed,created_at_utc_minus_wall_clock_sec,43.91086554527283
0.053759765625,0,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep:4096x1024:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,4096,1024,,,,mh-h4-k256-v128-usegate0-s123-d123,gdnxk-h4-ek8-ev4-usegate0,gdn,123,2026-05-26T20:21:17.066163+00:00,2026-05-26T20:22:09.681172+00:00,completed,created_at_utc_minus_wall_clock_sec,52.61500906944275
0.3244609375,1,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep:8190x512:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,8190,512,,,,banked-h2-b4-k256-v64-sharedv-usegate0-s123-d123,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,gdn,123,2026-05-26T20:22:08.533624+00:00,2026-05-26T20:23:07.695858+00:00,completed,created_at_utc_minus_wall_clock_sec,59.16223430633545
0.2548046875,0,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep:8190x512:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,8190,512,,,,mh-h4-k256-v128-usegate0-s123-d123,gdnxk-h4-ek8-ev4-usegate0,gdn,123,2026-05-26T20:22:10.532002+00:00,2026-05-26T20:23:38.178757+00:00,completed,created_at_utc_minus_wall_clock_sec,87.6467547416687
0.002273571079628725,1,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep:8190x2047:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,8190,2047,,,,banked-h2-b4-k256-v64-sharedv-usegate0-s123-d123,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,gdn,123,2026-05-26T20:23:08.575595+00:00,2026-05-26T20:24:07.736657+00:00,completed,created_at_utc_minus_wall_clock_sec,59.16106152534485
0.002525647288715193,0,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:mh-h4-k256-v128-s123-d123-b64-ga4-fp32-noearly4ep:8190x2047:n500,formal,completed,,,0,NVIDIA GeForce RTX 2080 Ti,8190,2047,,,,mh-h4-k256-v128-usegate0-s123-d123,gdnxk-h4-ek8-ev4-usegate0,gdn,123,2026-05-26T20:23:39.036602+00:00,2026-05-26T20:24:54.978971+00:00,completed,created_at_utc_minus_wall_clock_sec,75.94236946105957
0.6185859375,1,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep:1024x256:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,1024,256,,,,banked-h2-b4-k256-v64-sharedv-usegate0-s125-d123,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,gdn,125,2026-05-26T20:26:46.739455+00:00,2026-05-26T20:27:19.144111+00:00,completed,created_at_utc_minus_wall_clock_sec,32.404656410217285
0.0686875,1,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,20260526-gdn-flash-fairness-phase5-longer-mqar:formal:banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep:2048x512:n500,formal,completed,,,1,NVIDIA GeForce RTX 2080 Ti,2048,512,,,,banked-h2-b4-k256-v64-sharedv-usegate0-s125-d123,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,gdn,125,2026-05-26T20:27:19.994335+00:00,2026-05-26T20:27:56.263207+00:00,completed,created_at_utc_minus_wall_clock_sec,36.268872022628784
