experiment_id,machine,gpu,queue,target,status,started_at,finished_at,duration_seconds,valid_loss,valid_accuracy,valid_num_kv_pairs_accuracy_256,valid_input_seq_len_accuracy_1024,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_mqar_case_accuracy_512x64,metric_source,result_json_train_result_is_null,queue_output_dir,log_path,config_json_path,result_json_path,log_sha256,config_json_sha256,result_json_sha256
20260627-02-flash-vqg-canonical-init-lock-screen,2080ti,RTX 2080 Ti,2080ti-gpu0,default-s123-r1,completed,2026-06-27T15:41:24+08:00,2026-06-27T17:06:01+08:00,5077,0.237,0.986,0.933,0.933,0.933,0.985,0.987,log_tail_valid_line,True,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/logs/default-s123-r1.log,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/configs/default-s123-r1.json,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/2080ti-gpu0-20260627T154300Z/results/default-s123-r1.json,6cb919b256a5344b817a4a5cd1505bad46a2528b3e75f6073ccc7ef3254873ed,993b6f76ca9424cf52481e48a2d719919345c78682f23b200e914ea47a036b6b,5c14d63886c13ed208490f02efa1f81b024db8f1971e0026438b6f0e9f6bdcce
20260627-02-flash-vqg-canonical-init-lock-screen,3090,RTX 3090,3090-gpu0,default-s123-r1,completed,2026-06-27T07:34:53+00:00,2026-06-27T08:19:19+00:00,2666,0.318,0.971,0.853,0.853,0.853,0.96,0.976,log_tail_valid_line,True,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/logs/default-s123-r1.log,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/configs/default-s123-r1.json,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/results/default-s123-r1.json,f6b6e3d2686f73b6ec60d3b141935fab6ad4057bdeafb6f316cb0a3c29f62971,481e38ac04dcf734ebfa6a7c0df0fe003ce76dcc9368783719d22b728308a81c,5ae8a429b40f5641c08a3257039aacd9b53afb3d2054da58544cae9a07352154
20260627-02-flash-vqg-canonical-init-lock-screen,3090,RTX 3090,3090-gpu0,default-s123-r2,completed,2026-06-27T08:19:19+00:00,2026-06-27T09:03:24+00:00,2645,0.345,0.966,0.833,0.833,0.833,0.952,0.972,log_tail_valid_line,True,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/logs/default-s123-r2.log,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/configs/default-s123-r2.json,zoology/experiments/flash_vqg/scripts/20260627-02-flash-vqg-canonical-init-lock-screen/outputs/3090-gpu0-20260627T153500Z/results/default-s123-r2.json,a79c13cbde227ca371c09f761fdb19223563987f1be8c509444fc5dc427f5b7a,44d3154b5c8920215c2a0987748f2c965e04dc1a4c9af80fbf0df90cde1882ef,e200bc77789052bb9f983a07715d6ebff785f6901d3ceaaeac63547eb89eda45
