-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::_foreach_sqrt         0.01%     562.639us         0.60%      34.052ms      34.052ms      23.105us         0.00%      23.105us      23.105us           0 b           0 b       4.52 Mb           0 b             1  
                               aten::linalg_vector_norm         0.01%     467.764us         0.58%      32.838ms       4.691ms      34.207us         0.00%      34.207us       4.887us           0 b           0 b      64.00 Kb      64.00 Kb             7  
                                  cudaFuncGetAttributes         0.52%      29.756ms         0.52%      29.756ms       4.959ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
      autograd::engine::evaluate_function: BmmBackward0         0.04%       2.396ms         0.52%      29.703ms     412.535us       0.000us         0.00%       1.252ms      17.392us           0 b           0 b     -33.11 Mb    -114.99 Mb            72  
                                            aten::zeros         0.08%       4.315ms         0.52%      29.284ms      37.786us       0.000us         0.00%       2.080ms       2.684us           0 b           0 b     504.89 Mb           0 b           775  
      autograd::engine::evaluate_function: MulBackward0         0.11%       6.490ms         0.51%      29.163ms     133.163us       0.000us         0.00%       3.284ms      14.997us         -16 b         -16 b    -114.29 Mb    -356.78 Mb           219  
                                              aten::pow         0.01%     754.828us         0.51%      28.965ms       3.621ms     267.263us         0.01%     270.079us      33.760us           0 b           0 b      66.63 Mb      66.63 Mb             8  
                                           BmmBackward0         0.02%       1.235ms         0.46%      25.869ms     359.293us       0.000us         0.00%       1.086ms      15.081us           0 b           0 b      81.89 Mb           0 b            72  
autograd::engine::evaluate_function: SelectBackward0...         0.06%       3.347ms         0.45%      25.496ms      93.735us       0.000us         0.00%       1.384ms       5.089us           0 b           0 b     110.92 Mb     -38.16 Mb           272  
                       flashvqg/attn/phase2/remote_path         0.01%     626.690us         0.44%      25.205ms      25.205ms       0.000us         0.00%     430.047us     430.047us           0 b           0 b      72.35 Mb      -4.38 Mb             1  
                                             aten::flip         0.01%     713.699us         0.43%      24.508ms     875.274us      78.433us         0.00%      78.433us       2.801us           0 b           0 b      68.00 Kb           0 b            28  
                                        aten::remainder         0.05%       2.666ms         0.43%      24.448ms     257.342us     218.048us         0.01%     218.048us       2.295us           8 b           8 b       1.36 Mb       1.36 Mb            95  
                                              aten::add         0.07%       4.196ms         0.43%      24.367ms     102.381us     639.604us         0.02%     639.604us       2.687us           0 b           0 b      56.39 Mb      56.39 Mb           238  
                                        SelectBackward0         0.02%       1.210ms         0.39%      22.091ms      81.218us       0.000us         0.00%       1.379ms       5.069us           0 b           0 b     149.08 Mb           0 b           272  
                                  aten::select_backward         0.05%       2.644ms         0.37%      20.882ms      76.771us       0.000us         0.00%       1.379ms       5.069us           0 b           0 b     149.08 Mb           0 b           272  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.35%      19.741ms         0.35%      19.741ms     221.805us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            89  
                                               aten::eq         0.02%       1.244ms         0.34%      19.203ms     492.386us     100.352us         0.00%     100.352us       2.573us           0 b           0 b     193.00 Kb     193.00 Kb            39  
                                              aten::sum         0.14%       7.836ms         0.33%      18.719ms      57.954us       1.862ms         0.06%       1.862ms       5.766us           0 b           0 b       3.50 Mb       3.50 Mb           323  
                                          aten::maximum         0.01%     423.521us         0.32%      18.395ms      18.395ms       1.824us         0.00%       1.824us       1.824us           0 b           0 b       8.00 Kb       8.00 Kb             1  
                                         aten::quantile         0.06%       3.663ms         0.32%      18.320ms     555.147us       0.000us         0.00%       0.000us       0.000us         396 b     -83.60 Kb           0 b           0 b            33  
                                           aten::conv1d         0.00%     209.549us         0.32%      17.902ms      17.902ms       0.000us         0.00%      14.335us      14.335us           0 b           0 b     520.00 Kb           0 b             1  
                                      aten::convolution         0.00%      39.853us         0.31%      17.693ms      17.693ms       0.000us         0.00%      14.335us      14.335us           0 b           0 b     520.00 Kb           0 b             1  
                                     aten::_convolution         0.01%     614.788us         0.31%      17.653ms      17.653ms       0.000us         0.00%      14.335us      14.335us           0 b           0 b     520.00 Kb    -512.00 Kb             1  
                                         aten::_unique2         0.01%     656.537us         0.31%      17.626ms       4.407ms      95.968us         0.00%      99.967us      24.992us           0 b           0 b      46.50 Kb     -48.50 Kb             4  
                                              aten::div         0.07%       4.177ms         0.30%      16.874ms     267.844us     205.633us         0.01%     205.633us       3.264us           0 b           0 b      25.96 Mb      25.96 Mb            63  
                                            aten::clone         0.01%     816.009us         0.29%      16.662ms     134.368us       0.000us         0.00%       1.175ms       9.478us         396 b           0 b     259.24 Mb           0 b           124  
                                             aten::sqrt         0.01%     423.374us         0.29%      16.606ms       3.321ms      10.144us         0.00%      10.144us       2.029us           0 b           0 b      90.00 Kb      90.00 Kb             5  
                                              aten::min         0.00%     140.755us         0.29%      16.485ms       8.242ms       8.320us         0.00%       8.320us       4.160us           0 b           0 b       2.00 Kb       2.00 Kb             2  
                                        aten::clamp_min         0.01%     635.433us         0.29%      16.484ms     867.581us      39.360us         0.00%      39.360us       2.072us           0 b           0 b       2.07 Mb       2.07 Mb            19  
                                          aten::divide_         0.00%      97.814us         0.29%      16.332ms     510.382us       0.000us         0.00%      71.106us       2.222us           0 b          -8 b           0 b           0 b            32  
                                             aten::div_         0.02%       1.060ms         0.29%      16.234ms     507.326us      71.106us         0.00%      71.106us       2.222us           8 b           8 b           0 b           0 b            32  
                                              aten::neg         0.03%       1.893ms         0.28%      15.965ms     181.418us     174.497us         0.01%     174.497us       1.983us           0 b           0 b      10.24 Mb      10.24 Mb            88  
                                             aten::mean         0.02%     927.803us         0.28%      15.921ms     568.608us      95.808us         0.00%      95.808us       3.422us           0 b           0 b      23.00 Kb      23.00 Kb            28  
                        flashvqg/attn/phase2/local_path         0.01%     485.647us         0.28%      15.892ms      15.892ms       0.000us         0.00%      73.439us      73.439us           0 b           0 b       2.63 Mb      -2.64 Mb             1  
                                              aten::max         0.01%     370.469us         0.26%      14.857ms       2.122ms      39.265us         0.00%      39.265us       5.609us           0 b           0 b      98.50 Kb      98.00 Kb             7  
                                            aten::empty         0.25%      13.963ms         0.26%      14.791ms       8.625us       0.000us         0.00%       0.000us       0.000us      25.59 Kb      25.59 Kb       9.27 Gb       9.27 Gb          1715  
                                           MulBackward0         0.04%       2.017ms         0.24%      13.875ms      63.356us       0.000us         0.00%       1.827ms       8.343us           0 b           0 b     240.34 Mb           0 b           219  
autograd::engine::evaluate_function: IndexSelectBack...         0.04%       2.194ms         0.24%      13.817ms     136.805us       0.000us         0.00%       1.853ms      18.349us           0 b           0 b      46.70 Mb    -159.36 Mb           101  
                                          aten::__and__         0.00%       8.235us         0.24%      13.784ms      13.784ms       0.000us         0.00%       1.984us       1.984us           0 b           0 b         512 b           0 b             1  
                                      aten::bitwise_and         0.00%     238.160us         0.24%      13.776ms      13.776ms       1.984us         0.00%       1.984us       1.984us           0 b           0 b         512 b         512 b             1  
                                       aten::contiguous         0.00%      76.959us         0.23%      13.307ms     532.283us       0.000us         0.00%      95.838us       3.834us           0 b           0 b      10.52 Mb           0 b            25  
                                   cudaEventElapsedTime         0.23%      12.909ms         0.23%      12.909ms       2.033us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6351  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.10%       5.437ms         0.23%      12.801ms      25.653us       0.000us         0.00%     147.069us       0.295us           0 b           0 b      -3.72 Mb      -5.32 Mb           499  
                                     aten::floor_divide         0.01%     496.868us         0.22%      12.687ms       1.586ms      19.584us         0.00%      19.584us       2.448us           0 b           0 b      93.00 Kb           0 b             8  
                                    aten::_foreach_mul_         0.01%     711.903us         0.22%      12.472ms       6.236ms      43.231us         0.00%      43.231us      21.615us           0 b           0 b           0 b           0 b             2  
                                          aten::dropout         0.00%     137.672us         0.22%      12.365ms       2.473ms       0.000us         0.00%       4.384us       0.877us           0 b           0 b     640.00 Kb           0 b             5  
                                   aten::native_dropout         0.01%     592.252us         0.22%      12.227ms      12.227ms       4.384us         0.00%       4.384us       4.384us           0 b           0 b     640.00 Kb           0 b             1  
                                          aten::softmax         0.00%      21.164us         0.21%      11.788ms      11.788ms       0.000us         0.00%       9.760us       9.760us           0 b           0 b       2.00 Mb           0 b             1  
                                         aten::_softmax         0.01%     319.236us         0.21%      11.767ms      11.767ms       4.480us         0.00%       9.760us       9.760us           0 b           0 b       2.00 Mb           0 b             1  
                                               aten::mm         0.03%       1.723ms         0.20%      11.081ms     651.801us     740.386us         0.02%     740.386us      43.552us           0 b           0 b      50.52 Mb      50.52 Mb            17  
                                             aten::silu         0.00%      87.866us         0.19%      10.980ms      10.980ms       3.232us         0.00%       3.232us       3.232us           0 b           0 b     512.00 Kb     512.00 Kb             1  
                                           aten::arange         0.03%       1.842ms         0.19%      10.747ms      52.170us     112.351us         0.00%     224.702us       1.091us      98.72 Kb       4.59 Kb       1.10 Mb           0 b           206  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.18%      10.339ms         0.18%      10.339ms      88.368us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           117  
                                   IndexSelectBackward0         0.01%     794.782us         0.18%      10.238ms     101.364us       0.000us         0.00%       1.384ms      13.704us           0 b           0 b     206.06 Mb           0 b           101  
                                        cudaMemcpyAsync         0.18%      10.172ms         0.18%      10.172ms      13.653us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           745  
       autograd::engine::evaluate_function: MmBackward0         0.00%     119.093us         0.18%      10.024ms       3.341ms       0.000us         0.00%     432.001us     144.000us           0 b           0 b     -21.58 Mb     -35.52 Mb             3  
                                            MmBackward0         0.00%      91.863us         0.17%       9.905ms       3.302ms       0.000us         0.00%     432.001us     144.000us           0 b           0 b      13.94 Mb           0 b             3  
                               aten::cross_entropy_loss         0.00%      23.844us         0.17%       9.705ms       9.705ms       0.000us         0.00%     151.423us     151.423us           0 b           0 b      32.00 Mb           0 b             1  
                                          aten::nonzero         0.03%       1.882ms         0.17%       9.632ms     310.721us     265.467us         0.01%     265.467us       8.563us           0 b           0 b     356.00 Kb           0 b            31  
                            aten::index_select_backward         0.01%     772.768us         0.17%       9.443ms      93.495us       0.000us         0.00%       1.384ms      13.704us           0 b           0 b     206.06 Mb           0 b           101  
                                      aten::nll_loss_nd         0.00%       8.766us         0.16%       9.303ms       9.303ms       0.000us         0.00%      21.760us      21.760us           0 b           0 b       1.00 Kb           0 b             1  
                                         aten::nll_loss         0.01%     324.457us         0.16%       9.295ms       9.295ms       0.000us         0.00%      21.760us      21.760us           0 b           0 b       1.00 Kb           0 b             1  
autograd::engine::evaluate_function: SigmoidBackward...         0.00%      78.966us         0.16%       9.264ms       2.316ms       0.000us         0.00%       9.375us       2.344us           0 b           0 b     -32.00 Kb     -64.00 Kb             4  
                                       SigmoidBackward0         0.00%      52.335us         0.16%       9.185ms       2.296ms       0.000us         0.00%       9.375us       2.344us           0 b           0 b      32.00 Kb           0 b             4  
                                 aten::sigmoid_backward         0.00%     113.965us         0.16%       9.133ms       2.283ms       9.375us         0.00%       9.375us       2.344us           0 b           0 b      32.00 Kb      32.00 Kb             4  
                                 aten::nll_loss_forward         0.00%     159.588us         0.16%       8.970ms       8.970ms      21.760us         0.00%      21.760us      21.760us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                             aten::add_         0.08%       4.794ms         0.15%       8.661ms      18.427us       2.221ms         0.07%       2.221ms       4.726us           0 b           0 b           0 b           0 b           470  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.669s
Self CUDA time total: 3.271s
