-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.96%      54.661ms         2.13%     120.476ms      15.865us        3.194s        97.66%        3.194s     420.625us           0 b           0 b           0 b           0 b          7594  
                                            aten::zero_         0.75%      42.763ms         2.87%     162.566ms      21.771us       0.000us         0.00%        3.194s     427.773us           0 b           0 b           0 b           0 b          7467  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        3.191s        97.57%        3.191s     492.229us           0 b           0 b           0 b           0 b          6483  
                       flashvqg/attn/phase1/project_qkv         0.00%       0.000us         0.00%       0.000us       0.000us        1.793s        54.82%        1.793s        1.793s           0 b           0 b           0 b           0 b             1  
                              flashvqg/attn/output_proj         0.00%       0.000us         0.00%       0.000us       0.000us        1.014s        30.99%        1.014s        1.014s           0 b           0 b           0 b           0 b             1  
                              flashvqg/attn/output_proj         0.00%     222.750us        17.88%        1.014s        1.014s       0.000us         0.00%     915.269ms     915.269ms           0 b           0 b       2.51 Mb           0 b             1  
                                 LayerNormGatedFunction         4.79%     271.462ms        17.87%        1.013s        1.013s      12.102ms         0.37%     915.249ms     915.249ms           0 b      -7.12 Kb     520.00 Kb      -2.25 Gb             1  
autograd::engine::evaluate_function: LayerNormGatedF...         0.00%      51.271us        18.57%        1.053s        1.053s       0.000us         0.00%     898.848ms     898.848ms           0 b           0 b    -519.50 Kb      -1.51 Mb             1  
                         LayerNormGatedFunctionBackward         7.04%     399.341ms        18.57%        1.053s        1.053s      17.225ms         0.53%     898.848ms     898.848ms           0 b      -7.04 Kb       1.00 Mb      -2.25 Gb             1  
                       flashvqg/attn/phase1/project_qkv         0.03%       1.573ms        31.64%        1.794s        1.794s       0.000us         0.00%     869.061ms     869.061ms          16 b          16 b       5.06 Mb      -3.98 Mb             1  
