run_id,metric_source,experiment_mode,fox_remote_read_topk,run_url,attn__clr_alpha_norm_mean,attn__clr_den_neg_ratio,attn__den_min,attn__nan_inf_count,attn__o_remote_energy_ratio,attn__remote_routing_entropy,attn__remote_top1_top2_margin,train__loss,valid__accuracy,valid__attn__clr_alpha_norm_mean,valid__attn__clr_den_neg_ratio,valid__attn__den_min,valid__attn__nan_inf_count,valid__attn__o_remote_energy_ratio,valid__attn__remote_routing_entropy,valid__attn__remote_top1_top2_margin,valid__input_seq_len__accuracy_1024,valid__input_seq_len__accuracy_128,valid__input_seq_len__accuracy_256,valid__input_seq_len__accuracy_512,valid__input_seq_len__accuracy_64,valid__loss,valid__mqar_case__accuracy_1024x256,valid__mqar_case__accuracy_128x32,valid__mqar_case__accuracy_256x64,valid__mqar_case__accuracy_512x128,valid__mqar_case__accuracy_512x64,valid__mqar_case__accuracy_64x16,valid__mqar_case__accuracy_64x4,valid__mqar_case__accuracy_64x8,valid__num_kv_pairs__accuracy_128,valid__num_kv_pairs__accuracy_16,valid__num_kv_pairs__accuracy_256,valid__num_kv_pairs__accuracy_32,valid__num_kv_pairs__accuracy_4,valid__num_kv_pairs__accuracy_64,valid__num_kv_pairs__accuracy_8,valid__vq__c_entropy,valid__vq__c_rms_mean,valid__vq__c_usage_max,valid__vq__c_usage_mean,valid__vq__k_hat_norm_mean,valid__vq__k_norm_mean,valid__vq__relative_err_mean,vq__c_entropy,vq__c_rms_mean,vq__c_usage_max,vq__c_usage_mean,vq__k_hat_norm_mean,vq__k_norm_mean,vq__relative_err_mean,valid__vq__write_entropy_mean,valid__vq__write_top1_mass_mean,vq__write_entropy_mean,vq__write_top1_mass_mean
baseline,local,baseline,2,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/11apvj4hyrn8ye119uvg6,0.8512004613876343,0.006321907043457031,1.0,0.0,0.1470375955104828,2.2550854682922363,0.46902307868003845,0.02970880704621474,0.930982421875,0.851759617527326,0.0037726201708354647,1.0,0.0,0.13209343348289765,2.3484596884439863,0.4805405130462041,0.673875,0.9833125,0.967296875,0.91509375,0.9977291666666667,0.37848159670829773,0.673875,0.9833125,0.967296875,0.877546875,0.952640625,0.9969375,0.99775,0.9985,0.877546875,0.9969375,0.673875,0.9833125,0.99775,0.95996875,0.9985,2.6491715908050537,0.08993202447891235,2177.615234375,65.63362121582031,2.8188034783280087,2.828421620149461,0.04156775087384241,2.648347854614258,0.08993202447891235,2157.62158203125,65.00358581542969,2.8205490112304688,2.828420877456665,0.043075740337371826,,,,
dense-t050,local,dense_t050,2,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/y4vfyg2prcc411vbza3yo,2.6253204345703125,2.384185791015625e-07,1.0,0.0,0.3313699960708618,3.42041277885437,0.8911754488945007,0.003842455723012487,0.96679150390625,2.6053876105755096,1.579996139284164e-07,1.0,0.0,0.27101603451938855,3.404022066176884,0.9828612687095764,0.77630859375,0.9930625,0.997859375,0.98505078125,0.999,0.14122405648231506,0.77630859375,0.9930625,0.997859375,0.9775390625,0.9925625,0.99825,0.9995,0.99925,0.9775390625,0.99825,0.77630859375,0.9930625,0.9995,0.9952109375,0.99925,4.075660085394269,0.569109320640564,560.8383996751573,40.67460311499853,2.8160129501706077,2.828363814051189,0.020688586519099772,4.011786460876465,0.569109320640564,1888.242431640625,128.0,2.8206639289855957,2.828367233276367,0.01946982368826866,3.7905248578578705,0.14373775101488545,3.7852821350097656,0.14285607635974884
dense-t100,local,dense_t100,2,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/7vu7lp8o75k36bmw105t6,1.6483814716339111,2.384185791015625e-06,1.0,0.0,0.27869951725006104,3.7860047817230225,1.0225168466567993,0.007842990414549908,0.9433681640625,1.647857631246249,6.745732019818019e-07,1.0,0.0,0.27725531725538155,3.788671921169947,1.0917766332626342,0.6419375,0.9933125,0.99109375,0.96142578125,0.99925,0.2553911507129669,0.6419375,0.9933125,0.99109375,0.9394453125,0.98340625,0.99925,0.999,0.9995,0.9394453125,0.99925,0.6419375,0.9933125,0.999,0.98725,0.9995,4.6756874228280685,0.6175329685211182,153.94850359265766,40.67460312162127,2.80034766263432,2.8282098084215135,0.02380217724139728,4.65275764465332,0.617533266544342,512.4287109375,128.0,2.8060572147369385,2.828321695327759,0.02166973613202572,4.588185223322066,0.03667575012271603,4.586226940155029,0.036395445466041565
dense-t200,remote,dense_t200,2,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/v0vl6o0hjum58plhvoobw,1.7615141868591309,3.0994415283203125e-06,1.0,0.0,0.3249424397945404,3.7618467807769775,1.0014793872833252,0.0638653568457812,0.89212353515625,1.7523862837799011,1.141949305458674e-06,1.0,0.0,0.2661095526483323,3.742404478315323,1.0049867457813686,0.38033984375,0.99221875,0.976796875,0.89450390625,0.9995416666666668,0.5254121422767639,0.38033984375,0.99221875,0.976796875,0.8275859375,0.961421875,0.999875,0.999,0.99975,0.8275859375,0.999875,0.38033984375,0.99221875,0.999,0.969109375,0.99975,4.775489866733551,0.6994947195053101,88.16370235359858,40.67460315473496,2.7809811456808973,2.8282590319239898,0.0366051503760178,4.783080577850342,0.6996153593063354,272.675048828125,128.0,2.772529602050781,2.828348159790039,0.0415741130709648,4.731037909076328,0.0193643423115154,4.732095718383789,0.0192097220569849
