run_id,metric_source,experiment_mode,fox_remote_read_topk,train__loss,valid__loss,valid__accuracy,valid__input_seq_len__accuracy_64,valid__input_seq_len__accuracy_128,valid__input_seq_len__accuracy_256,valid__input_seq_len__accuracy_512,valid__input_seq_len__accuracy_1024,valid__attn__o_remote_energy_ratio,valid__attn__remote_routing_entropy,valid__attn__remote_top1_top2_margin,valid__attn__clr_alpha_norm_mean,valid__attn__clr_den_neg_ratio,valid__attn__den_min,valid__attn__nan_inf_count,valid__vq__relative_err_mean,valid__vq__c_entropy,valid__vq__c_usage_mean,valid__vq__c_usage_max,valid__vq__write_entropy_mean,valid__vq__write_top1_mass_mean,run_url
dense-t050,local,dense_t050,2,0.003842455723012487,0.14122405648231506,0.96679150390625,0.999,0.9930625,0.997859375,0.98505078125,0.77630859375,0.27101603451938855,3.404022066176884,0.9828612687095764,2.6053876105755096,1.579996139284164e-07,1.0,0.0,0.020688586519099772,4.075660085394269,40.67460311499853,560.8383996751573,3.7905248578578705,0.14373775101488545,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/y4vfyg2prcc411vbza3yo
dense-t100,local,dense_t100,2,0.007842990414549908,0.2553911507129669,0.9433681640625,0.99925,0.9933125,0.99109375,0.96142578125,0.6419375,0.27725531725538155,3.788671921169947,1.0917766332626342,1.647857631246249,6.745732019818019e-07,1.0,0.0,0.02380217724139728,4.6756874228280685,40.67460312162127,153.94850359265766,4.588185223322066,0.03667575012271603,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/7vu7lp8o75k36bmw105t6
baseline,local,baseline,2,0.02970880704621474,0.37848159670829773,0.930982421875,0.9977291666666667,0.9833125,0.967296875,0.91509375,0.673875,0.13209343348289765,2.3484596884439863,0.4805405130462041,0.851759617527326,0.0037726201708354647,1.0,0.0,0.04156775087384241,2.6491715908050537,65.63362121582031,2177.615234375,,,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/11apvj4hyrn8ye119uvg6
dense-t200,remote,dense_t200,2,0.0638653568457812,0.5254121422767639,0.89212353515625,0.9995416666666668,0.99221875,0.976796875,0.89450390625,0.38033984375,0.2661095526483323,3.742404478315323,1.0049867457813686,1.7523862837799011,1.141949305458674e-06,1.0,0.0,0.0366051503760178,4.775489866733551,40.67460315473496,88.16370235359858,4.731037909076328,0.0193643423115154,https://swanlab.cn/@scu-mclab/flash_vqg_clr_v1_mainline/runs/v0vl6o0hjum58plhvoobw
