experiment_id,machine,target,run_id,train_step,valid_batch_idx,records,read_topk,margin_top1_top2_mean,margin_top1_top2_p05,entropy_mean,selected_mass_mean,selected_mass_p05,unique_top1_ids,trace_path,trace_sha256
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,0,441,64,2,0.3896352266892791,0.02184927463531494,3.680791962891817,0.0367459240660537,0.016145505011081696,40,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_0/read_trace.jsonl,fff693b43dc27e62359760f2faefccbb3ef91d6439d2b5da98eff8c8a1808951
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,1,441,64,2,0.40360732935369015,0.013660013675689697,3.677742674946785,0.0371727405290585,0.016786983236670494,41,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_1/read_trace.jsonl,055078876299f6f0f0ee9f991fc2402c5ce7ef08727101721ffb9306c681e061
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,128,441,64,2,1.4569362960755825,0.1019287109375,2.3685153517872095,0.4857994122430682,0.19273188710212708,14,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_128/read_trace.jsonl,0cd5b9fa9bceefce6cf570cd887e9124c55c6d461f420f9850fe3180793f626e
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,16,441,64,2,0.44809681246988475,0.06757861375808716,3.5755526274442673,0.053706592618254945,0.01853596791625023,36,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_16/read_trace.jsonl,130016cd10606f28fbbf2c44cdbf90347b42270bc9eacb29ddd4ec60f721936b
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,192,441,64,2,1.0949816890060902,0.16301965713500977,2.2668024462182075,0.5193453812971711,0.3497079908847809,5,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_192/read_trace.jsonl,a03ae9f47ec0a8b0aa1f8b60b2e3d21b4e5ff24da92d5ce4fa6b662a40d3afc3
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,2,441,64,2,0.43068986386060715,0.019887447357177734,3.6735623106360435,0.03770175116369501,0.01749974489212036,40,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_2/read_trace.jsonl,939e19ac4d8d65f2ca7fda06674a37ff1ace27b7eeaef2ebe1f029c342615ef1
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,24,441,64,2,0.43739966698922217,0.03378349542617798,3.4377105981111526,0.06728837991249748,0.02535651996731758,24,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_24/read_trace.jsonl,8220584ababe02db5f4c6f8a22e0e30288c15b3b3e3ed71cdbaabe1fc706bd30
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,256,441,64,2,0.7039649412035942,0.08165168762207031,2.2483819406479597,0.5135380807332695,0.3414735794067383,5,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_256/read_trace.jsonl,e0dab5b7e2d776722d9fcd2cc32c92093c31f984a3ce15d68d3b2589e74ed51d
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,32,441,64,2,0.5972184953279793,0.045172274112701416,3.2813652083277702,0.08732569089625031,0.04136301577091217,19,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_32/read_trace.jsonl,2cab0fdd874918abc779ae2f72871fcf5b22e4390bf2f4b5872fe601816bcd13
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,384,441,64,2,3.499277912080288,3.0741848945617676,0.49250516714528203,0.9346510572358966,0.8873288631439209,2,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_384/read_trace.jsonl,4a3a697caa6a2b3d00f3aa06e424bb5787ea4f55784661171bc3999b106cabbf
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,4,441,64,2,0.44767074752599,0.03475809097290039,3.666794717311859,0.038750346575398,0.017939049750566483,38,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_4/read_trace.jsonl,c5955a54178df79d2875f3c57ffc2a90838cdbdb44b8a1fe1f5bca7c248df206
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,48,441,64,2,0.49010124150663614,0.03175067901611328,3.426131034269929,0.13345553941326216,0.07668201625347137,21,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_48/read_trace.jsonl,374543f1b50d759bdeccddb6076e3c63a98f758efb9671f48c8076b97ba75aea
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,512,441,64,2,1.5723855085670948,0.07768774032592773,1.4304362899856642,0.6929295994341373,0.4222066402435303,14,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_512/read_trace.jsonl,3c9f9c377beb47560cd511465fd82cb772be18fe2e431e5668f5f4d9af262aee
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,64,441,64,2,0.4025648748502135,0.029254138469696045,3.697860136628151,0.16749659832566977,0.10976390540599823,26,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_64/read_trace.jsonl,3c876619b03cf08815864999f29a85be1faafd16376f6d70ba216bfce70efa8d
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,704,441,64,2,2.1166218146681786,0.5593891143798828,0.9575220253318548,0.8513616742566228,0.7043759226799011,18,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_704/read_trace.jsonl,a46e573267294429e970c59f6c7fbfe96b93422b0c24709c22bf593762e3c8c0
20260702-01-flash-vqg-update-norm-event-trace-probe,2080ti,baseline-r2,20260702-01-flash-vqg-update-norm-event-trace-probe-baseline-r2-s124-d123-b64ga4-2080ti-event-2080ti-gpu0-baseline,8,441,64,2,0.47070422768592834,0.05507040023803711,3.6503485813736916,0.04190137507976033,0.017436526715755463,41,zoology/experiments/flash_vqg/scripts/20260702-01-flash-vqg-update-norm-event-trace-probe/outputs/traces/2080ti/baseline-r2/event-2080ti-gpu0-baseline/train_step_8/read_trace.jsonl,5d14173f885da6b2538941c308997224614362d2314028f5b30911fb85184787
