target,train_step,layer_idx,records_2080ti,records_3090,update_norm_max_2080ti,update_norm_max_3090,update_norm_max_abs_gap,hypothetical_cap_hit_ratio_2080ti,hypothetical_cap_hit_ratio_3090,hypothetical_cap_hit_ratio_abs_gap
baseline-r2,0,1,64,64,0.204389289021492,0.204389289021492,0.0,0.0,0.0,0.0
baseline-r2,1,1,64,64,0.21211397647857666,0.210693359375,0.0014206171035766602,0.0,0.0,0.0
baseline-r2,2,1,64,64,0.21709981560707092,0.2155442088842392,0.001555606722831726,0.0,0.0,0.0
baseline-r2,4,1,64,64,0.22448840737342834,0.21992020308971405,0.004568204283714294,0.0,0.0,0.0
baseline-r2,8,1,64,64,0.23022983968257904,0.2247801423072815,0.005449697375297546,0.0,0.0,0.0
baseline-r2,16,1,64,64,0.23767545819282532,0.25360023975372314,0.015924781560897827,0.0,0.0,0.0
baseline-r2,24,1,64,64,0.27482491731643677,0.26429659128189087,0.010528326034545898,0.0,0.0,0.0
baseline-r2,32,1,64,64,0.32190796732902527,0.33104008436203003,0.00913211703300476,0.0,0.0,0.0
baseline-r2,48,1,64,64,0.533257007598877,0.5878012776374817,0.054544270038604736,0.015625,0.0625,0.046875
baseline-r2,64,1,64,64,0.4149596393108368,0.41945862770080566,0.004498988389968872,0.0,0.0,0.0
baseline-r2,96,1,64,64,0.4494083523750305,0.5188588500022888,0.0694504976272583,0.0,0.03125,0.03125
baseline-r2,128,1,64,64,0.4886905252933502,0.36580559611320496,0.12288492918014526,0.0,0.0,0.0
baseline-r2,192,1,64,64,0.5034614205360413,1.2255804538726807,0.7221190333366394,0.015625,0.328125,0.3125
baseline-r2,256,1,64,64,0.7920371294021606,0.6864606142044067,0.1055765151977539,0.46875,0.1875,0.28125
baseline-r2,384,1,64,64,2.821499824523926,0.2593858540058136,2.562113970518112,1.0,0.0,1.0
baseline-r2,512,1,64,64,1.3421238660812378,1.3105456829071045,0.0315781831741333,1.0,1.0,0.0
baseline-r2,704,1,64,64,1.6802070140838623,2.249290943145752,0.5690839290618896,1.0,1.0,0.0
ucap0p5-r2,0,1,64,64,0.204389289021492,0.204389289021492,0.0,0.0,0.0,0.0
ucap0p5-r2,1,1,64,64,0.21211397647857666,0.210693359375,0.0014206171035766602,0.0,0.0,0.0
ucap0p5-r2,2,1,64,64,0.21709981560707092,0.2155442088842392,0.001555606722831726,0.0,0.0,0.0
ucap0p5-r2,4,1,64,64,0.22448839247226715,0.21992020308971405,0.004568189382553101,0.0,0.0,0.0
ucap0p5-r2,8,1,64,64,0.23022982478141785,0.22478018701076508,0.005449637770652771,0.0,0.0,0.0
ucap0p5-r2,16,1,64,64,0.23767541348934174,0.25360023975372314,0.01592482626438141,0.0,0.0,0.0
ucap0p5-r2,24,1,64,64,0.2748248875141144,0.26429659128189087,0.01052829623222351,0.0,0.0,0.0
ucap0p5-r2,32,1,64,64,0.3219079077243805,0.33104008436203003,0.009132176637649536,0.0,0.0,0.0
ucap0p5-r2,48,1,64,64,0.5332558751106262,0.5878022909164429,0.05454641580581665,0.015625,0.0625,0.046875
ucap0p5-r2,64,1,64,64,0.41497260332107544,0.4194691777229309,0.004496574401855469,0.0,0.0,0.0
ucap0p5-r2,96,1,64,64,0.4493214190006256,0.5188767313957214,0.06955531239509583,0.0,0.03125,0.03125
ucap0p5-r2,128,1,64,64,0.4886070489883423,0.36588963866233826,0.12271741032600403,0.0,0.0,0.0
ucap0p5-r2,192,1,64,64,0.5095961689949036,0.5949048399925232,0.08530867099761963,0.015625,0.0625,0.046875
ucap0p5-r2,256,1,64,64,0.6456397175788879,0.5931808352470398,0.052458882331848145,0.046875,0.109375,0.0625
ucap0p5-r2,384,1,64,64,2.3130576610565186,0.9753287434577942,1.3377289175987244,1.0,1.0,0.0
ucap0p5-r2,512,1,64,64,0.28530266880989075,2.1780741214752197,1.892771452665329,0.0,1.0,1.0
ucap0p5-r2,704,1,64,64,0.46545061469078064,4.1733598709106445,3.707909256219864,0.0,1.0,1.0
