variant,description,update_norm_cap,completed_machines,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_within_4pp,read_topk
baseline-r2,"default-dropout fixed read_topk=2, no update_norm_cap, update-event trace enabled",,"2080ti,3090",True,0.596,0.477,0.119,11.899999999999999,False,2
ucap0p5-r2,"default-dropout fixed read_topk=2, update_norm_cap=0.5, update-event trace enabled",0.5,"2080ti,3090",True,0.695,0.754,0.05900000000000005,5.900000000000006,False,2
