variant,reference_machine,reference_1024x256_accuracy,candidate_machine,candidate_1024x256_accuracy,absolute_gap,gap_percentage_points,within_4pp
baseline-r2,2080ti,0.596,3090,0.477,0.119,11.899999999999999,False
ucap0p5-r2,2080ti,0.695,3090,0.754,0.05900000000000005,5.900000000000006,False
