target,machine,train_step,layer_idx,records,update_norm_max,update_norm_mean,update_norm_p95,err_norm_mean,err_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio,actual_cap_scale_mean,hypothetical_cap_scale_mean
ucap0p5-r2,2080ti,8,1,64,0.23022982478141785,0.1993656714912504,0.21980468928813934,0.767984158359468,0.897023618221283,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,16,1,64,0.23767541348934174,0.1994972883258015,0.22240866720676422,0.7789863422513008,0.9128956198692322,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,24,1,64,0.2748248875141144,0.22573732328601182,0.2430393546819687,0.7617234047502279,0.8539526462554932,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,32,1,64,0.3219079077243805,0.27682360215112567,0.3057636320590973,0.7893605986610055,0.8642467260360718,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,48,1,64,0.5332558751106262,0.3488271632231772,0.44229090213775635,1.1881273034960032,1.5264472961425781,0.015625,0.015625,0.9990255662411696,0.9990255652626504
ucap0p5-r2,2080ti,64,1,64,0.41497260332107544,0.2496783349197358,0.3252224922180176,1.001277963630855,1.4255006313323975,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,96,1,64,0.4493214190006256,0.30950433062389493,0.3985631763935089,0.8662597173824906,1.2739007472991943,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,128,1,64,0.4886070489883423,0.2885139095596969,0.4273124039173126,0.7075285040773451,0.8642783164978027,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,192,1,64,0.5095961689949036,0.33597375312820077,0.44865691661834717,1.2264752108603716,1.9833483695983887,0.015625,0.015625,0.9997057661703296,0.9997057667430249
ucap0p5-r2,2080ti,256,1,64,0.6456397175788879,0.4169968287460506,0.49795666337013245,1.376876151189208,1.8410035371780396,0.046875,0.046875,0.9959440031722634,0.9959440039288584
ucap0p5-r2,2080ti,384,1,64,2.3130576610565186,1.9372424818575382,2.169734239578247,2.174668066203594,2.572681188583374,1.0,1.0,0.2587850954491884,0.2587850951242388
ucap0p5-r2,2080ti,512,1,64,0.28530266880989075,0.20285679888911545,0.24013638496398926,1.657754821702838,1.9715715646743774,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,704,1,64,0.46545061469078064,0.34792906139045954,0.3883155584335327,2.153921263292432,2.558171272277832,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,0,1,64,0.204389289021492,0.17616639682091773,0.20053154230117798,0.7442118963226676,0.8847026824951172,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,1,1,64,0.210693359375,0.18138345726765692,0.19807259738445282,0.744803549721837,0.8848720788955688,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,2,1,64,0.2155442088842392,0.18572047515772283,0.20400922000408173,0.7554603228345513,0.8949500322341919,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,4,1,64,0.21992020308971405,0.19247646094299853,0.21076935529708862,0.762123734690249,0.8969260454177856,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,8,1,64,0.22478018701076508,0.1983927625697106,0.22064608335494995,0.766595421358943,0.9036797285079956,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,16,1,64,0.25360023975372314,0.19866877980530262,0.21577663719654083,0.7861098917201161,0.9030441641807556,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,24,1,64,0.26429659128189087,0.2281670062802732,0.25089114904403687,0.7779146730899811,0.879537045955658,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,32,1,64,0.33104008436203003,0.28090623253956437,0.3094312846660614,0.7987844636663795,0.8932691216468811,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,48,1,64,0.5878022909164429,0.4116705348715186,0.5155752301216125,1.3551318366080523,1.7869983911514282,0.0625,0.0625,0.9948682891628423,0.9948682878460697
ucap0p5-r2,3090,64,1,64,0.4194691777229309,0.2659610251430422,0.3630726635456085,1.0953532923012972,1.4710447788238525,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,96,1,64,0.5188767313957214,0.3247810387983918,0.4207593500614166,0.8523406507447362,1.2919937372207642,0.03125,0.03125,0.9994001213223568,0.9994001212386325
ucap0p5-r2,3090,128,1,64,0.36588963866233826,0.2570854884106666,0.3182286024093628,0.7387787098996341,0.9027941823005676,0.0,0.0,1.0,1.0
ucap0p5-r2,3090,192,1,64,0.5949048399925232,0.42080130614340305,0.5142353773117065,1.4133552899584174,1.869178056716919,0.0625,0.0625,0.9934453962545106,0.9934453963271397
ucap0p5-r2,3090,256,1,64,0.5931808352470398,0.41871591890230775,0.512168824672699,1.593367307446897,2.0634572505950928,0.109375,0.109375,0.994915211510909,0.9949152099192167
ucap0p5-r2,3090,384,1,64,0.9753287434577942,0.7903706207871437,0.8729965090751648,2.331825764849782,2.9483566284179688,1.0,1.0,0.6347506869801657,0.6347506818422248
ucap0p5-r2,3090,512,1,64,2.1780741214752197,1.7046141866594553,1.97593355178833,3.8029963076114655,4.421597003936768,1.0,1.0,0.2951343345881485,0.2951343336534156
ucap0p5-r2,3090,704,1,64,4.1733598709106445,3.0565155930817127,3.910099506378174,6.152785323560238,7.1412034034729,1.0,1.0,0.16598544751868174,0.16598544880700206
