target,machine,train_step,layer_idx,records,update_norm_max,update_norm_mean,update_norm_p95,err_norm_mean,err_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio,actual_cap_scale_mean,hypothetical_cap_scale_mean
baseline-r2,2080ti,0,1,64,0.204389289021492,0.17616639682091773,0.20053154230117798,0.7442118963226676,0.8847026824951172,0.0,0.0,1.0,1.0
baseline-r2,2080ti,1,1,64,0.21211397647857666,0.1812263608444482,0.20338088274002075,0.750516539439559,0.8955810070037842,0.0,0.0,1.0,1.0
baseline-r2,2080ti,2,1,64,0.21709981560707092,0.18602514127269387,0.21036843955516815,0.7557110050693154,0.8967472314834595,0.0,0.0,1.0,1.0
baseline-r2,2080ti,4,1,64,0.22448840737342834,0.19302197848446667,0.21507801115512848,0.7569010509178042,0.8998467326164246,0.0,0.0,1.0,1.0
baseline-r2,2080ti,8,1,64,0.23022983968257904,0.1993656673002988,0.21980464458465576,0.7679841620847583,0.897023618221283,0.0,0.0,1.0,1.0
baseline-r2,2080ti,16,1,64,0.23767545819282532,0.19949728017672896,0.22240863740444183,0.7789863329380751,0.9128956198692322,0.0,0.0,1.0,1.0
baseline-r2,2080ti,24,1,64,0.27482491731643677,0.22573732258751988,0.2430393397808075,0.7617234010249376,0.8539527654647827,0.0,0.0,1.0,1.0
baseline-r2,2080ti,32,1,64,0.32190796732902527,0.2768236016854644,0.3057636618614197,0.7893605921417475,0.8642467260360718,0.0,0.0,1.0,1.0
baseline-r2,2080ti,48,1,64,0.533257007598877,0.34882532712072134,0.44227492809295654,1.1881270166486502,1.5264402627944946,0.0,0.015625,1.0,0.9990255341489608
baseline-r2,2080ti,64,1,64,0.4149596393108368,0.2496668982785195,0.3251747786998749,1.001295574940741,1.4255378246307373,0.0,0.0,1.0,1.0
baseline-r2,2080ti,96,1,64,0.4494083523750305,0.3094755201600492,0.39866453409194946,0.8662642342969775,1.2739547491073608,0.0,0.0,1.0,1.0
baseline-r2,2080ti,128,1,64,0.4886905252933502,0.2884925124235451,0.4274868667125702,0.7075157347135246,0.8644763231277466,0.0,0.0,1.0,1.0
baseline-r2,2080ti,192,1,64,0.5034614205360413,0.33028437150642276,0.4366445541381836,1.2092734761536121,1.8884953260421753,0.0,0.015625,1.0,0.9998925742993017
baseline-r2,2080ti,256,1,64,0.7920371294021606,0.5147820613346994,0.7057842016220093,1.5960990190505981,2.7220826148986816,0.0,0.46875,1.0,0.9229566897120336
baseline-r2,2080ti,384,1,64,2.821499824523926,2.406386036425829,2.632965087890625,2.656651809811592,2.8849551677703857,0.0,1.0,1.0,0.2082089553738565
baseline-r2,2080ti,512,1,64,1.3421238660812378,1.2085843570530415,1.3185629844665527,2.3723103664815426,2.733081102371216,0.0,1.0,1.0,0.41466222799250213
baseline-r2,2080ti,704,1,64,1.6802070140838623,1.3723631780594587,1.5059844255447388,3.346438944339752,3.9917795658111572,0.0,1.0,1.0,0.3656736222779521
baseline-r2,3090,0,1,64,0.204389289021492,0.17616639682091773,0.20053154230117798,0.7442118963226676,0.8847026824951172,0.0,0.0,1.0,1.0
baseline-r2,3090,1,1,64,0.210693359375,0.18138345726765692,0.19807259738445282,0.744803549721837,0.8848720788955688,0.0,0.0,1.0,1.0
baseline-r2,3090,2,1,64,0.2155442088842392,0.18572047515772283,0.20400922000408173,0.7554603228345513,0.8949500322341919,0.0,0.0,1.0,1.0
baseline-r2,3090,4,1,64,0.21992020308971405,0.19247646210715175,0.21076935529708862,0.7621237393468618,0.8969259858131409,0.0,0.0,1.0,1.0
baseline-r2,3090,8,1,64,0.2247801423072815,0.1983927593100816,0.22064612805843353,0.7665954176336527,0.903679609298706,0.0,0.0,1.0,1.0
baseline-r2,3090,16,1,64,0.25360023975372314,0.1986687807366252,0.21577663719654083,0.7861098842695355,0.9030440449714661,0.0,0.0,1.0,1.0
baseline-r2,3090,24,1,64,0.26429659128189087,0.2281670174561441,0.25089117884635925,0.7779146805405617,0.879537045955658,0.0,0.0,1.0,1.0
baseline-r2,3090,32,1,64,0.33104008436203003,0.2809062306769192,0.3094313442707062,0.7987844664603472,0.8932691812515259,0.0,0.0,1.0,1.0
baseline-r2,3090,48,1,64,0.5878012776374817,0.41164953727275133,0.5155739188194275,1.355069287121296,1.7869665622711182,0.0,0.0625,1.0,0.9948684084422076
baseline-r2,3090,64,1,64,0.41945862770080566,0.2659596330486238,0.3630938231945038,1.0953528340905905,1.4710193872451782,0.0,0.0,1.0,1.0
baseline-r2,3090,96,1,64,0.5188588500022888,0.3247931310907006,0.4207098186016083,0.8523460756987333,1.291934609413147,0.0,0.03125,1.0,0.9993993601789131
baseline-r2,3090,128,1,64,0.36580559611320496,0.2569983806461096,0.3176436126232147,0.7361755548045039,0.9028915166854858,0.0,0.0,1.0,1.0
baseline-r2,3090,192,1,64,1.2255804538726807,0.5086213327012956,0.7819105386734009,1.8516011610627174,2.9378507137298584,0.0,0.328125,1.0,0.945043968893339
baseline-r2,3090,256,1,64,0.6864606142044067,0.4356634118594229,0.5702285170555115,1.6591653041541576,2.3144946098327637,0.0,0.1875,1.0,0.9789867302771427
baseline-r2,3090,384,1,64,0.2593858540058136,0.12396707735024393,0.16651098430156708,2.2407914511859417,3.1368703842163086,0.0,0.0,1.0,1.0
baseline-r2,3090,512,1,64,1.3105456829071045,1.0553806321695447,1.1537139415740967,2.9849368780851364,3.6806867122650146,0.0,1.0,1.0,0.47519227674556663
baseline-r2,3090,704,1,64,2.249290943145752,1.8721119947731495,2.110948324203491,5.285917162895203,6.250236988067627,0.0,1.0,1.0,0.26807389239794494
ucap0p5-r2,2080ti,0,1,64,0.204389289021492,0.17616639682091773,0.20053154230117798,0.7442118963226676,0.8847026824951172,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,1,1,64,0.21211397647857666,0.1812263608444482,0.20338088274002075,0.750516539439559,0.8955810070037842,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,2,1,64,0.21709981560707092,0.18602514127269387,0.21036843955516815,0.7557110050693154,0.8967472314834595,0.0,0.0,1.0,1.0
ucap0p5-r2,2080ti,4,1,64,0.22448839247226715,0.19302198220975697,0.21507801115512848,0.7569010527804494,0.8998467326164246,0.0,0.0,1.0,1.0
