variant,machine,update_norm_cap,loss_step704,update_norm_cap_active,update_norm_effective_cap,update_norm_cap_hit_ratio,update_norm_p95,update_norm_max,m_norm_max,lambda_mean,inject_ratio
baseline-r2,2080ti,,2.997920274734497,0.0,0.0,0.0,0.5998810529708862,1.6802070140838623,6.370137691497803,0.08579520881175995,0.734257161617279
baseline-r2,3090,,3.58305287361145,0.0,0.0,0.0,0.7417891621589661,2.249290943145752,9.935611724853516,0.09469848871231079,0.6795485019683838
ucap0p5-r2,2080ti,0.5,2.2259199619293213,1.0,0.5,0.0,0.09016872197389603,0.46545061469078064,3.603349447250366,0.09005935490131378,0.5498504042625427
ucap0p5-r2,3090,0.5,1.8111240863800049,1.0,0.5,0.03595733642578125,0.24512894451618195,4.1733598709106445,4.754743576049805,0.09066834300756454,0.08377310633659363
