experiment_id,machine,target,run_id,train_step,loss,update_norm_p95,update_norm_max,uncapped_sum_zeta_p95,cap_hit_ratio,m_norm_max,lambda_mean,inject_ratio,read_entropy_mean,read_selected_mass_mean,read_selected_mass_p05,read_margin_top1_top2_mean,read_margin_top1_top2_p05,read_unique_top1_ids,final_1024x256_accuracy,final_valid_accuracy,final_valid_loss
20260625-01-flash-vqg-early-window-trace,2080ti,default-s123,etrace-cb64r16-default-s123-d123-b64ga4-2080ti,0,9.037312507629395,0.1112910732626915,0.22665639221668243,0.5,,0.2853860855102539,0.05000000819563866,0.14461518824100494,3.705371495336294,0.03305469811311923,0.015996186062693596,0.34923721104860306,0.03581559658050537,41,0.973,0.995,0.066
20260625-01-flash-vqg-early-window-trace,2080ti,default-s123,etrace-cb64r16-default-s123-d123-b64ga4-2080ti,64,8.67382526397705,0.10987149178981781,0.3893403708934784,0.2639864981174469,,0.9887702465057373,0.0072555337101221085,0.006138977129012346,3.709168676286936,0.16127349436283112,0.10330769419670105,0.38093012291938066,0.027982234954833984,28,0.973,0.995,0.066
20260625-01-flash-vqg-early-window-trace,2080ti,default-s123,etrace-cb64r16-default-s123-d123-b64ga4-2080ti,130,8.451095581054688,0.058999232947826385,0.39743247628211975,0.1904103010892868,,0.6321535110473633,0.0009104456403292716,0.019738342612981796,0.46863628225401044,0.8846611184999347,0.7103137969970703,4.2939017452299595,2.2921981811523438,2,0.973,0.995,0.066
20260625-01-flash-vqg-early-window-trace,2080ti,default-s123,etrace-cb64r16-default-s123-d123-b64ga4-2080ti,203,8.39938735961914,0.022473400458693504,0.4311521649360657,0.05656851455569267,,1.1951686143875122,0.00010954315075650811,0.0005904208519496024,0.001787409171811305,0.9865760346874595,0.9818832278251648,10.097879156470299,9.056068420410156,2,0.973,0.995,0.066
20260625-01-flash-vqg-early-window-trace,2080ti,default-s123,etrace-cb64r16-default-s123-d123-b64ga4-2080ti,352,8.403178215026855,0.1137888953089714,0.5508780479431152,0.16650915145874023,,2.8817832469940186,0.022790297865867615,0.291890025138855,0.6283931380166905,0.8573579378426075,0.505291223526001,4.216416597366333,0.9007148742675781,3,0.973,0.995,0.066
20260625-01-flash-vqg-early-window-trace,2080ti,default-s123,etrace-cb64r16-default-s123-d123-b64ga4-2080ti,448,3.625094413757324,0.21470902860164642,0.6464301347732544,0.4877740740776062,,1.892224669456482,0.1814919114112854,1.784014105796814,2.0419423633720726,0.5795795568265021,0.24096915125846863,1.452065870165825,0.09019184112548828,24,0.973,0.995,0.066
20260625-01-flash-vqg-early-window-trace,2080ti,default-s123,etrace-cb64r16-default-s123-d123-b64ga4-2080ti,705,0.8804334402084351,0.08127199858427048,0.32089507579803467,0.17213760316371918,,2.9161510467529297,0.11015453189611435,0.8247819542884827,1.6822471807245165,0.6943032396957278,0.4632413983345032,1.677432045340538,0.13064336776733398,27,0.973,0.995,0.066
20260625-01-flash-vqg-early-window-trace,2080ti,default-s124,etrace-cb64r16-default-s124-d123-b64ga4-2080ti,0,9.038751602172852,0.11187998205423355,0.204389289021492,0.5,,0.29540905356407166,0.05000000819563866,0.14336538314819336,3.680791962891817,0.0367459240660537,0.016145505011081696,0.3896352266892791,0.02184927463531494,40,0.813,0.972,0.232
20260625-01-flash-vqg-early-window-trace,2080ti,default-s124,etrace-cb64r16-default-s124-d123-b64ga4-2080ti,64,8.705349922180176,0.11995673179626465,0.414959579706192,0.265254408121109,,1.3374580144882202,0.008459502831101418,0.004880567081272602,3.697860036045313,0.16749662556685507,0.10976395010948181,0.4025649377144873,0.029252469539642334,26,0.813,0.972,0.232
20260625-01-flash-vqg-early-window-trace,2080ti,default-s124,etrace-cb64r16-default-s124-d123-b64ga4-2080ti,130,8.456003189086914,0.06367189437150955,0.5570403933525085,0.1977681815624237,,0.9510360956192017,0.0027002301067113876,0.037797678261995316,2.3414332021493465,0.48985821241512895,0.1920759379863739,1.4605808965861797,0.10054254531860352,14,0.813,0.972,0.232
20260625-01-flash-vqg-early-window-trace,2080ti,default-s124,etrace-cb64r16-default-s124-d123-b64ga4-2080ti,203,8.40966510772705,0.06758449226617813,0.714223325252533,0.14906105399131775,,1.3837262392044067,0.0011301268823444843,0.002205274300649762,2.2958326481748372,0.5112990909256041,0.343807190656662,1.0299009084701538,0.1087656021118164,6,0.813,0.972,0.232
