experiment_id,source_machine,source_host,source_path,mirror_path,sha256,file_size,status
20260625-01-flash-vqg-early-window-trace,3090,mclab-3090,mclab-3090:/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-smoke-20260625T012100Z/queue.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-smoke-20260625T012100Z/queue.log,d79c692b03298c2d37900d69ce963d2747642a4fa30cd690e52d207badb5449b,797,mirrored-to-2080ti
20260625-01-flash-vqg-early-window-trace,3090,mclab-3090,mclab-3090:/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-wave1-20260625T012500Z/queue.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-wave1-20260625T012500Z/queue.log,37b7a450f288c5fd2f6f6cf0a2463d25d516ad5a9e9712fb80bfe9106d100d71,1143,mirrored-to-2080ti
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-default-s123.log,95c4484ab583402f1ded4cf71f2b797688124351c18d10cc0527ea03e4acae31,43293,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-hard04-s123.log,1fc02b06a1b4572be71a57bd7cb24e2d1c815127b7016a1029dbb858e8779cd8,43483,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T005400Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T005400Z/logs/smoke-default-s123.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-default-s123.log,aa08b61e6f71bed429628fe6d48d25009a1fc9bc41e52627d33204879acf47b7,43293,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-hard04-s123.log,ad076dab5feace77a86cdcf6fb2ca42491b35a6ff88b4066f2a2ac239eb3260b,43483,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/logs/smoke-default-s123.log,11e2c00d5748f74fc796c32426208442c2afe775dc914bdae31080d22d8c41c5,43293,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/logs/smoke-hard04-s123.log,6dbbd12d1935978258ebdba967b0ad1cd3304cc639d858e356a58fcf5a68111b,43483,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-wave1-20260625T012500Z/logs/default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-wave1-20260625T012500Z/logs/default-s123.log,49ba17afc513cfa4022580d30db85e4acf258d597ac99c4341d2f562f233b1da,2414042,source-local
20260625-01-flash-vqg-early-window-trace,2080ti,mclab-2080ti,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-wave1-20260625T012500Z/logs/default-s124.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-wave1-20260625T012500Z/logs/default-s124.log,b1d233bd1111b3ac8408449f77c2bde767675b3177d0910ebb4bfa2caeee09b0,2398159,source-local
20260625-01-flash-vqg-early-window-trace,3090,mclab-3090,mclab-3090:/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-smoke-20260625T012100Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-smoke-20260625T012100Z/logs/smoke-default-s123.log,b5d4973d5eece9c5aa5eed9298ab30bbf5541603584861c0d6d9830728c5626f,43166,mirrored-to-2080ti
20260625-01-flash-vqg-early-window-trace,3090,mclab-3090,mclab-3090:/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-smoke-20260625T012100Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/3090-smoke-20260625T012100Z/logs/smoke-hard04-s123.log,ece5fadda5c79318a6bbb7828ab15b23d7815dbf8ead745ec199045769a5e5ae,43356,mirrored-to-2080ti
