queue,target,gpu,pid,status,log,trace_output_dir,started_at,finished_at,status_path
2080ti-smoke,smoke-default-s123,0,83393,started,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-default-s123,2026-06-25T01:10:08+08:00,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/queue-status.tsv
2080ti-smoke,smoke-default-s123,0,83393,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-default-s123,2026-06-25T01:10:08+08:00,2026-06-25T01:10:33+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/queue-status.tsv
2080ti-smoke,smoke-hard04-s123,0,83489,started,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-hard04-s123,2026-06-25T01:10:33+08:00,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/queue-status.tsv
2080ti-smoke,smoke-hard04-s123,0,83489,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-hard04-s123,2026-06-25T01:10:33+08:00,2026-06-25T01:10:58+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260624T171008Z/queue-status.tsv
2080ti-smoke,smoke-default-s123,0,82856,started,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T005400Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-default-s123,2026-06-25T01:01:45+08:00,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T005400Z/queue-status.tsv
2080ti-smoke,smoke-default-s123,0,83112,started,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-default-s123,2026-06-25T01:07:09+08:00,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/queue-status.tsv
2080ti-smoke,smoke-default-s123,0,83112,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-default-s123,2026-06-25T01:07:09+08:00,2026-06-25T01:07:34+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/queue-status.tsv
2080ti-smoke,smoke-hard04-s123,0,83200,started,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-hard04-s123,2026-06-25T01:07:39+08:00,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/queue-status.tsv
2080ti-smoke,smoke-hard04-s123,0,83200,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/logs/smoke-hard04-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-hard04-s123,2026-06-25T01:07:39+08:00,2026-06-25T01:08:04+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T010700Z/queue-status.tsv
2080ti-smoke,smoke-default-s123,0,83654,started,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-default-s123,2026-06-25T01:13:34+08:00,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/queue-status.tsv
2080ti-smoke,smoke-default-s123,0,83654,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/logs/smoke-default-s123.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/traces/2080ti/smoke-default-s123,2026-06-25T01:13:34+08:00,2026-06-25T01:13:59+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260625-01-flash-vqg-early-window-trace/outputs/2080ti-smoke-20260625T011900Z/queue-status.tsv
