variant,description,completed_machines,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap,final_gap_percentage_points,final_accuracy_2080ti,final_accuracy_3090,loss_2080ti,loss_3090,passes_screen,read_topk,write_topk,update_norm_softcap,update_norm_softcap_mode,m_norm_cap,injection_warmup_start_train_steps,injection_warmup_end_train_steps,warmup_end_optimizer_step,read_selected_mass_2080ti,read_selected_mass_3090,read_selected_mass_abs_diff,read_entropy_2080ti,read_entropy_3090,read_entropy_abs_diff,read_margin_top1_top2_2080ti,read_margin_top1_top2_3090,read_margin_top1_top2_abs_diff,update_norm_mean_2080ti,update_norm_mean_3090,update_norm_mean_abs_diff,update_norm_p95_2080ti,update_norm_p95_3090,update_norm_p95_abs_diff,update_norm_max_2080ti,update_norm_max_3090,update_norm_max_abs_diff,update_softcap_hit_ratio_2080ti,update_softcap_hit_ratio_3090,update_softcap_hit_ratio_abs_diff,update_softcap_scale_mean_2080ti,update_softcap_scale_mean_3090,update_softcap_scale_mean_abs_diff,update_softcap_scale_min_2080ti,update_softcap_scale_min_3090,update_softcap_scale_min_abs_diff,update_softcap_scale_p05_2080ti,update_softcap_scale_p05_3090,update_softcap_scale_p05_abs_diff,m_norm_mean_2080ti,m_norm_mean_3090,m_norm_mean_abs_diff,m_norm_max_2080ti,m_norm_max_3090,m_norm_max_abs_diff,m_norm_cap_hit_ratio_2080ti,m_norm_cap_hit_ratio_3090,m_norm_cap_hit_ratio_abs_diff,lambda_mean_2080ti,lambda_mean_3090,lambda_mean_abs_diff,inject_ratio_2080ti,inject_ratio_3090,inject_ratio_abs_diff,injection_warmup_factor_2080ti,injection_warmup_factor_3090,injection_warmup_factor_abs_diff,write_strength_mean_2080ti,write_strength_mean_3090,write_strength_mean_abs_diff,raw_topk_mass_mean_2080ti,raw_topk_mass_mean_3090,raw_topk_mass_mean_abs_diff,write_top1_mass_mean_2080ti,write_top1_mass_mean_3090,write_top1_mass_mean_abs_diff,vq_entropy_2080ti,vq_entropy_3090,vq_entropy_abs_diff,vq_usage_max_2080ti,vq_usage_max_3090,vq_usage_max_abs_diff
fixed-r16-baseline,"default-dropout fixed read_topk=16 baseline, no M_state control","2080ti,3090",True,0.803,0.261,0.542,54.2,0.954,0.834,0.52,1.22,False,16,4,,none,,0,0,0,0.382,0.408,0.025999999999999968,0.606,0.626,0.020000000000000018,1.5,0.904,0.596,0.159,0.043,0.116,0.761,0.164,0.597,3.46,0.892,2.568,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.503,0.0954,0.4076,9.56,3.47,6.09,,,,0.227,0.0907,0.1363,0.0978,0.256,0.1582,1.0,1.0,0.0,0.0339,0.0263,0.007599999999999999,0.712,0.788,0.07600000000000007,0.787,0.775,0.01200000000000001,2.39,2.07,0.3200000000000003,2760.0,2840.0,80.0
r16-update-softcap0p5,read_topk=16 with smooth_p4 M_state update_norm softcap=0.5,"2080ti,3090",True,0.151,0.465,0.31400000000000006,31.400000000000006,0.696,0.895,2.69,0.883,False,16,4,0.5,smooth_p4,,0,0,0,0.348,0.433,0.08500000000000002,1.07,0.379,0.6910000000000001,0.878,1.26,0.382,0.109,0.121,0.011999999999999997,0.644,0.675,0.031000000000000028,3.61,3.53,0.08000000000000007,0.0753,0.0652,0.010100000000000012,0.964,0.965,0.0010000000000000009,0.139,0.143,0.003999999999999976,0.721,0.699,0.02200000000000002,0.216,0.16,0.055999999999999994,3.55,3.29,0.2599999999999998,,,,0.256,0.106,0.15000000000000002,0.145,0.346,0.20099999999999998,1.0,1.0,0.0,0.0254,0.0394,0.013999999999999999,0.691,0.803,0.1120000000000001,0.811,0.625,0.18600000000000005,2.33,2.33,0.0,2840.0,1870.0,970.0
r16-mnorm-cap6,read_topk=16 with hard M_state norm cap=6.0 diagnostic,"2080ti,3090",True,0.7,0.0295,0.6705,67.05,0.94,0.558,0.739,3.83,False,16,4,,none,6.0,0,0,0,0.356,0.415,0.059,1.03,0.169,0.861,0.873,2.55,1.6769999999999998,0.0157,0.101,0.08530000000000001,0.0567,0.633,0.5763,1.85,3.6,1.75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0538,0.15,0.0962,4.81,6.0,1.1900000000000004,8.17e-06,0.000702,0.00069383,0.353,0.157,0.19599999999999998,0.152,0.123,0.028999999999999998,1.0,1.0,0.0,0.004,0.0251,0.0211,0.675,0.763,0.08799999999999997,0.781,0.838,0.05699999999999994,2.41,2.04,0.3700000000000001,2760.0,2980.0,220.0
r16-update-softcap0p5-injwarm512,read_topk=16 with smooth_p4 update_norm softcap=0.5 and residual injection warmup 0->512 optimizer steps,"2080ti,3090",True,0.901,0.923,0.02200000000000002,2.200000000000002,0.981,0.985,0.236,0.213,True,16,4,0.5,smooth_p4,,0,2048,512,0.408,0.408,0.0,0.543,0.848,0.30499999999999994,1.25,0.728,0.522,0.0247,0.192,0.1673,0.136,1.33,1.194,0.558,7.22,6.662,0.000257,0.0962,0.095943,0.998,0.944,0.05400000000000005,0.791,0.0695,0.7215,0.999,0.43,0.569,0.0771,0.0639,0.013200000000000003,1.32,12.3,10.98,,,,0.256,0.813,0.5569999999999999,0.213,0.242,0.028999999999999998,1.0,1.0,0.0,0.0117,0.0499,0.0382,0.767,0.748,0.019000000000000017,0.825,0.822,0.0030000000000000027,2.05,2.13,0.08000000000000007,3070.0,3090.0,20.0
