variant,machine,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,log_path,gd_residual_remote_read_topk_effective,gd_residual_read_selected_mass_mean,gd_residual_read_entropy_mean,gd_residual_read_margin_top1_top2_mean,gd_residual_update_norm_mean,gd_residual_update_norm_p95,gd_residual_update_norm_max,gd_residual_update_norm_softcap_hit_ratio,gd_residual_update_norm_softcap_scale_mean,gd_residual_update_norm_softcap_scale_min,gd_residual_update_norm_softcap_scale_p05,gd_residual_update_norm_softcap_effective_cap,gd_residual_m_norm_mean,gd_residual_m_norm_max,gd_residual_m_norm_cap_hit_ratio,gd_residual_lambda_mean,gd_residual_inject_ratio,gd_residual_injection_warmup_factor,gd_residual_write_strength_mean,gd_residual_raw_topk_mass_mean,gd_residual_write_top1_mass_mean,gd_residual_write_q_entropy_mean,gd_residual_write_q_top1_mean,vq_c_entropy,vq_c_usage_max,vq_write_top1_mass_mean,vq_write_entropy_mean
fixed-r16-baseline,2080ti,0.52,0.954,0.954,0.803,0.803,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/logs/fixed-r16-baseline.log,16,0.382,0.606,1.5,0.159,0.761,3.46,0,1,1,1,0,0.503,9.56,,0.227,0.0978,1,0.0339,0.712,0.787,0.626,0.787,2.39,2.76e+3,0.588,1.99
r16-update-softcap0p5,2080ti,2.69,0.696,0.696,0.151,0.151,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/logs/r16-update-softcap0p5.log,16,0.348,1.07,0.878,0.109,0.644,3.61,0.0753,0.964,0.139,0.721,0.5,0.216,3.55,,0.256,0.145,1,0.0254,0.691,0.811,0.571,0.811,2.33,2.84e+3,0.595,2.05
r16-mnorm-cap6,2080ti,0.739,0.94,0.94,0.7,0.7,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/logs/r16-mnorm-cap6.log,16,0.356,1.03,0.873,0.0157,0.0567,1.85,0,1,1,1,0,0.0538,4.81,8.17e-6,0.353,0.152,1,0.004,0.675,0.781,0.607,0.781,2.41,2.76e+3,0.575,2.06
r16-update-softcap0p5-injwarm512,2080ti,0.236,0.981,0.981,0.901,0.901,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-2080ti-gpu0-20260705T074648Z/logs/r16-update-softcap0p5-injwarm512.log,16,0.408,0.543,1.25,0.0247,0.136,0.558,0.000257,0.998,0.791,0.999,0.5,0.0771,1.32,,0.256,0.213,1,0.0117,0.767,0.825,0.573,0.825,2.05,3.07e+3,0.641,1.8
fixed-r16-baseline,3090,1.22,0.834,0.834,0.261,0.261,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/logs/fixed-r16-baseline.log,16,0.408,0.626,0.904,0.043,0.164,0.892,0,1,1,1,0,0.0954,3.47,,0.0907,0.256,1,0.0263,0.788,0.775,0.722,0.775,2.07,2.84e+3,0.614,1.83
r16-update-softcap0p5,3090,0.883,0.895,0.895,0.465,0.465,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/logs/r16-update-softcap0p5.log,16,0.433,0.379,1.26,0.121,0.675,3.53,0.0652,0.965,0.143,0.699,0.5,0.16,3.29,,0.106,0.346,1,0.0394,0.803,0.625,0.974,0.625,2.33,1.87e+3,0.501,1.97
r16-mnorm-cap6,3090,3.83,0.558,0.558,0.0295,0.0295,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/logs/r16-mnorm-cap6.log,16,0.415,0.169,2.55,0.101,0.633,3.6,0,1,1,1,0,0.15,6,0.000702,0.157,0.123,1,0.0251,0.763,0.838,0.523,0.838,2.04,2.98e+3,0.649,1.81
r16-update-softcap0p5-injwarm512,3090,0.213,0.985,0.985,0.923,0.923,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-01-flash-vqg-default-dropout-r16-mstate-control/outputs/mstate-3090-gpu0-20260705T074648Z/logs/r16-update-softcap0p5-injwarm512.log,16,0.408,0.848,0.728,0.192,1.33,7.22,0.0962,0.944,0.0695,0.43,0.5,0.0639,12.3,,0.813,0.242,1,0.0499,0.748,0.822,0.583,0.822,2.13,3.09e+3,0.63,1.86
