variant,machines_completed,completed_pair,final_1024x256_2080ti,final_1024x256_3090,final_gap_percentage_points,passes_screen,decision
fixed-r16-baseline,"2080ti,3090",True,0.803,0.261,54.2,False,do_not_promote; inspect mechanism metrics or redesign
r16-update-softcap0p5,"2080ti,3090",True,0.151,0.465,31.400000000000006,False,do_not_promote; inspect mechanism metrics or redesign
r16-mnorm-cap6,"2080ti,3090",True,0.7,0.0295,67.05,False,do_not_promote; inspect mechanism metrics or redesign
r16-update-softcap0p5-injwarm512,"2080ti,3090",True,0.901,0.923,2.200000000000002,True,same_seed_pair_rerun_candidate
