-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     AsStridedBackward0         0.00%      44.371us         0.00%     218.245us      72.748us       0.000us         0.00%     288.351us      96.117us           0 b           0 b      48.00 Mb           0 b             3  
                                        aten::index_put         0.00%      15.306us         0.00%     167.745us      55.915us       0.000us         0.00%     291.935us      97.312us           0 b           0 b      48.00 Mb           0 b             3  
autograd::engine::evaluate_function: IndexSelectBack...         0.00%      45.929us         0.00%     594.512us     118.902us       0.000us         0.00%     750.173us     150.035us           0 b           0 b      47.06 Mb     -85.13 Mb             5  
                                           aten::linear         0.00%      75.707us         0.15%      18.915ms       2.702ms       0.000us         0.00%     288.094us      41.156us           0 b           0 b      43.16 Mb           0 b             7  
                                           aten::matmul         0.12%      15.837ms         2.15%     280.172ms      34.180us       0.000us         0.00%      21.360ms       2.606us           0 b           0 b      39.52 Mb           0 b          8197  
                                         IndexBackward0         0.00%     228.311us         0.28%      36.901ms       1.153ms       0.000us         0.00%       3.753ms     117.291us           0 b           0 b      33.20 Mb           0 b            32  
                               aten::cross_entropy_loss         0.00%      15.005us         0.04%       4.833ms       4.833ms       0.000us         0.00%     153.407us     153.407us           0 b           0 b      32.00 Mb           0 b             1  
                                      aten::log_softmax         0.00%       4.976us         0.00%     110.402us     110.402us       0.000us         0.00%     131.168us     131.168us           0 b           0 b      32.00 Mb           0 b             1  
                                     aten::_log_softmax         0.00%      29.253us         0.00%     105.147us     105.147us     131.168us         0.00%     131.168us     131.168us           0 b           0 b      32.00 Mb      32.00 Mb             1  
                                       NllLossBackward0         0.00%      33.791us         0.00%     253.548us     253.548us       0.000us         0.00%      75.392us      75.392us           0 b           0 b      32.00 Mb           0 b             1  
