-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.12%      15.837ms         2.15%     280.172ms      34.180us       0.000us         0.00%      21.360ms       2.606us           0 b           0 b      39.52 Mb           0 b          8197  
                                           aten::addmv_         1.31%     170.134ms         2.07%     269.168ms      18.776us      40.060ms         0.93%      40.060ms       2.794us           0 b           0 b           0 b           0 b         14336  
                                              aten::add         1.12%     145.443ms         1.79%     232.608ms      16.139us      31.045ms         0.72%      31.045ms       2.154us           0 b           0 b      58.29 Mb      58.29 Mb         14413  
                                             aten::item         0.12%      14.957ms         1.35%     175.455ms      15.021us       0.000us         0.00%      10.150ms       0.869us           0 b           0 b           0 b           0 b         11681  
                                              aten::exp         0.88%     114.994ms         1.34%     174.855ms      21.308us      17.547ms         0.41%      17.550ms       2.139us           0 b           0 b       6.53 Mb       6.53 Mb          8206  
      autograd::engine::evaluate_function: ExpBackward0         0.33%      43.496ms         1.29%     167.643ms      27.237us       0.000us         0.00%      13.530ms       2.198us           0 b           0 b      -5.52 Mb     -11.05 Mb          6155  
                              aten::_local_scalar_dense         0.46%      59.238ms         1.23%     160.498ms      13.740us      10.150ms         0.23%      10.150ms       0.869us           0 b           0 b           0 b           0 b         11681  
                                              aten::ger         0.05%       7.081ms         1.23%     159.874ms      26.021us       0.000us         0.00%      17.897ms       2.913us           0 b           0 b      24.00 Mb           0 b          6144  
                                              aten::sub         0.81%     105.141ms         1.21%     157.714ms      19.096us      18.032ms         0.42%      18.032ms       2.183us         396 b           0 b      13.59 Mb      13.59 Mb          8259  
      autograd::engine::evaluate_function: SubBackward0         0.25%      32.888ms         1.15%     149.276ms      24.217us       0.000us         0.00%      13.468ms       2.185us           0 b           0 b       5.59 Mb      -3.01 Mb          6164  
                                       aten::as_strided         0.97%     126.706ms         0.97%     126.706ms       1.039us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        121928  
                                           ExpBackward0         0.17%      22.376ms         0.95%     124.147ms      20.170us       0.000us         0.00%      13.530ms       2.198us           0 b           0 b       5.52 Mb           0 b          6155  
                         torch::autograd::CopyBackwards         0.17%      21.796ms         0.95%     123.163ms      28.268us       0.000us         0.00%       9.668ms       2.219us           0 b           0 b      51.98 Mb           0 b          4357  
                                           SubBackward0         0.11%      14.517ms         0.89%     116.287ms      18.865us       0.000us         0.00%      13.442ms       2.181us           0 b           0 b       8.55 Mb           0 b          6164  
                                            aten::clone         0.13%      16.896ms         0.84%     108.919ms      24.454us       0.000us         0.00%      11.598ms       2.604us         396 b           0 b     196.58 Mb           0 b          4454  
                                              aten::neg         0.46%      59.775ms         0.84%     108.818ms      17.625us      13.480ms         0.31%      13.480ms       2.183us           0 b           0 b      11.73 Mb      11.73 Mb          6174  
                                       aten::zeros_like         0.10%      13.129ms         0.82%     106.447ms      24.132us       0.000us         0.00%       9.786ms       2.219us           0 b           0 b      65.15 Mb           0 b          4411  
                                          aten::reshape         0.25%      32.759ms         0.73%      95.096ms       4.559us       0.000us         0.00%      85.666us       0.004us           0 b           0 b      14.02 Mb           0 b         20857  
                                 gd_residual/event_pack         0.03%       3.679ms         0.67%      87.172ms      21.793ms       0.000us         0.00%       1.580ms     394.903us           0 b           8 b      59.34 Mb     -11.04 Mb             4  
                                             aten::view         0.60%      78.424ms         0.60%      78.424ms       2.895us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         27090  
                                       aten::empty_like         0.17%      22.290ms         0.54%      70.278ms       7.824us       0.000us         0.00%       0.000us       0.000us         396 b           0 b     241.99 Mb           0 b          8982  
     autograd::engine::evaluate_function: ViewBackward0         0.24%      30.708ms         0.50%      65.087ms      10.449us       0.000us         0.00%      64.131us       0.010us           0 b           0 b      -1.02 Mb     -10.29 Mb          6229  
                                     aten::index_select         0.00%     588.936us         0.43%      55.708ms       1.326ms     520.510us         0.01%     520.510us      12.393us           0 b           0 b      86.07 Mb           0 b            42  
                                        aten::embedding         0.00%      67.003us         0.42%      54.477ms      54.477ms       0.000us         0.00%       6.464us       6.464us           0 b           0 b     512.00 Kb           0 b             1  
                                         cuLaunchKernel         0.36%      47.207ms         0.36%      47.207ms       5.766us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          8187  
                              Optimizer.step#AdamW.step         0.02%       3.137ms         0.35%      45.735ms      45.735ms       0.000us         0.00%     290.912us     290.912us         104 b          -4 b       9.04 Mb      -4.52 Mb             1  
                                  cudaStreamSynchronize         0.34%      43.717ms         0.34%      43.717ms       3.754us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         11645  
      autograd::engine::evaluate_function: AddBackward0         0.27%      35.545ms         0.31%      40.491ms       6.569us       0.000us         0.00%      19.008us       0.003us           0 b           0 b      -1.93 Mb      -2.00 Mb          6164  
                                                aten::t         0.13%      16.326ms         0.30%      39.628ms       6.405us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6187  
                                aten::new_empty_strided         0.09%      11.209ms         0.30%      39.458ms       9.050us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.25 Gb           0 b          4360  
    autograd::engine::evaluate_function: IndexBackward0         0.00%     410.110us         0.29%      37.480ms       1.171ms       0.000us         0.00%       3.784ms     118.249us           0 b           0 b      -7.86 Mb     -41.07 Mb            32  
                                         IndexBackward0         0.00%     228.311us         0.28%      36.901ms       1.153ms       0.000us         0.00%       3.753ms     117.291us           0 b           0 b      33.20 Mb           0 b            32  
                                 aten::_index_put_impl_         0.03%       3.462ms         0.28%      36.279ms     930.223us       3.028ms         0.07%       3.848ms      98.674us           0 b        -240 b           0 b      -3.94 Mb            39  
                                          ViewBackward0         0.10%      12.931ms         0.26%      34.259ms       5.500us       0.000us         0.00%      44.098us       0.007us           0 b           0 b       7.77 Mb           0 b          6229  
                                    aten::empty_strided         0.23%      30.311ms         0.24%      30.758ms       6.463us       0.000us         0.00%       0.000us       0.000us       2.50 Kb       2.50 Kb      24.34 Gb      24.34 Gb          4759  
                                             aten::topk         0.00%     292.448us         0.22%      28.365ms       5.673ms     274.270us         0.01%     302.110us      60.422us           0 b           0 b     144.00 Kb      -3.86 Mb             5  
                               aten::linalg_vector_norm         0.00%     222.607us         0.19%      25.125ms       3.589ms      37.504us         0.00%      37.504us       5.358us           0 b           0 b      64.00 Kb      64.00 Kb             7  
                                        cudaEventRecord         0.19%      24.619ms         0.19%      24.619ms       1.914us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         12864  
                                        aten::transpose         0.12%      15.422ms         0.18%      23.481ms       3.774us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6221  
                                              aten::pow         0.00%     195.742us         0.18%      22.946ms       2.868ms     274.975us         0.01%     277.439us      34.680us           0 b           0 b      66.63 Mb      66.63 Mb             8  
                                    aten::_foreach_sqrt         0.00%      80.753us         0.17%      22.598ms      22.598ms      23.616us         0.00%      23.616us      23.616us           0 b           0 b       4.52 Mb           0 b             1  
                                  cudaFuncGetAttributes         0.16%      20.284ms         0.16%      20.284ms       3.381ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                        aten::remainder         0.02%       3.004ms         0.15%      19.238ms     202.505us     301.890us         0.01%     301.890us       3.178us          96 b          96 b       1.36 Mb       1.36 Mb            95  
                                           aten::linear         0.00%      75.707us         0.15%      18.915ms       2.702ms       0.000us         0.00%     288.094us      41.156us           0 b           0 b      43.16 Mb           0 b             7  
                                            aten::addmm         0.01%       1.214ms         0.14%      18.390ms       4.597ms      40.255us         0.00%      40.255us      10.064us           0 b           0 b       8.65 Mb       4.65 Mb             4  
