target,global_step,records,selected_mass_mean,selected_mass_min,selected_mass_max,margin_mean,entropy_mean
cb128r8-readk4-s125-trace,176,64,0.5580774997361004,0.1306072622537613,0.971968948841095,1.933271687477827,2.5704883076250553
cb128r8-readk4-s125-trace,353,64,0.7918645171448588,0.3733177185058594,0.9814420938491821,3.3516122475266457,1.5204455615021288
cb128r8-readk4-s125-trace,530,64,0.6856464002048597,0.10669362545013428,0.9765164852142334,2.708019431680441,1.8658946172799915
cb128r8-readk4-s125-trace,707,64,0.600424581207335,0.256588876247406,0.9471254944801331,1.5324539244174957,2.5490909097716212
cb128r8-readk4-s125-trace,884,64,0.6280893264338374,0.38829493522644043,0.9144954085350037,1.095772448927164,2.5172199364751577
cb128r8-readk4-s125-trace,1061,64,0.6680060126818717,0.47262370586395264,0.8870043754577637,0.9696342647075653,2.3715222626924515
cb128r8-readk4-s125-trace,1238,64,0.6862487699836493,0.467820405960083,0.8513170480728149,1.1616182178258896,2.3092393819242716
cb128r8-readk4-s125-trace,1415,64,0.7025531381368637,0.4870319366455078,0.852109432220459,1.1196352913975716,2.2420872393995523
cb128r8-readk4-s125-trace,1592,64,0.6986818015575409,0.5887550115585327,0.8175862431526184,0.8609878197312355,2.2761245351284742
cb128r8-readk4-s125-trace,1769,64,0.6967833917587996,0.5615136027336121,0.8329652547836304,0.8559166416525841,2.272239413112402
cb128r8-readk4-s125-trace,1946,64,0.6978746606037021,0.5764868259429932,0.8167404532432556,0.7904006615281105,2.274016935378313
cb128r8-readk4-s125-trace,2123,64,0.6958834631368518,0.5441732406616211,0.8070292472839355,0.8085784539580345,2.2806356716901064
cb128r8-readk4-s125-trace,2300,64,0.7051892960444093,0.5642063617706299,0.8101856112480164,0.9880075007677078,2.204309519380331
cb128r8-readk4-s125-trace,2477,64,0.7059837365522981,0.5747533440589905,0.8024155497550964,1.085789941251278,2.189673190936446
cb128r8-readk4-s125-trace,2654,64,0.7026265794411302,0.5895366668701172,0.7992671728134155,1.0856413170695305,2.2109978776425123
cb128r8-readk4-s125-trace,2831,64,0.6998525224626064,0.584481954574585,0.7892383933067322,1.0891987308859825,2.230085164308548
cb256r8-readk2-s125-trace,176,64,0.5085151566891,0.035147152841091156,0.9898776412010193,2.570572404190898,2.71275439549936
cb256r8-readk2-s125-trace,353,64,0.9400415783748031,0.9076067805290222,0.9821357131004333,4.245752885937691,0.4171883784001693
cb256r8-readk2-s125-trace,530,64,0.6566239539533854,0.07054489850997925,0.9600716829299927,2.2310179099440575,1.9734025264624506
cb256r8-readk2-s125-trace,707,64,0.6321591851301491,0.17390033602714539,0.9451318979263306,1.5875495485961437,2.2035253131762147
cb256r8-readk2-s125-trace,884,64,0.6034323922358453,0.16842001676559448,0.9843510985374451,1.6605860032141209,2.410044165328145
cb256r8-readk2-s125-trace,1061,64,0.5694053734187037,0.17673632502555847,0.9822085499763489,1.5724925622344017,2.5628700661472976
cb256r8-readk2-s125-trace,1238,64,0.5534692802466452,0.13125991821289062,0.974973201751709,1.4926436208188534,2.6376536241732538
cb256r8-readk2-s125-trace,1415,64,0.49064715520944446,0.10925251990556717,0.9545626044273376,1.2992804907262325,2.9377471255138516
cb256r8-readk2-s125-trace,1592,64,0.45417938684113324,0.08690135926008224,0.9504917860031128,1.2556401453912258,3.1063665850088
cb256r8-readk2-s125-trace,1769,64,0.4500713262241334,0.0844670832157135,0.9516594409942627,1.2085752077400684,3.118217767216265
cb256r8-readk2-s125-trace,1946,64,0.4234562498750165,0.08461999893188477,0.9303056001663208,1.15876373834908,3.227338927797973
cb256r8-readk2-s125-trace,2123,64,0.3845051774987951,0.06711964309215546,0.8794212937355042,1.1238771583884954,3.4017812050879
cb256r8-readk2-s125-trace,2300,64,0.3898883949732408,0.0688355416059494,0.8946223855018616,1.1562410090118647,3.3810622515156865
cb256r8-readk2-s125-trace,2477,64,0.3850427446886897,0.06681729853153229,0.8921528458595276,1.1461369581520557,3.3980517191812396
cb256r8-readk2-s125-trace,2654,64,0.3804254732094705,0.0638357400894165,0.8905588388442993,1.1350713148713112,3.422786253504455
cb256r8-readk2-s125-trace,2831,64,0.3882873260881752,0.06446634978055954,0.8834113478660583,1.1733488589525223,3.378542033955455
cb256r8-readk4-s125-trace,176,64,0.623475543805398,0.07034184783697128,0.9938413500785828,3.0998750776052475,2.320283133885823
cb256r8-readk4-s125-trace,353,64,0.9577068313956261,0.9353627562522888,0.9911823868751526,5.098911851644516,0.32375907272216864
cb256r8-readk4-s125-trace,530,64,0.3060603551566601,0.1330636441707611,0.6341454386711121,0.7523149363696575,4.053460564464331
cb256r8-readk4-s125-trace,707,64,0.273175316513516,0.11570190638303757,0.5120110511779785,0.7594928573817015,4.247243162244558
cb256r8-readk4-s125-trace,884,64,0.3098488738760352,0.09497413784265518,0.5653116703033447,1.0557075534015894,4.110946852713823
cb256r8-readk4-s125-trace,1061,64,0.34893131349235773,0.1237538754940033,0.7340302467346191,1.2235296834260225,3.926207695156336
cb256r8-readk4-s125-trace,1238,64,0.3733007530681789,0.14555689692497253,0.7107412815093994,1.4014012664556503,3.830604210495949
cb256r8-readk4-s125-trace,1415,64,0.3867981212679297,0.15328159928321838,0.7329389452934265,1.1807964034378529,3.789796121418476
cb256r8-readk4-s125-trace,1592,64,0.40743607305921614,0.17799344658851624,0.7610206604003906,1.1798624489456415,3.693551130592823
cb256r8-readk4-s125-trace,1769,64,0.44965616916306317,0.23452015221118927,0.7907525897026062,1.2717198096215725,3.514005895704031
cb256r8-readk4-s125-trace,1946,64,0.4777437043376267,0.2739582657814026,0.8020938038825989,1.3088087774813175,3.3789834044873714
cb256r8-readk4-s125-trace,2123,64,0.49755496717989445,0.299067884683609,0.8080401420593262,1.356964286416769,3.283384582027793
cb256r8-readk4-s125-trace,2300,64,0.522581270430237,0.2997562289237976,0.8162614703178406,1.2436557598412037,3.1623754277825356
cb256r8-readk4-s125-trace,2477,64,0.5414854236878455,0.2831585109233856,0.8095122575759888,1.157785926014185,3.069241264835
cb256r8-readk4-s125-trace,2654,64,0.5543274316005409,0.29512810707092285,0.8249058127403259,1.1278150863945484,3.006311170756817
cb256r8-readk4-s125-trace,2831,64,0.5632206336595118,0.2987420856952667,0.8222005367279053,1.0971357710659504,2.9610094502568245
