target,comparison_rows,mismatch_rows,first_mismatch_stage,first_mismatch_optimizer_step,first_mismatch_micro_step,first_mismatch_field,first_mismatch_module
baseline-r2,1587,1561,forward_before_backward_step0_micro0,0,0,module_output_sha256,backbone.layers.0.dropout1
ucap0p25-r2,1587,1561,forward_before_backward_step0_micro0,0,0,module_output_sha256,backbone.layers.0.dropout1
ucap0p5-r2,1587,1561,forward_before_backward_step0_micro0,0,0,module_output_sha256,backbone.layers.0.dropout1
