target,train_step,records,top1_match_rate,topk_exact_match_rate,topk_overlap_ratio_mean
baseline-r2,0,64,1.0,1.0,1.0
baseline-r2,16,64,0.65625,0.3125,0.6875
baseline-r2,64,64,0.515625,0.125,0.53125
baseline-r2,128,64,0.53125,0.171875,0.4375
baseline-r2,256,64,0.203125,0.015625,0.421875
baseline-r2,384,64,0.5,0.5,0.734375
baseline-r2,512,64,0.109375,0.015625,0.2109375
baseline-r2,704,64,0.171875,0.015625,0.203125
ucap0p25-r2,0,64,1.0,1.0,1.0
ucap0p25-r2,16,64,0.65625,0.3125,0.6875
ucap0p25-r2,64,64,0.515625,0.125,0.53125
ucap0p25-r2,128,64,0.53125,0.15625,0.4296875
ucap0p25-r2,256,64,0.015625,0.0,0.296875
ucap0p25-r2,384,64,0.5,0.0,0.4375
ucap0p25-r2,512,64,0.25,0.046875,0.3046875
ucap0p25-r2,704,64,0.140625,0.015625,0.203125
ucap0p5-r2,0,64,1.0,1.0,1.0
ucap0p5-r2,16,64,0.65625,0.3125,0.6875
ucap0p5-r2,64,64,0.515625,0.125,0.53125
ucap0p5-r2,128,64,0.53125,0.171875,0.4375
ucap0p5-r2,256,64,0.359375,0.015625,0.4921875
ucap0p5-r2,384,64,0.5625,0.015625,0.4296875
ucap0p5-r2,512,64,0.203125,0.03125,0.3046875
ucap0p5-r2,704,64,0.109375,0.015625,0.25
