variant,machine,update_norm_cap,loss_step704,update_norm_cap_active,update_norm_effective_cap,update_norm_cap_hit_ratio,update_norm_p95,update_norm_max,m_norm_max,lambda_mean,inject_ratio
baseline-r2,2080ti,,1.187666893005371,0.0,0.0,0.0,0.06277058273553848,0.5290972590446472,2.633448600769043,0.12207227945327759,0.32662686705589294
baseline-r2,3090,,3.730839252471924,0.0,0.0,0.0,0.8887024521827698,2.106060028076172,7.779677867889404,0.09157732129096985,0.6951208710670471
ucap0p5-r2,2080ti,0.5,1.6874001026153564,1.0,0.5,0.0,0.07324226200580597,0.30150896310806274,2.2120158672332764,0.11647602915763855,0.7794137001037598
ucap0p5-r2,3090,0.5,1.5477925539016724,1.0,0.5,0.03209686279296875,0.2841947674751282,2.1315674781799316,7.890373706817627,0.10126819461584091,0.14134040474891663
ucap0p25-r2,2080ti,0.25,2.7519731521606445,1.0,0.25,0.056884765625,0.2636188566684723,0.8731867074966431,3.36926531791687,0.0981965959072113,0.3164108395576477
ucap0p25-r2,3090,0.25,2.837693452835083,1.0,0.25,0.04180145263671875,0.20821888744831085,5.48512077331543,4.1682915687561035,0.11670385301113129,0.37907731533050537
