experiment_id,machine,target,queue,wrapper_status,effective_status,execution_caveat,result_json,result_exists,config_json,config_exists,log_path,log_exists,log_done_marker,hash_probe_json,hash_probe_exists,started_at,finished_at,zoology_commit,flash_vqg_commit
20260701-04-flash-vqg-default-dropout-update-norm-cap-probe,2080ti,baseline-r2,ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z,completed,completed,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z/results/baseline-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z/configs/baseline-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z/logs/baseline-r2.log,True,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/hash-probes/2080ti/baseline-r2/ucap-2080ti-gpu0-baseline-ucap0p25/hash_probe.json,True,2026-07-01T21:46:32+08:00,2026-07-02T00:21:32+08:00,d693a0a,bc391c0
20260701-04-flash-vqg-default-dropout-update-norm-cap-probe,2080ti,ucap0p25-r2,ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z,completed,completed,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z/results/ucap0p25-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z/configs/ucap0p25-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu0-baseline-ucap0p25-20260701T114109Z/logs/ucap0p25-r2.log,True,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/hash-probes/2080ti/ucap0p25-r2/ucap-2080ti-gpu0-baseline-ucap0p25/hash_probe.json,True,2026-07-01T21:46:32+08:00,2026-07-02T00:21:32+08:00,d693a0a,bc391c0
20260701-04-flash-vqg-default-dropout-update-norm-cap-probe,2080ti,ucap0p5-r2,ucap-2080ti-gpu1-ucap0p5-20260701T114109Z,completed,completed,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu1-ucap0p5-20260701T114109Z/results/ucap0p5-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu1-ucap0p5-20260701T114109Z/configs/ucap0p5-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-2080ti-gpu1-ucap0p5-20260701T114109Z/logs/ucap0p5-r2.log,True,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/hash-probes/2080ti/ucap0p5-r2/ucap-2080ti-gpu1-ucap0p5/hash_probe.json,True,2026-07-01T19:41:23+08:00,2026-07-01T22:16:23+08:00,d693a0a,bc391c0
20260701-04-flash-vqg-default-dropout-update-norm-cap-probe,3090,baseline-r2,ucap-3090-gpu0-all-20260701T114109Z,completed,completed,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/results/baseline-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/configs/baseline-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/logs/baseline-r2.log,True,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/hash-probes/3090/baseline-r2/ucap-3090-gpu0-all/hash_probe.json,True,2026-07-01T15:06:36+00:00,2026-07-01T16:56:36+00:00,d693a0a,bc391c0
20260701-04-flash-vqg-default-dropout-update-norm-cap-probe,3090,ucap0p25-r2,ucap-3090-gpu0-all-20260701T114109Z,completed,completed,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/results/ucap0p25-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/configs/ucap0p25-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/logs/ucap0p25-r2.log,True,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/hash-probes/3090/ucap0p25-r2/ucap-3090-gpu0-all/hash_probe.json,True,2026-07-01T15:06:36+00:00,2026-07-01T16:56:36+00:00,d693a0a,bc391c0
20260701-04-flash-vqg-default-dropout-update-norm-cap-probe,3090,ucap0p5-r2,ucap-3090-gpu0-all-20260701T114109Z,completed,completed,,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/results/ucap0p5-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/configs/ucap0p5-r2.json,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/ucap-3090-gpu0-all-20260701T114109Z/logs/ucap0p5-r2.log,True,True,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260701-04-flash-vqg-default-dropout-update-norm-cap-probe/outputs/hash-probes/3090/ucap0p5-r2/ucap-3090-gpu0-all/hash_probe.json,True,2026-07-01T15:06:36+00:00,2026-07-01T16:56:36+00:00,d693a0a,bc391c0
