metric,step,epoch,timestamp,value
valid/loss,1,1,2026-05-14T14:30:09.978593+00:00,9.045452117919922
valid/loss,3,2,2026-05-14T14:30:16.219096+00:00,9.044428825378418
valid/mqar_case/accuracy-1024x256,1,1,2026-05-14T14:30:09.982504+00:00,0.0
valid/mqar_case/accuracy-1024x256,3,2,2026-05-14T14:30:16.221030+00:00,0.0
valid/mqar_case/accuracy-128x32,1,1,2026-05-14T14:30:09.982799+00:00,0.0
valid/mqar_case/accuracy-128x32,3,2,2026-05-14T14:30:16.221144+00:00,0.0
valid/mqar_case/accuracy-256x64,1,1,2026-05-14T14:30:09.983087+00:00,0.0
valid/mqar_case/accuracy-256x64,3,2,2026-05-14T14:30:16.221285+00:00,0.0
valid/mqar_case/accuracy-512x128,1,1,2026-05-14T14:30:09.983383+00:00,0.0
valid/mqar_case/accuracy-512x128,3,2,2026-05-14T14:30:16.221405+00:00,0.0
valid/mqar_case/accuracy-512x64,1,1,2026-05-14T14:30:09.983670+00:00,0.0
valid/mqar_case/accuracy-512x64,3,2,2026-05-14T14:30:16.221520+00:00,0.0
valid/mqar_case/accuracy-64x16,1,1,2026-05-14T14:30:09.983963+00:00,0.0
valid/mqar_case/accuracy-64x16,3,2,2026-05-14T14:30:16.221636+00:00,0.0
valid/mqar_case/accuracy-64x4,1,1,2026-05-14T14:30:09.984324+00:00,0.0
valid/mqar_case/accuracy-64x4,3,2,2026-05-14T14:30:16.221750+00:00,0.0
valid/mqar_case/accuracy-64x8,1,1,2026-05-14T14:30:09.984636+00:00,0.0
valid/mqar_case/accuracy-64x8,3,2,2026-05-14T14:30:16.221862+00:00,0.0
valid/num_kv_pairs/accuracy-128,1,1,2026-05-14T14:30:09.980507+00:00,0.0
valid/num_kv_pairs/accuracy-128,3,2,2026-05-14T14:30:16.220211+00:00,0.0
valid/num_kv_pairs/accuracy-16,1,1,2026-05-14T14:30:09.979739+00:00,0.0
valid/num_kv_pairs/accuracy-16,3,2,2026-05-14T14:30:16.219824+00:00,0.0
valid/num_kv_pairs/accuracy-256,1,1,2026-05-14T14:30:09.980735+00:00,0.0
valid/num_kv_pairs/accuracy-256,3,2,2026-05-14T14:30:16.220329+00:00,0.0
valid/num_kv_pairs/accuracy-32,1,1,2026-05-14T14:30:09.980017+00:00,0.0
valid/num_kv_pairs/accuracy-32,3,2,2026-05-14T14:30:16.219959+00:00,0.0
valid/num_kv_pairs/accuracy-4,1,1,2026-05-14T14:30:09.979264+00:00,0.0
valid/num_kv_pairs/accuracy-4,3,2,2026-05-14T14:30:16.219474+00:00,0.0
valid/num_kv_pairs/accuracy-64,1,1,2026-05-14T14:30:09.980258+00:00,0.0
valid/num_kv_pairs/accuracy-64,3,2,2026-05-14T14:30:16.220091+00:00,0.0
valid/num_kv_pairs/accuracy-8,1,1,2026-05-14T14:30:09.979514+00:00,0.0
valid/num_kv_pairs/accuracy-8,3,2,2026-05-14T14:30:16.219669+00:00,0.0
valid/vq/c_entropy,1,1,2026-05-14T14:30:09.989245+00:00,5.542203426361084
valid/vq/c_entropy,3,2,2026-05-14T14:30:16.223723+00:00,5.541827619075775
valid/vq/c_usage_mean,1,1,2026-05-14T14:30:09.989015+00:00,1.28125
valid/vq/c_usage_mean,3,2,2026-05-14T14:30:16.223599+00:00,1.28125
valid/vq/relative_err_mean,1,1,2026-05-14T14:30:09.988785+00:00,0.9359839372336864
valid/vq/relative_err_mean,3,2,2026-05-14T14:30:16.223465+00:00,0.9318604823201895
valid/vq/write_entropy_mean,1,1,2026-05-14T14:30:09.989461+00:00,5.414506629109383
valid/vq/write_entropy_mean,3,2,2026-05-14T14:30:16.223841+00:00,5.408353507518768
valid/vq/write_top1_mass_mean,1,1,2026-05-14T14:30:09.989681+00:00,0.014440235012443736
valid/vq/write_top1_mass_mean,3,2,2026-05-14T14:30:16.223958+00:00,0.014832239918177947
vq/c_entropy,0,1,2026-05-14T14:30:04.642623+00:00,5.5449934005737305
vq/c_entropy,2,2,2026-05-14T14:30:14.005431+00:00,5.544869899749756
vq/c_usage_mean,0,1,2026-05-14T14:30:04.642420+00:00,64.0
vq/c_usage_mean,2,2,2026-05-14T14:30:14.005321+00:00,15.999999046325684
vq/relative_err_mean,0,1,2026-05-14T14:30:04.642170+00:00,0.9403850436210632
vq/relative_err_mean,2,2,2026-05-14T14:30:14.005192+00:00,0.9364284873008728
vq/write_entropy_mean,0,1,2026-05-14T14:30:04.642754+00:00,5.4210333824157715
vq/write_entropy_mean,2,2,2026-05-14T14:30:14.005527+00:00,5.414965629577637
vq/write_top1_mass_mean,0,1,2026-05-14T14:30:04.642881+00:00,0.013982794247567654
vq/write_top1_mass_mean,2,2,2026-05-14T14:30:14.005628+00:00,0.014356084167957306
