run_id,launch_id,model_family,config_family,config,logical_role,num_heads,banks_per_head,effective_kernel_heads,bank_k_dim,bank_v_dim,shared_v,merge,active_state_capacity,reported_state_size_metric,trainable_params,seed,data_seed,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,checkpoint_label,early_stopping_disabled,dtype_policy,outer_model_dtype,kernel_input_dtype,hidden_states_dtype,actual_kernel_dtype,gdn_kernel_dtype_policy,gpu,gpu_name,gpu_compute_capability,status,started_at_utc,ended_at_utc,wall_clock_sec,wall_clock,observed_peak_memory_used_mib,peak_memory_total_mib,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_mqar_case_accuracy_512x128,valid_input_seq_len_accuracy_512,valid_input_seq_len_accuracy_1024,valid_num_kv_pairs_accuracy_128,valid_num_kv_pairs_accuracy_256,swanlab_url,swanlab_run_dir,train_config_path,last_checkpoint_path,best_checkpoint_path,source_analysis_dir,source_manifest,zoology_branch,zoology_commit,note
banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase3-2026-05-26-18-58-19,gdn,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,banked-h2-b4-k256-v64-sharedv-usegate0-s123-d123,banked_k_shared_v_probe,2,4,8,256,64,True,softmax_gate,131072,525824.0,1643992.0,123,123,64,16,4,256,b64_ga4,4,4,2,8,epoch4_noearly_b64_ga4_fp32,True,float32,float32,float32,float32,float32,float32,0,NVIDIA GeForce RTX 2080 Ti,7.5,completed,2026-05-26T18:58:26.983730+00:00,2026-05-26T19:20:18.564134+00:00,1311.580404,00:21:52,,11264,0.0792120099067688,0.9973046875,0.9799609375,0.9999765625,0.99942578125,0.9799609375,0.9999765625,0.9799609375,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_fairness_phase3/runs/m9nfz3a4ece8lpcgkeubt,/home/lyj/mnt/project/zoology/swanlog/run-20260527_025823-m9nfz3a4ece8lpcgkeubt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase3-2026-05-26-18-58-19/banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase3-2026-05-26-18-58-19/banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase3-2026-05-26-18-58-19/banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep/best.pt,zoology/analysis/flash_vqg/results/flash-vqg-20260526-gdn-flash-fairness-phase3-2026-05-26-18-58-19/banked-h2-b4-k256-v64-sharedv-s123-d123-b64-ga4-fp32-noearly4ep,zoology/experiments/flash_vqg/generated/flash-vqg-20260526-gdn-flash-fairness-phase3-2026-05-26-18-58-19/manifest.json,flash-vqg,b83328a02358ed088169372940d5876f7633859e,Phase 3 Banked-K GDN shared-V seed123 baseline included in Phase 4 multiseed summary; already written to canonical ledger in Phase 3.
banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s124-2026-05-26-19-26-19,gdn,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,banked-h2-b4-k256-v64-sharedv-usegate0-s124-d123,banked_k_shared_v_multiseed,2,4,8,256,64,True,softmax_gate,131072,525824.0,1643992.0,124,123,64,16,4,256,b64_ga4,4,4,2,8,epoch4_noearly_b64_ga4_fp32,True,float32,float32,float32,float32,float32,float32,0,NVIDIA GeForce RTX 2080 Ti,7.5,completed,2026-05-26T19:26:27.707561+00:00,2026-05-26T20:02:09.626897+00:00,2141.919336,00:35:42,,11264,0.26756468415260315,0.9728310546875,0.786109375,0.9974140625,0.99846484375,0.786109375,0.9974140625,0.786109375,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_fairness_phase4/runs/y04ua2wu0npokgosrpqao,/home/lyj/mnt/project/zoology/swanlog/run-20260527_032624-y04ua2wu0npokgosrpqao,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s124-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s124-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s124-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep/best.pt,zoology/analysis/flash_vqg/results/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s124-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s124-d123-b64-ga4-fp32-noearly4ep,zoology/experiments/flash_vqg/generated/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s124-2026-05-26-19-26-19/manifest.json,flash-vqg,b83328a02358ed088169372940d5876f7633859e,"Phase 4 Banked-K GDN shared-V multiseed follow-up; logical_heads=2, banks_per_head=4, per-kernel K=256,V=64; kernel-compatible K-sharded approximation, not true single continuous K=1024; GDN_KERNEL_DTYPE=float32."
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s125-2026-05-26-19-26-19,gdn,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,banked-h2-b4-k256-v64-sharedv-usegate0-s125-d123,banked_k_shared_v_multiseed,2,4,8,256,64,True,softmax_gate,131072,525824.0,1643992.0,125,123,64,16,4,256,b64_ga4,4,4,2,8,epoch4_noearly_b64_ga4_fp32,True,float32,float32,float32,float32,float32,float32,1,NVIDIA GeForce RTX 2080 Ti,7.5,completed,2026-05-26T19:26:27.606621+00:00,2026-05-26T19:47:00.535358+00:00,1232.928737,00:20:33,,11264,0.3376331925392151,0.9502275390625,0.615984375,0.9888203125,0.99328515625,0.615984375,0.9888203125,0.615984375,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_fairness_phase4/runs/fjkbpobep9tddvcwdgaf7,/home/lyj/mnt/project/zoology/swanlog/run-20260527_032624-fjkbpobep9tddvcwdgaf7,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s125-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s125-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s125-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep/best.pt,zoology/analysis/flash_vqg/results/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s125-2026-05-26-19-26-19/banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,zoology/experiments/flash_vqg/generated/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s125-2026-05-26-19-26-19/manifest.json,flash-vqg,b83328a02358ed088169372940d5876f7633859e,"Phase 4 Banked-K GDN shared-V multiseed follow-up; logical_heads=2, banks_per_head=4, per-kernel K=256,V=64; kernel-compatible K-sharded approximation, not true single continuous K=1024; GDN_KERNEL_DTYPE=float32."
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s126-2026-05-26-19-47-32,gdn,gdn-banked-k-h2-b4-k256-v64-sharedv-usegate0,banked-h2-b4-k256-v64-sharedv-usegate0-s126-d123,banked_k_shared_v_multiseed,2,4,8,256,64,True,softmax_gate,131072,525824.0,1643992.0,126,123,64,16,4,256,b64_ga4,4,4,2,8,epoch4_noearly_b64_ga4_fp32,True,float32,float32,float32,float32,float32,float32,1,NVIDIA GeForce RTX 2080 Ti,7.5,completed,2026-05-26T19:47:39.826209+00:00,2026-05-26T20:08:14.049187+00:00,1234.222978,00:20:34,,11264,0.06190958619117737,0.99880712890625,0.99187890625,0.999984375,0.9993515625,0.99187890625,0.999984375,0.99187890625,https://swanlab.cn/@scu-mclab/flash_vqg_gdn_flash_fairness_phase4/runs/jptxzswk36a49h7hvp9sz,/home/lyj/mnt/project/zoology/swanlog/run-20260527_034736-jptxzswk36a49h7hvp9sz,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s126-2026-05-26-19-47-32/banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s126-2026-05-26-19-47-32/banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep/last.pt,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s126-2026-05-26-19-47-32/banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep/best.pt,zoology/analysis/flash_vqg/results/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s126-2026-05-26-19-47-32/banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,zoology/experiments/flash_vqg/generated/flash-vqg-20260526-gdn-flash-fairness-phase4-banked-s126-2026-05-26-19-47-32/manifest.json,flash-vqg,b83328a02358ed088169372940d5876f7633859e,"Phase 4 Banked-K GDN shared-V multiseed follow-up; logical_heads=2, banks_per_head=4, per-kernel K=256,V=64; kernel-compatible K-sharded approximation, not true single continuous K=1024; GDN_KERNEL_DTYPE=float32."
