source_status,target,run_id,rank,seed,slice,accuracy
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,1024x256,0.9593046875
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,256x64,0.995671875
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,512x128,0.9898828125
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,512x64,0.992109375
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,input_len_1024,0.9593046875
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,input_len_512,0.99099609375
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,num_kv_128,0.9898828125
new,cb256-r6-s125,gd-residual-v1-train-s125-d123-rread-top2-r6-wk4-b64,6,125,num_kv_256,0.9593046875
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,1024x256,0.80922265625
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,256x64,0.9928125
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,512x128,0.96884375
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,512x64,0.986296875
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,input_len_1024,0.80922265625
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,input_len_512,0.9775703125
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,num_kv_128,0.96884375
new,cb256-r8-s126,gd-residual-v1-train-s126-d123-rread-top2-r8-wk4-b64,8,126,num_kv_256,0.80922265625
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,1024x256,0.99073046875
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,256x64,0.998109375
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,512x128,0.998140625
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,512x64,0.993375
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,input_len_1024,0.99073046875
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,input_len_512,0.9957578125
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,num_kv_128,0.998140625
reused,cb256-r10-s125-d123,gd-r10-s125-d123-b64-ga4-fp32-noearly4ep,10,125,num_kv_256,0.99073046875
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,1024x256,0.9426953125
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,256x64,
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,512x128,0.9953203125
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,512x64,
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,input_len_1024,0.9426953125
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,input_len_512,0.99505078125
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,num_kv_128,0.9953203125
reused,cb256-r16-s126-d123,gd-r16-wk4-mu01-t025-cb256-s126-d123-noearly4ep,16,126,num_kv_256,0.9426953125
