machine,variant,train_step,loss,read_topk_effective,read_churn,read_retention,read_top1_flip,read_margin_mean,read_margin_p05,read_entropy_mean,read_selected_mass_mean,raw_topk_mass_mean,update_norm_mean,update_norm_p95,update_norm_max,m_norm_mean,m_norm_max,lambda_mean,inject_ratio,write_q_top1_mean,write_q_entropy_mean,write_strength_mean,write_strength_p95,write_strength_max,vq_entropy,vq_usage_max,vq_usage_min,vq_relative_err_mean
2080ti,trace-r16-readwrite-256,0,9.03874683380127,16.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.08051502704620361,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.3054189383983612,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
3090,trace-r16-readwrite-256,0,9.03874683380127,16.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.08051502704620361,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.3054189383983612,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
2080ti,trace-r16-readwrite-256,16,9.036162376403809,16.0,0.29180145263671875,0.7081985473632812,0.5931396484375,0.37258297204971313,0.0,3.3617634773254395,0.10859812796115875,0.20091938972473145,0.08169476687908173,0.12138605862855911,0.23559510707855225,0.04595556855201721,0.4151400029659271,0.050576187670230865,0.3310067057609558,0.3278546929359436,1.3594568967819214,0.12452235072851181,0.1820564568042755,0.31918513774871826,4.0538716316223145,684.1504516601562,92.62774658203125,0.795020341873169
3090,trace-r16-readwrite-256,16,9.036566734313965,16.0,0.2900390625,0.7099609375,0.603515625,0.37870585918426514,0.0,3.3604516983032227,0.10586957633495331,0.20070496201515198,0.08179367333650589,0.12133292853832245,0.25679099559783936,0.04579094797372818,0.40199533104896545,0.051051802933216095,0.3234289586544037,0.327408105134964,1.3598108291625977,0.12449179589748383,0.181736558675766,0.3198985159397125,4.054758548736572,679.9254150390625,93.83975219726562,0.7952331900596619
2080ti,trace-r16-readwrite-256,64,8.70547103881836,16.0,0.32881927490234375,0.6711807250976562,0.65869140625,0.3641245663166046,0.0,3.491297960281372,0.540547251701355,0.5834819078445435,0.0226930920034647,0.11171033978462219,0.3694590926170349,0.008589033968746662,1.3015570640563965,0.008202674798667431,0.010090099647641182,0.874595046043396,0.5126087069511414,0.0368889681994915,0.17857156693935394,0.3483888506889343,2.61017107963562,8360.5556640625,23.335092544555664,0.3594728112220764
3090,trace-r16-readwrite-256,64,8.703073501586914,16.0,0.32695770263671875,0.6730422973632812,0.6519775390625,0.3608662188053131,0.0,3.4523091316223145,0.5475236177444458,0.5832464694976807,0.023883052170276642,0.11684299260377884,0.39422449469566345,0.009176831692457199,1.329137921333313,0.00869552232325077,0.013068393804132938,0.8742140531539917,0.5136781930923462,0.03730108588933945,0.17977601289749146,0.4090994596481323,2.611936092376709,8353.5703125,23.356739044189453,0.36005404591560364
2080ti,trace-r16-readwrite-256,128,8.46052074432373,16.0,0.5031356811523438,0.49686431884765625,0.98046875,3.7210984230041504,0.0,0.6726298332214355,0.7954798340797424,0.7672803401947021,0.008784189820289612,0.05690816417336464,0.5005345940589905,0.008704520761966705,0.774240255355835,0.0032770917750895023,0.041220664978027344,0.9287480115890503,0.3335030674934387,0.014965757727622986,0.09674133360385895,0.7093451023101807,1.7008066177368164,11675.4091796875,13.224984169006348,0.07409345358610153
3090,trace-r16-readwrite-256,128,8.459982872009277,16.0,0.39217376708984375,0.6078262329101562,0.800537109375,3.6857547760009766,0.0,1.6341884136199951,0.7285385131835938,0.767585039138794,0.008472376503050327,0.05551384389400482,0.3472011983394623,0.007751915603876114,0.669348418712616,0.0028324697632342577,0.031435828655958176,0.9278098344802856,0.3369796574115753,0.01409346703439951,0.09256318211555481,0.5355461239814758,1.7020702362060547,11668.240234375,13.23248291015625,0.07385684549808502
2080ti,trace-r16-readwrite-256,256,8.390131950378418,16.0,0.06455230712890625,0.9354476928710938,0.0009765625,8.8603515625,0.0,0.0060404459945857525,0.9017764329910278,0.798891544342041,0.0339604988694191,0.19121144711971283,2.5912282466888428,0.031388089060783386,4.554159641265869,0.0044048381969332695,0.007725438103079796,0.9414787888526917,0.28606683015823364,0.02634532004594803,0.14076900482177734,0.6277144551277161,1.51043701171875,12323.310546875,12.000530242919922,0.018670719116926193
3090,trace-r16-readwrite-256,256,8.388060569763184,16.0,0.13372802734375,0.86627197265625,0.180908203125,3.3851959705352783,0.0,1.7141801118850708,0.737499475479126,0.7990167140960693,0.014550451189279556,0.08961629122495651,1.026166558265686,0.019930027425289154,3.3689990043640137,0.0014970185002312064,0.0026682065799832344,0.9406134486198425,0.28948095440864563,0.012041752226650715,0.08131614327430725,0.501146137714386,1.512578010559082,12313.892578125,12.03792953491211,0.018704762682318687
2080ti,trace-r2-readwrite-256,0,9.038751602172852,2.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.023108458146452904,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.14336538314819336,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
3090,trace-r2-readwrite-256,0,9.038751602172852,2.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.023108458146452904,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.14336538314819336,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
