config,run_id,source,comparison_scope,gpu,seed,data_seed,num_heads,expand_v,batch_accum_profile,dtype_policy,actual_kernel_dtype,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9943828125
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9955859375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9957265625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.996140625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.98775
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.99915625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,3,mid_epoch,1.5,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.99946875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.9995625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.999546875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.9995625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.99959375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.99959375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,64x16,valid/mqar_case/accuracy-64x16,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,64x16,valid/mqar_case/accuracy-64x16,1.0
