config,run_id,source,cb,rank,dynamic_capacity,relative_to_gdn,status,trainable_params,zoology_state_size_metric_seq1024,elapsed_sec,wall_clock,validation_count,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,valid_gd_write_strength_mean,valid_gd_m_norm_mean,valid_gd_m_norm_max,valid_gd_mu_valid_ratio,valid_gd_lambda_mean,valid_gd_inject_ratio,valid_vq_relative_err_mean,valid_vq_c_entropy,valid_vq_c_usage_mean,valid_vq_write_entropy_mean,valid_vq_write_top1_mass_mean,swanlab_url,swanlab_run_dir
cb256-r4-s124,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,r4_r8_recheck_seed124,256,4,131072,8x,completed,1183430,724480,17675,04:54:35,8,0.3415682911872864,0.9494521484375,0.6872890625,0.000510188171848847,0.0013701973369149658,0.10401075365140088,0.3238893160744319,0.15453558767007458,0.33086592375877355,0.09230480956593676,3.441057752995264,20.33730155134958,3.0271830218178883,0.25704260501596665,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/gkfh5gwq52kkjvncyhunj,swanlog/run-20260516_165704-gkfh5gwq52kkjvncyhunj
cb256-r8-s124,gd-r8-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,r4_r8_recheck_seed124,256,8,262144,16x,completed,1183942,1248768,18185,05:03:05,8,0.07733848690986633,0.99276513671875,0.96502734375,0.01273521491592484,0.007331992694941748,0.7030703826319604,0.3621976413424053,0.06758174526372127,0.18652156545292764,0.0639324313887055,3.6279369341948677,20.337301538104104,3.317474189258757,0.1920742347599968,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/pa3wpsjh1x65ah502qwn0,swanlog/run-20260516_165704-pa3wpsjh1x65ah502qwn0
