variant,reference_machine,reference_1024x256_accuracy,candidate_machine,candidate_1024x256_accuracy,absolute_gap,gap_percentage_points,within_4pp
fixed-r2-baseline,2080ti,0.592,3090,0.582,0.010000000000000009,1.0000000000000009,True
fixed-r4,2080ti,0.928,3090,0.923,0.0050000000000000044,0.5000000000000004,True
sched16to4,2080ti,0.923,3090,0.895,0.028000000000000025,2.8000000000000025,True
