experiment_id,machine,queue,target,variant,variant_kind,variant_description,gpu,status,started_at,finished_at,duration_seconds,duration_minutes,run_id,launch_id,embed_dropout,resid_dropout,drop_path,max_epochs,num_codebook_vectors,fox_remote_read_topk,fox_remote_read_topk_initial,fox_remote_read_topk_final,fox_remote_read_topk_release_start_train_steps,fox_remote_read_topk_release_end_train_steps,fox_remote_read_topk_schedule,fox_remote_read_topk_eval_policy,fox_gd_residual_dense_read_chunked,fox_gd_residual_rank,fox_gd_residual_write_topk,final_valid_loss,final_valid_accuracy,best_valid_accuracy,final_1024x256_accuracy,best_1024x256_accuracy,best_final_1024x256_gap,n_validation_summaries,n_validation_summary_lines,log_path,log_sha256,result_json,result_sha256,config_json,config_sha256,zoology_commit,flash_vqg_commit
20260630-01-flash-vqg-train-read-topk-screen,2080ti,2080ti-gpu0,fixed-r2-baseline,fixed-r2-baseline,fixed,fixed train-time read_topk=2 baseline,0,completed,2026-06-30T03:33:30+08:00,2026-06-30T04:58:30+08:00,5100.0,85.0,20260630-01-flash-vqg-train-read-topk-screen-fixed-r2-baseline-s123-d123-b64ga4-2080ti,fvqg-20260630-01-flash-vqg-train-read-topk-screen-2080ti-fixed-r2-baseline,0.0,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.7,0.912,0.912,0.592,0.592,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu0-20260629T193000Z/logs/fixed-r2-baseline.log,b521fdee16ecf561f5caa30d380d4a654555b948227860e36e8558e287523c5b,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu0-20260629T193000Z/results/fixed-r2-baseline.json,042d0a134283ec1f5adffe116eed46ba5f0a2227f39860d7f52f01a666255f67,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu0-20260629T193000Z/configs/fixed-r2-baseline.json,30203293b5274700f6fe734e5a71a4779ce17e7cd4561a6e54a92e38f0c5868a,f0c1002,bc391c0
20260630-01-flash-vqg-train-read-topk-screen,2080ti,2080ti-gpu1,fixed-r4,fixed-r4,fixed,fixed train-time read_topk=4,1,completed,2026-06-30T03:33:30+08:00,2026-06-30T04:58:30+08:00,5100.0,85.0,20260630-01-flash-vqg-train-read-topk-screen-fixed-r4-s123-d123-b64ga4-2080ti,fvqg-20260630-01-flash-vqg-train-read-topk-screen-2080ti-fixed-r4,0.0,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,0.243,0.985,0.985,0.928,0.928,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/logs/fixed-r4.log,8ccc4edfc702a6a6af5b9f001929e98437a6f9f275b3ac737443b5909d17c1b6,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/results/fixed-r4.json,26529f8d7f9240e71d69d638eff9440c3f8abc0a7a58119e59b2b3c059ae4a67,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/configs/fixed-r4.json,b14c6410b7a15df03ae1488c6aa2df09a2c060d7a0d759614c7b48f4b588e597,f0c1002,bc391c0
20260630-01-flash-vqg-train-read-topk-screen,2080ti,2080ti-gpu1,sched16to4,sched16to4,linear_int_schedule,linearly shrink train-time read_topk from 16 to 4 over train forward steps 0..448,1,completed,2026-06-30T04:58:30+08:00,2026-06-30T06:23:30+08:00,5100.0,85.0,20260630-01-flash-vqg-train-read-topk-screen-sched16to4-s123-d123-b64ga4-2080ti,fvqg-20260630-01-flash-vqg-train-read-topk-screen-2080ti-sched16to4,0.0,0.0,0.0,1,64,,16,4,0,448,linear_int,scheduled,False,16,4,0.291,0.985,0.985,0.923,0.923,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/logs/sched16to4.log,d82c1a9b38913b86a80224f378456a3c478127cc5b071b2f2b767c4d4d9170e9,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/results/sched16to4.json,2c5f976971c8d11c57b968fe686b08ca9d8e48ecf0a7f7a2fb7837306adbbf6d,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/2080ti-gpu1-20260629T193000Z/configs/sched16to4.json,ec00116a6ee0abbaddbe4a4898ba8b2e7299a8bd809c0243c7fdcd7a0513c027,f0c1002,bc391c0
20260630-01-flash-vqg-train-read-topk-screen,3090,3090-gpu0,fixed-r2-baseline,fixed-r2-baseline,fixed,fixed train-time read_topk=2 baseline,0,completed,2026-06-29T19:33:34+00:00,2026-06-29T20:38:34+00:00,3900.0,65.0,20260630-01-flash-vqg-train-read-topk-screen-fixed-r2-baseline-s123-d123-b64ga4-3090,fvqg-20260630-01-flash-vqg-train-read-topk-screen-3090-fixed-r2-baseline,0.0,0.0,0.0,1,64,2,,,0,0,linear_int,scheduled,False,16,4,0.711,0.912,0.912,0.582,0.582,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/logs/fixed-r2-baseline.log,cf004dcf522f41c3d559dc4fc5d0427dfe002e60ea32599c87039df1ca49000a,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/results/fixed-r2-baseline.json,25fb3ded1bce040757ffab9a0d4bdf8621885a0206d45f29461807e497416665,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/configs/fixed-r2-baseline.json,d51b55496c60636fc96a01295d3cd4648dd86a0b4d13b92a03f15d0f8dec3a04,f0c1002,bc391c0
20260630-01-flash-vqg-train-read-topk-screen,3090,3090-gpu0,fixed-r4,fixed-r4,fixed,fixed train-time read_topk=4,0,completed,2026-06-29T20:38:34+00:00,2026-06-29T21:43:34+00:00,3900.0,65.0,20260630-01-flash-vqg-train-read-topk-screen-fixed-r4-s123-d123-b64ga4-3090,fvqg-20260630-01-flash-vqg-train-read-topk-screen-3090-fixed-r4,0.0,0.0,0.0,1,64,4,,,0,0,linear_int,scheduled,False,16,4,0.249,0.985,0.985,0.923,0.923,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/logs/fixed-r4.log,05d6274ea3387adc10581a369c6c91d94ecca718f9f1248386209af85f053480,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/results/fixed-r4.json,1743782220023fe1bb4dcd7904417e24f8d6fb0b5b08ca4ff252fea54bb132f8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/configs/fixed-r4.json,c5413a1277982f57adfa355600ec876e0f5ed7996f2910b2b8912bb521ab0ee2,f0c1002,bc391c0
20260630-01-flash-vqg-train-read-topk-screen,3090,3090-gpu0,sched16to4,sched16to4,linear_int_schedule,linearly shrink train-time read_topk from 16 to 4 over train forward steps 0..448,0,completed,2026-06-29T21:43:34+00:00,2026-06-29T22:48:34+00:00,3900.0,65.0,20260630-01-flash-vqg-train-read-topk-screen-sched16to4-s123-d123-b64ga4-3090,fvqg-20260630-01-flash-vqg-train-read-topk-screen-3090-sched16to4,0.0,0.0,0.0,1,64,,16,4,0,448,linear_int,scheduled,False,16,4,0.324,0.98,0.98,0.895,0.895,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/logs/sched16to4.log,0288d320fd458b1f5e87f21112a3f60416a7fa386caf9531fd4d6ce592f9a41d,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/results/sched16to4.json,06a4ae43fe943e282c125e6eb415e74b43b88d43933446234f2111c1dc7da188,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/configs/sched16to4.json,5043a0a85f45575602fbe2dd5c945d3f89afa54a44459445a00a21562964ac57,f0c1002,bc391c0
20260630-01-flash-vqg-train-read-topk-screen,3090,3090-gpu0,sched64to4,sched64to4,linear_int_schedule,linearly shrink train-time read_topk from 64 to 4 over train forward steps 0..448,0,completed,2026-06-29T22:48:34+00:00,2026-06-29T23:53:34+00:00,3900.0,65.0,20260630-01-flash-vqg-train-read-topk-screen-sched64to4-s123-d123-b64ga4-3090,fvqg-20260630-01-flash-vqg-train-read-topk-screen-3090-sched64to4,0.0,0.0,0.0,1,64,,64,4,0,448,linear_int,scheduled,True,16,4,0.268,0.982,0.982,0.907,0.907,0.0,4,8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/logs/sched64to4.log,7dbb153f41e193c1ca947733d26caa9e85554922772b35fbf52e4e8f6603c6f4,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/results/sched64to4.json,873e83040873f46c2cc5b48e552ac6bf483786ac746ff12043f85c5736a778f8,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260630-01-flash-vqg-train-read-topk-screen/outputs/3090-gpu0-20260629T193000Z/configs/sched64to4.json,5655e88e3aaa35eb9b676fa70c614fd9b2a5352d1f66ed05317712489a8dc67f,f0c1002,bc391c0
