config,run_id,source,gpu,cb,rank,dynamic_capacity,relative_to_gdn,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice_name,metric,value
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,2,epoch_end,1.0,0,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,0.99925
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,2,epoch_end,1.0,0,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.8209140625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,2,epoch_end,1.0,0,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,0.999375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.36841015625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.98896875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.95084375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.83957421875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.999375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.36841015625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.98896875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.95084375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.7549921875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.92415625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.999125
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,64x4,valid/mqar_case/accuracy-64x4,0.999
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,mqar_case,64x8,valid/mqar_case/accuracy-64x8,1.0
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.7549921875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.999125
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.36841015625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.98896875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,0.999
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.9375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,3,mid_epoch,1.5,1,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,1.0
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.54268359375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.9939375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.977
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.91750390625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9994375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.54268359375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.9939375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.977
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.8742421875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.960765625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.9993125
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,64x4,valid/mqar_case/accuracy-64x4,0.9995
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,mqar_case,64x8,valid/mqar_case/accuracy-64x8,0.9995
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.8742421875
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.9993125
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.54268359375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.9939375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,0.9995
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.9688828125
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,4,epoch_end,2.0,1,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,0.9995
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.60834375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99559375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.98575
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9423359375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,input_seq_len,64,valid/input_seq_len/accuracy-64,0.999625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.60834375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.99559375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.98575
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.91065625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.974015625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.999625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,64x4,valid/mqar_case/accuracy-64x4,0.9995
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,mqar_case,64x8,valid/mqar_case/accuracy-64x8,0.99975
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.91065625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.999625
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.60834375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.99559375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,0.9995
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.9798828125
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,5,mid_epoch,2.5,2,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,0.99975
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,6,epoch_end,3.0,2,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.647109375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,6,epoch_end,3.0,2,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99509375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,6,epoch_end,3.0,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.98959375
cb256-r4-s124-gpu0,gd-r4-wk4-mu01-t025-cb256-s124-d123-noearly4ep-r4r8-recheck,seed124_paired_recheck_original,0,256,4,131072,8x,6,epoch_end,3.0,2,input_seq_len,512,valid/input_seq_len/accuracy-512,0.95238671875
