split,a0_accuracy,a1_accuracy,delta
validation-1024x256,0.9667578125,0.9667578125,0.0
locked-eval-1024x256,0.966859375,0.966859375,0.0
locked-eval-2048x512,0.85175390625,0.85175390625,0.0
locked-eval-4096x1024,0.548705078125,0.548705078125,0.0
locked-eval-8190x512,0.7166875,0.7166875,0.0
locked-eval-8190x2047,0.22351636761426927,0.22351636761426927,0.0
