machine,fla_variant,model,run_type,status,configured_max_epochs,final_epoch,expected_optimizer_steps,wall_clock_sec,valid_loss,valid_accuracy,valid_1024x256,valid_512x128,started_at_utc,ended_at_utc,run_id,launch_id,train_config_path,last_checkpoint_path,best_checkpoint_path,last_checkpoint_sha256,best_checkpoint_sha256,model_state_sha256,fla_version,torch,triton,source
2080ti,v042,flash,formal,completed,1,1,704,408.2340561640449,0.20560579096883655,0.9853193359375,0.9187890625,0.9850625,2026-07-24T15:19:05.412103+00:00,2026-07-24T15:25:53.646152+00:00,flash-s124-2080ti-v042-formal,20260724-02-gdn-ek4-fla-compatibility-2080ti-v042,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/flash-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/flash-s124-2080ti-v042-formal/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/flash-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/flash-s124-2080ti-v042-formal/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/flash-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/flash-s124-2080ti-v042-formal/best.pt,ea65c0b13a63d9c5c0d344b59b4226b4ba5a055cfe53710793cc80eb22fe9ca2,8b7abaa2882044e61954cfb1e9c34aa673681d21badda283b4d942480994fcd9,ef0a25f987dc504d282548632370e9491436a07eae1c5574f2cf59e81fee6cc2,0.4.2,2.6.0+cu118,3.2.0,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/flash-v042/result.json
2080ti,current040,gdn,formal,completed,1,1,704,349.26057717809454,0.31105666869321824,0.98935888671875,0.91626171875,0.999734375,2026-07-24T15:00:56.482241+00:00,2026-07-24T15:06:45.742810+00:00,gdn-s124-2080ti-current040-formal,20260724-02-gdn-ek4-fla-compatibility-2080ti-current040,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-current040/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-current040/gdn-s124-2080ti-current040-formal/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-current040/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-current040/gdn-s124-2080ti-current040-formal/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-current040/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-current040/gdn-s124-2080ti-current040-formal/best.pt,63595588c05c9e1cd5e417e928508650fda0af29c8a888bfd0bfeb4a24abae53,337992d40b2958e64adc21da2da2228f87cb35500f50846f045d7d60a48d66a4,2c709665b4a22cb177248d6a18e23757f2ad6c9eb6c56ce076b1e7b75873d57f,0.4.0,2.6.0+cu118,3.2.0,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-current040/result.json
2080ti,v042,gdn,formal,completed,1,1,704,333.0351315389853,0.3110565935591391,0.98935888671875,0.91626171875,0.999734375,2026-07-24T15:06:53.386901+00:00,2026-07-24T15:12:26.422025+00:00,gdn-s124-2080ti-v042-formal,20260724-02-gdn-ek4-fla-compatibility-2080ti-v042,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/gdn-s124-2080ti-v042-formal/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/gdn-s124-2080ti-v042-formal/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/gdn-s124-2080ti-v042-formal/best.pt,847466d241a62f506db6cc0a0db4c9c82cba8c5e3c61c87d4e66311fd32f81f1,a0be0e10ff6b4d352bbc5aa32a5c2d994543b2f8b4cdac8dbdd83b9a0f3a4aa9,299b910302086bd61f386971b23756764f6414974d4d560954292b9ffff2ca2b,0.4.2,2.6.0+cu118,3.2.0,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v042/result.json
2080ti,v050,gdn,formal,completed,1,1,704,383.0870555220172,0.31105662537054973,0.98935888671875,0.91626171875,0.999734375,2026-07-24T15:12:34.206612+00:00,2026-07-24T15:18:57.293660+00:00,gdn-s124-2080ti-v050-formal,20260724-02-gdn-ek4-fla-compatibility-2080ti-v050,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v050/gdn-s124-2080ti-v050-formal/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v050/gdn-s124-2080ti-v050-formal/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v050/gdn-s124-2080ti-v050-formal/best.pt,e2dc09e08bdfe37b6a73fccf678c99b30f3c6876077330f487002c99cd25bcf0,09f01a04718b6db0f8a9924c18ab11a43ba3f0c59dd40af301472903c5ab042b,65431450af6ed19f4cb550763064fe1941cf92ce477bcdbb9426178fb43b5e70,0.5.0,2.7.1+cu118,3.3.1,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v050/result.json
2080ti,v042,gdn,smoke,completed,1,1,704,54.52627105708234,9.058576107025146,0.0,,,2026-07-24T14:58:44.567546+00:00,2026-07-24T14:59:39.093810+00:00,gdn-s124-2080ti-v042-smoke,20260724-02-gdn-ek4-fla-compatibility-2080ti-v042,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/smoke/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/gdn-s124-2080ti-v042-smoke/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/smoke/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/gdn-s124-2080ti-v042-smoke/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/smoke/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/gdn-s124-2080ti-v042-smoke/best.pt,96dce378e9a0c68338bbae91c8e99eb21f2037da3c2229133d7c32f747647613,4e3437cecf539e9c6a8a7b08861f990b1328fe6791ca579d1096c5001d0ee56b,591f8de737eeb783b31ee8ef5ce2ed5505827ce5400744956ae23fd397680efe,0.4.2,2.6.0+cu118,3.2.0,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/smoke/gdn-v042/result.json
3090,v042,flash,formal,completed,1,1,704,346.05631818808615,0.1874944875053766,0.98840380859375,0.93955078125,0.9850234375,2026-07-24T15:12:25.895850+00:00,2026-07-24T15:18:11.952163+00:00,flash-s124-3090-v042-formal,20260724-02-gdn-ek4-fla-compatibility-3090-v042,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/flash-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/flash-s124-3090-v042-formal/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/flash-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/flash-s124-3090-v042-formal/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/flash-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/flash-s124-3090-v042-formal/best.pt,4fa7ea0c1b7ca71527e090a4951a2ad446feb293e3a2afe7a789afb4e3298751,0bf2fe251ebef414dc5e028a1db2435ced0f58ef7eaf491175a856bfcc448a83,f7dfd8def5629130b47576b68dd287eecb12836ddf8115ca7055efdc370368b3,0.4.2,2.6.0+cu118,3.2.0,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/flash-v042/result.json
3090,v042,gdn,formal,completed,1,1,704,460.65150261484087,0.308369076035137,0.989453125,0.91709375,0.999671875,2026-07-24T14:56:01.887905+00:00,2026-07-24T15:03:42.539402+00:00,gdn-s124-3090-v042-formal,20260724-02-gdn-ek4-fla-compatibility-3090-v042,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/gdn-s124-3090-v042-formal/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/gdn-s124-3090-v042-formal/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/gdn-s124-3090-v042-formal/best.pt,94f2f818e45eadb8ee07081a41d53a063478c76e958cc62cf082f86e25a6ebcc,bb2399a5d4cd426dd5b11786fc843ef7892d3d553055724db919c0d863b6c9af,64504166220d96b90032c800aec0048e28dd11838306cb0b196a776bedd5bc66,0.4.2,2.6.0+cu118,3.2.0,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v042/result.json
3090,v050,gdn,formal,completed,1,1,704,510.05844242777675,0.30842546213580857,0.9894423828125,0.9170078125,0.999671875,2026-07-24T15:03:49.038318+00:00,2026-07-24T15:12:19.096750+00:00,gdn-s124-3090-v050-formal,20260724-02-gdn-ek4-fla-compatibility-3090-v050,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v050/gdn-s124-3090-v050-formal/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v050/gdn-s124-3090-v050-formal/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v050/gdn-s124-3090-v050-formal/best.pt,ff9554aedcd45a25debb2f9a552f8ad103d5fe8d01d2ce4001ab0748da26f3f4,a5a931514a4b01dcb218e18d5d4ae4255f4ff0d558ae6e9cf332834fa40091ef,b52a2697ba1353fcc805ed99fc83d6814e0c90098ec598c1ef5ec4c656f53f47,0.5.0,2.7.1+cu118,3.3.1,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v050/result.json
3090,v042,gdn,smoke,completed,1,1,704,71.40760122332722,9.058616161346436,0.0,,,2026-07-24T14:54:10.740751+00:00,2026-07-24T14:55:22.148352+00:00,gdn-s124-3090-v042-smoke,20260724-02-gdn-ek4-fla-compatibility-3090-v042,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/smoke/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/gdn-s124-3090-v042-smoke/train_config.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/smoke/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/gdn-s124-3090-v042-smoke/last.pt,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/smoke/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/gdn-s124-3090-v042-smoke/best.pt,448d83dfdeefea7ba97daba4c406c632871ed4e62c7ed400d97d94045970bcc4,200951113e8e23ba24a17152631cd504067edff40e90116bda31b40d3782ee75,8baf9071a32daf11f1bfba31ddca24fc4295708be614fe5b1cfb73f2719a9221,0.4.2,2.6.0+cu118,3.2.0,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/smoke/gdn-v042/result.json
